suite_id,owner,required_gate,registered_case_count,discovered_case_count,executed_case_count,passed_case_count,failed_case_count,skipped_case_count,browser_project,viewport_profile,motion_profile,network_profile,fixture_family,database_isolation,port_isolation,storage_isolation,trace_root,expected_duration_ms,hard_budget_ms,focused_run_id,focused_result,release_candidate_run_id,release_candidate_result,cleanup_state,evidence_artifact,evidence_digest,remaining_limitation
browser.access-sentinel,one-voyage,release-candidate,3,3,3,3,0,0,sounding-line-access-sentinel,governed-family-viewport,reduced-motion-declared,isolated-local-network,isolated-browser-fixture,sqlite-clone,run-owned-application-port,run-owned,run-owned-trace-root,60000,600000,30691520484/sealed-worker,PASSED,30691520484,PASSED,CLEAN,sounding-line-worker-evidence-browser.access-sentinel,B1A3D29695F2F35168B6A3AEA127515C16C575DEF46B6A18F8C26D0178088759,
browser.auth,one-voyage,release-candidate,8,8,8,8,0,0,chromium+webkit-mobile,governed-family-viewport,reduced-motion-declared,isolated-local-network,isolated-browser-fixture,sqlite-clone,run-owned-application-port,run-owned,run-owned-trace-root,180000,600000,30691520484/sealed-worker,PASSED,30691520484,PASSED,CLEAN,sounding-line-worker-evidence-browser.auth,04AFB00B8CA748B68B98EBCBCC4879CCD32D4C5E3E91A76D0B311AF46324374F,
browser.invitations,one-voyage,release-candidate,9,9,9,9,0,0,chromium+webkit-mobile,governed-family-viewport,reduced-motion-declared,isolated-local-network,isolated-browser-fixture,sqlite-clone,run-owned-application-port,run-owned,run-owned-trace-root,180000,600000,30691520484/sealed-worker,PASSED,30691520484,PASSED,CLEAN,sounding-line-worker-evidence-browser.invitations,05302D8CB2CFF7B050BA4274A705A776593924914E050127687AF20F27739987,
browser.player-library,one-voyage,release-candidate,6,6,6,6,0,0,chromium+webkit-mobile,governed-family-viewport,reduced-motion-declared,isolated-local-network,isolated-browser-fixture,sqlite-clone,run-owned-application-port,run-owned,run-owned-trace-root,180000,600000,30691520484/sealed-worker,PASSED,30691520484,PASSED,CLEAN,sounding-line-worker-evidence-browser.player-library,901AC4F67097E5AABD086158515760265329DB50A31BF5C09466849612F891BA,
browser.player-journal,lanternwake,release-candidate,23,23,23,23,0,0,chromium+webkit-mobile,governed-family-viewport,reduced-motion-declared,isolated-local-network,isolated-browser-fixture,sqlite-clone,run-owned-application-port,run-owned,run-owned-trace-root,300000,600000,30691520484/sealed-worker,PASSED,30691520484,PASSED,CLEAN,sounding-line-worker-evidence-browser.player-journal,0C04C5C78CB4E43ECB33D7A38C5EEB8D6BB36595305266D96266638F774C90B5,
browser.passport,wayfarer,release-candidate,5,5,5,5,0,0,chromium+webkit-mobile,governed-family-viewport,reduced-motion-declared,isolated-local-network,isolated-browser-fixture,sqlite-clone,run-owned-application-port,run-owned,run-owned-trace-root,180000,600000,30691520484/sealed-worker,PASSED,30691520484,PASSED,CLEAN,sounding-line-worker-evidence-browser.passport,C58D5BE50F14AD6F11BB6CD18EB92D9AE33F533E8EDE1E8FDA237507487E64C9,
browser.artifacts,wayfarer,release-candidate,17,17,17,17,0,0,chromium+harborlight-phase2+wayfarer-phase4+webkit-mobile,governed-family-viewport,reduced-motion-declared,isolated-local-network,isolated-browser-fixture,sqlite-clone,run-owned-application-port,run-owned,run-owned-trace-root,180000,600000,30691520484/sealed-worker,PASSED,30691520484,PASSED,CLEAN,sounding-line-worker-evidence-browser.artifacts,B291912A0A836CE3B9A03C0F6BD94212AC22E2A539A4A617F0660F5ED6074A86,
browser.captain,one-voyage,release-candidate,12,12,12,12,0,0,chromium+webkit-mobile,governed-family-viewport,reduced-motion-declared,isolated-local-network,isolated-browser-fixture,sqlite-clone,run-owned-application-port,run-owned,run-owned-trace-root,180000,600000,30691520484/sealed-worker,PASSED,30691520484,PASSED,CLEAN,sounding-line-worker-evidence-browser.captain,BD711E6C25E89320E47FC14CEC6E9F31B35DA88B7E4DF5064247F148D32CA500,
browser.studio,one-voyage,release-candidate,8,8,8,8,0,0,chromium+webkit-mobile,governed-family-viewport,reduced-motion-declared,isolated-local-network,isolated-browser-fixture,sqlite-clone,run-owned-application-port,run-owned,run-owned-trace-root,180000,600000,30691324716,PASSED,30691520484,PASSED,CLEAN,sounding-line-worker-evidence-browser.studio,90372487DA96DF3386BEA8A49349CAF9B4C02BCAE3D3F88A6B8D04A178CE1B98,
browser.community,harborlight,release-candidate,10,10,10,10,0,0,harborlight-phase2+harborlight-phase3+harborlight-phase4+webkit-mobile,governed-family-viewport,reduced-motion-declared,isolated-local-network,isolated-browser-fixture,sqlite-clone,run-owned-application-port,run-owned,run-owned-trace-root,300000,600000,30691520484/sealed-worker,PASSED,30691520484,PASSED,CLEAN,sounding-line-worker-evidence-browser.community,0030FFEC5A0A77C51F63BFCCD95E46E9DDDFDBCC0DB705F9F6D54141FF074116,
