Requirement ID,Original Prompt Section,Original Prompt Subsection,Requirement,Mandatory or Optional,Status at c1daa766,Evidence at c1daa766,Required Closure Action,Implementation Files,Test Files,Validation Command,Final Status,Final Evidence,Blocker,Reviewer Notes
HL-001,8,Design record,Freeze community domain and convergence seams,Mandatory,PASS,Design record,Expand to implemented truth,Development_Docs/Project_Harborlight_Phase_1_Design_Record.md,,,PENDING,,,
HL-002,10,Taxonomy,Typed item taxonomy and capabilities,Mandatory,PASS,src/community/domain.ts,Retain and extend,src/community/domain.ts,src/community/domain.test.ts,vitest,PENDING,,,
HL-003,11,Profile,Database-backed canonical profile relationship,Mandatory,PARTIAL,Scalar fields only,Add PlayerProfile foreign key and service,prisma/schema*.prisma src/community,src/community/*.test.ts,Prisma+Vitest,PENDING,,,
HL-004,12,Listing,Database-backed listing ownership and lifecycle,Mandatory,PARTIAL,Schema only,Implement service/routes/projections,src/community,src/community/*.test.ts,Vitest,PENDING,,,
HL-005,13,Release,Immutable source-version release transaction,Mandatory,PARTIAL,Schema/helper only,Implement real release service,src/community,src/community/*.test.ts,Vitest+SQLite,PENDING,,,
HL-006,14,Publication,Central transition policy,Mandatory,PARTIAL,Pure helper,Use service-only transitions,src/community,src/community/*.test.ts,Vitest,PENDING,,,
HL-007,15,Visibility,Private/unlisted/crew policy and enumeration,Mandatory,PARTIAL,Pure helper,Implement authorization/projection/routes,src/community,src/community/*.test.ts,Vitest,PENDING,,,
HL-008,16,Spoilers,Server-side spoiler projections,Mandatory,PARTIAL,Pure projection,Add database-backed allowlists,src/community,src/community/*.test.ts,Vitest,PENDING,,,
HL-009,17-19,Licensing attribution ownership,Immutable snapshots and declarations,Mandatory,PARTIAL,Schema only,Implement service validation,src/community,src/community/*.test.ts,Vitest,PENDING,,,
HL-010,20-21,Privacy locations,Hostile privacy and location protections,Mandatory,PARTIAL,Pure test,Add route/database hostile matrix,src/community,src/community/*.test.ts,Vitest,PENDING,,,
HL-011,22-23,Assets storage,Database asset registry and safe namespaces,Mandatory,PARTIAL,Local adapter only,Implement registry/authorization,src/community,src/community/*.test.ts,Vitest,PENDING,,,
HL-012,24-25,Jobs outbox,Transactional outbox and dispatcher,Mandatory,PARTIAL,Model only,Implement enqueue/claim/retry,src/community,src/community/*.test.ts,Vitest+SQLite,PENDING,,,
HL-013,26-28,Authorization audit rate limit,Central policies/audit/rate limits,Mandatory,PARTIAL,Existing platform utilities,Integrate into services/routes,src/community src/lib,src/community/*.test.ts,Vitest,PENDING,,,
HL-014,29,Lanternwake,Future community contracts,Mandatory,NOT_STARTED,None,Register/test future contracts,src/animation,src/animation/**/*.test.ts,Vitest,PENDING,,,
HL-015,30,Feature flags,Server-side community flags,Mandatory,PARTIAL,Pure helper,Use in services/routes,src/community,src/community/*.test.ts,Vitest,PENDING,,,
HL-016,31-32,Services API,Profile/listing/release API foundation,Mandatory,NOT_STARTED,None,Add authenticated routes and safe errors,src/app/api/community src/community,src/app/api/community/**/*.test.ts,Vitest,PENDING,,,
HL-017,33,Migrations,Additive SQLite/MySQL model migration,Mandatory,PARTIAL,Raw scripts,Add relations and supported Prisma proof,prisma,tests,Prisma,PENDING,,,
HL-018,38-40,Security tests,IDOR/mass-assignment/privacy/feature flag tests,Mandatory,PARTIAL,Pure helper tests,Add service/route test matrix,src/community,src/community/*.test.ts,Vitest,PENDING,,,
HL-019,42,Documentation,Substantive technical records,Mandatory,PARTIAL,Placeholders,Expand every required document,Development_Docs,docs,manual,PENDING,,,
