comparison_id,journey_id,phase6_baseline_role,phase7_milestone,comparison,source_sha,result
HP-P7-VC-A,A,COMPARISON_INPUT_ONLY,HP-P7-EV-A-registered-profile,NO_UNEXPLAINED_REGRESSION_PENDING_HUMAN_REVIEW,61ea9ec546622b2bce2036d249fca408922786d2,PASSED
HP-P7-VC-B,B,COMPARISON_INPUT_ONLY,HP-P7-EV-B-cross-workspace-account,NO_UNEXPLAINED_REGRESSION_PENDING_HUMAN_REVIEW,61ea9ec546622b2bce2036d249fca408922786d2,PASSED
HP-P7-VC-C,C,COMPARISON_INPUT_ONLY,HP-P7-EV-C-player-voyage,NO_UNEXPLAINED_REGRESSION_PENDING_HUMAN_REVIEW,61ea9ec546622b2bce2036d249fca408922786d2,PASSED
HP-P7-VC-D,D,COMPARISON_INPUT_ONLY,HP-P7-EV-D-captain-session,NO_UNEXPLAINED_REGRESSION_PENDING_HUMAN_REVIEW,61ea9ec546622b2bce2036d249fca408922786d2,PASSED
HP-P7-VC-E,E,COMPARISON_INPUT_ONLY,HP-P7-EV-E-creator-private-state,NO_UNEXPLAINED_REGRESSION_PENDING_HUMAN_REVIEW,61ea9ec546622b2bce2036d249fca408922786d2,PASSED
HP-P7-VC-F,F,COMPARISON_INPUT_ONLY,HP-P7-EV-F-community-saved,NO_UNEXPLAINED_REGRESSION_PENDING_HUMAN_REVIEW,61ea9ec546622b2bce2036d249fca408922786d2,PASSED
HP-P7-VC-G,G,COMPARISON_INPUT_ONLY,HP-P7-EV-G-profile-preferences-saved,NO_UNEXPLAINED_REGRESSION_PENDING_HUMAN_REVIEW,61ea9ec546622b2bce2036d249fca408922786d2,PASSED
HP-P7-VC-H,H,COMPARISON_INPUT_ONLY,HP-P7-EV-H-passport-artifacts-and-saved,NO_UNEXPLAINED_REGRESSION_PENDING_HUMAN_REVIEW,61ea9ec546622b2bce2036d249fca408922786d2,PASSED
HP-P7-VC-I,I,COMPARISON_INPUT_ONLY,HP-P7-EV-I-recovery-restored-account,NO_UNEXPLAINED_REGRESSION_PENDING_HUMAN_REVIEW,61ea9ec546622b2bce2036d249fca408922786d2,PASSED
HP-P7-VC-J,J,COMPARISON_INPUT_ONLY,HP-P7-EV-J-session-expired,NO_UNEXPLAINED_REGRESSION_PENDING_HUMAN_REVIEW,61ea9ec546622b2bce2036d249fca408922786d2,PASSED
HP-P7-VC-K,K,COMPARISON_INPUT_ONLY,HP-P7-EV-K-permission-denied-authenticated,NO_UNEXPLAINED_REGRESSION_PENDING_HUMAN_REVIEW,61ea9ec546622b2bce2036d249fca408922786d2,PASSED
HP-P7-VC-L,L,COMPARISON_INPUT_ONLY,HP-P7-EV-L-mobile-workspace,NO_UNEXPLAINED_REGRESSION_PENDING_HUMAN_REVIEW,61ea9ec546622b2bce2036d249fca408922786d2,PASSED
HP-P7-VC-M,M,COMPARISON_INPUT_ONLY,HP-P7-EV-M-multi-tab-invalidated,NO_UNEXPLAINED_REGRESSION_PENDING_HUMAN_REVIEW,61ea9ec546622b2bce2036d249fca408922786d2,PASSED
HP-P7-VC-N,N,COMPARISON_INPUT_ONLY,HP-P7-EV-N-dependency-unavailable,NO_UNEXPLAINED_REGRESSION_PENDING_HUMAN_REVIEW,61ea9ec546622b2bce2036d249fca408922786d2,PASSED
HP-P7-VC-O,O,COMPARISON_INPUT_ONLY,HP-P7-EV-O-whole-voyage-community,NO_UNEXPLAINED_REGRESSION_PENDING_HUMAN_REVIEW,61ea9ec546622b2bce2036d249fca408922786d2,PASSED
