"routeId","routePattern","historicalPurpose","currentSource","canonicalTarget","currentReads","currentWrites","userVisibleBehavior","authenticationBehavior","safeReturn","queryPreservation","fragmentPreservation","activeStateMapping","analyticsOrObservation","retirementCriteria","rollback","browserEvidence","finalDisposition"
"route-page-player-sign-in","/player/sign-in","legacy Player credential entry","src/app/player/sign-in/page.tsx","/sign-in","BOUNDED_CANONICAL_OR_COMPATIBILITY_READ","NO_PARALLEL_WRITER","CANONICAL_CONTEXT_ADAPTER","ANONYMOUS_ALLOWED","/sign-in","SAFE_ALLOWLIST_ONLY","NONE_REQUIRED_OR_CANONICALIZED","PLAYER_WORKSPACE_OR_CONTEXT","BOUNDED_EXISTING_OBSERVATION","OWNER_REVIEW_AND_ZERO_REQUIRED_COMPATIBILITY_TRAFFIC","REVERT_PHASE_5_ROUTE_COMMIT_WITHOUT_RESTORING_COMPETING_UI","PENDING_EXACT_SOURCE_BROWSER","CANONICAL_CONTEXT_ADAPTER"
"route-page-captain-sign-in","/captain/sign-in","legacy Captain credential entry","src/app/captain/sign-in/page.tsx","/sign-in","BOUNDED_CANONICAL_OR_COMPATIBILITY_READ","NO_PARALLEL_WRITER","CANONICAL_CONTEXT_ADAPTER","ANONYMOUS_ALLOWED","/sign-in","SAFE_ALLOWLIST_ONLY","NONE_REQUIRED_OR_CANONICALIZED","CAPTAIN_WORKSPACE_OR_CONTEXT","BOUNDED_EXISTING_OBSERVATION","OWNER_REVIEW_AND_ZERO_REQUIRED_COMPATIBILITY_TRAFFIC","REVERT_PHASE_5_ROUTE_COMMIT_WITHOUT_RESTORING_COMPETING_UI","PENDING_EXACT_SOURCE_BROWSER","CANONICAL_CONTEXT_ADAPTER"
"route-page-studio-sign-in","/studio/sign-in","legacy Creator credential entry","src/app/studio/sign-in/page.tsx","/sign-in","BOUNDED_CANONICAL_OR_COMPATIBILITY_READ","NO_PARALLEL_WRITER","CANONICAL_CONTEXT_ADAPTER","ANONYMOUS_ALLOWED","/sign-in","SAFE_ALLOWLIST_ONLY","NONE_REQUIRED_OR_CANONICALIZED","CREATOR_WORKSPACE_OR_CONTEXT","BOUNDED_EXISTING_OBSERVATION","OWNER_REVIEW_AND_ZERO_REQUIRED_COMPATIBILITY_TRAFFIC","REVERT_PHASE_5_ROUTE_COMMIT_WITHOUT_RESTORING_COMPETING_UI","PENDING_EXACT_SOURCE_BROWSER","CANONICAL_CONTEXT_ADAPTER"
"route-page-player","/player","historical Player root","src/app/player/page.tsx","/player/library","NONE_BEFORE_REDIRECT","NO_PARALLEL_WRITER","TRANSPARENT_REDIRECT","AUTHENTICATED_PLAYER_REQUIRED","/player/library","SAFE_ALLOWLIST_ONLY","NONE_REQUIRED_OR_CANONICALIZED","PLAYER_WORKSPACE_OR_CONTEXT","BOUNDED_EXISTING_OBSERVATION","OWNER_REVIEW_AND_ZERO_REQUIRED_COMPATIBILITY_TRAFFIC","REVERT_PHASE_5_ROUTE_COMMIT_WITHOUT_RESTORING_COMPETING_UI","PENDING_EXACT_SOURCE_BROWSER","TRANSPARENT_REDIRECT"
"route-page-captain","/captain","historical Captain root","src/app/captain/page.tsx","/captain/library","NONE_BEFORE_REDIRECT","NO_PARALLEL_WRITER","TRANSPARENT_REDIRECT","AUTHENTICATED_CAPABILITY_REQUIRED","/captain/library","SAFE_ALLOWLIST_ONLY","NONE_REQUIRED_OR_CANONICALIZED","CAPTAIN_WORKSPACE_OR_CONTEXT","BOUNDED_EXISTING_OBSERVATION","OWNER_REVIEW_AND_ZERO_REQUIRED_COMPATIBILITY_TRAFFIC","REVERT_PHASE_5_ROUTE_COMMIT_WITHOUT_RESTORING_COMPETING_UI","PENDING_EXACT_SOURCE_BROWSER","TRANSPARENT_REDIRECT"
"route-page-captain-invitations","/captain/invitations","historical invitation route","src/app/captain/invitations/page.tsx","/captain/library?tab=invitations","NONE_BEFORE_REDIRECT","NO_PARALLEL_WRITER","TRANSPARENT_REDIRECT","AUTHENTICATED_CAPABILITY_REQUIRED","/captain/library","TAB_QUERY_CANONICALIZED","NONE_REQUIRED_OR_CANONICALIZED","CAPTAIN_WORKSPACE_OR_CONTEXT","BOUNDED_EXISTING_OBSERVATION","OWNER_REVIEW_AND_ZERO_REQUIRED_COMPATIBILITY_TRAFFIC","REVERT_PHASE_5_ROUTE_COMMIT_WITHOUT_RESTORING_COMPETING_UI","PENDING_EXACT_SOURCE_BROWSER","TRANSPARENT_REDIRECT"
"route-page-studio","/studio","historical Creator root","src/app/studio/page.tsx","/studio/library","NONE_BEFORE_REDIRECT","NO_PARALLEL_WRITER","TRANSPARENT_REDIRECT","AUTHENTICATED_CAPABILITY_REQUIRED","/studio/library","SAFE_ALLOWLIST_ONLY","NONE_REQUIRED_OR_CANONICALIZED","CREATOR_WORKSPACE_OR_CONTEXT","BOUNDED_EXISTING_OBSERVATION","OWNER_REVIEW_AND_ZERO_REQUIRED_COMPATIBILITY_TRAFFIC","REVERT_PHASE_5_ROUTE_COMMIT_WITHOUT_RESTORING_COMPETING_UI","PENDING_EXACT_SOURCE_BROWSER","TRANSPARENT_REDIRECT"
"route-page-quartermaster","/quartermaster","legacy Captain console root","src/app/quartermaster/page.tsx","/captain/library","BOUNDED_CANONICAL_OR_COMPATIBILITY_READ","NO_PARALLEL_WRITER","CANONICAL_CONTEXT_ADAPTER","AUTHENTICATED_CAPABILITY_REQUIRED","/captain/library","SAFE_ALLOWLIST_ONLY","NONE_REQUIRED_OR_CANONICALIZED","CAPTAIN_WORKSPACE_OR_CONTEXT","BOUNDED_EXISTING_OBSERVATION","OWNER_REVIEW_AND_ZERO_REQUIRED_COMPATIBILITY_TRAFFIC","REVERT_PHASE_5_ROUTE_COMMIT_WITHOUT_RESTORING_COMPETING_UI","PENDING_EXACT_SOURCE_BROWSER","CANONICAL_CONTEXT_ADAPTER"
"route-page-quartermaster-workspace","/quartermaster/[workspace]","legacy focused Captain console","src/app/quartermaster/[workspace]/page.tsx","/captain/library","BOUNDED_CANONICAL_OR_COMPATIBILITY_READ","NO_PARALLEL_WRITER","CANONICAL_CONTEXT_ADAPTER","AUTHENTICATED_CAPABILITY_REQUIRED","/captain/library","SAFE_ALLOWLIST_ONLY","NONE_REQUIRED_OR_CANONICALIZED","CAPTAIN_WORKSPACE_OR_CONTEXT","BOUNDED_EXISTING_OBSERVATION","OWNER_REVIEW_AND_ZERO_REQUIRED_COMPATIBILITY_TRAFFIC","REVERT_PHASE_5_ROUTE_COMMIT_WITHOUT_RESTORING_COMPETING_UI","PENDING_EXACT_SOURCE_BROWSER","CANONICAL_CONTEXT_ADAPTER"
"route-page-tale-campaignslug","/tale/[campaignSlug]","legacy Chronicle access route","src/app/tale/[campaignSlug]/page.tsx","/play/[taleSlug]/session/[sessionId]","BOUNDED_CANONICAL_OR_COMPATIBILITY_READ","NO_PARALLEL_WRITER","CANONICAL_CONTEXT_ADAPTER","ANONYMOUS_ALLOWED","/play/[taleSlug]/session/[sessionId]","SAFE_ALLOWLIST_ONLY","NONE_REQUIRED_OR_CANONICALIZED","CHRONICLE_DISCOVERY_OR_CONTEXT","BOUNDED_EXISTING_OBSERVATION","OWNER_REVIEW_AND_ZERO_REQUIRED_COMPATIBILITY_TRAFFIC","REVERT_PHASE_5_ROUTE_COMMIT_WITHOUT_RESTORING_COMPETING_UI","PENDING_EXACT_SOURCE_BROWSER","CANONICAL_CONTEXT_ADAPTER"
"route-page-player-playthroughs-playthroughid-archive","/player/playthroughs/[playthroughId]/archive","historical Journal archive route","src/app/player/playthroughs/[playthroughId]/archive/page.tsx","/player/playthroughs/[playthroughId]/journal","NONE_BEFORE_REDIRECT","NO_PARALLEL_WRITER","TRANSPARENT_REDIRECT","AUTHENTICATED_PLAYER_REQUIRED","/player/playthroughs/[playthroughId]/journal","SAFE_ALLOWLIST_ONLY","NONE_REQUIRED_OR_CANONICALIZED","PLAYER_WORKSPACE_OR_CONTEXT","BOUNDED_EXISTING_OBSERVATION","OWNER_REVIEW_AND_ZERO_REQUIRED_COMPATIBILITY_TRAFFIC","REVERT_PHASE_5_ROUTE_COMMIT_WITHOUT_RESTORING_COMPETING_UI","PENDING_EXACT_SOURCE_BROWSER","TRANSPARENT_REDIRECT"
"route-page-community-voyage-logs-media","/community/voyage-logs/media","standalone media editor superseded by owner editor","src/app/community/voyage-logs/media/page.tsx","/community/voyage-logs/owner","NONE_BEFORE_REDIRECT","NO_PARALLEL_WRITER","TRANSPARENT_REDIRECT","ANONYMOUS_ALLOWED","/community/voyage-logs/owner","SAFE_ALLOWLIST_ONLY","NONE_REQUIRED_OR_CANONICALIZED","COMMUNITY_DISTRICT_OR_CONTEXT","BOUNDED_EXISTING_OBSERVATION","OWNER_REVIEW_AND_ZERO_REQUIRED_COMPATIBILITY_TRAFFIC","REVERT_PHASE_5_ROUTE_COMMIT_WITHOUT_RESTORING_COMPETING_UI","PENDING_EXACT_SOURCE_BROWSER","TRANSPARENT_REDIRECT"
