"screen_id","route","criticality","viewport_family","viewport","layout_mode","shell_behavior","navigation_behavior","content_columns","card_behavior","form_behavior","table_list_transformation","dialogs_drawers","sticky_elements","overflow","scroll","touch_targets","evidence","test_result"
"screen-page-root","route-page-root","CRITICAL","LARGE_DESKTOP","1600x1000","GOVERNED_DESKTOP_OR_TABLET","GATEWAY_STANDARD","Visible, keyboard and touch operable, with contextual exit retained.","ONE_TO_THREE_BY_SURFACE","No unreadable slivers; stacks or intentional shelf affordance.","Labels, descriptions, validation, and actions remain visible.","Governed responsive list or intentional scroll container.","Viewport-bounded internal scroll with focus containment and body-lock restoration.","Do not cover headings or critical controls.","NO_ACCIDENTAL_HORIZONTAL_DOCUMENT_OVERFLOW","DOCUMENT_OR_EXPLICIT_NAMED_REGION","GOVERNED_TARGET_SIZE","HP-P6-EV-001-root-standard-desktop;HP-P6-EV-059-root-compact-desktop","PASSED"
"screen-page-root","route-page-root","CRITICAL","STANDARD_DESKTOP","1440x900","GOVERNED_DESKTOP_OR_TABLET","GATEWAY_STANDARD","Visible, keyboard and touch operable, with contextual exit retained.","ONE_TO_THREE_BY_SURFACE","No unreadable slivers; stacks or intentional shelf affordance.","Labels, descriptions, validation, and actions remain visible.","Governed responsive list or intentional scroll container.","Viewport-bounded internal scroll with focus containment and body-lock restoration.","Do not cover headings or critical controls.","NO_ACCIDENTAL_HORIZONTAL_DOCUMENT_OVERFLOW","DOCUMENT_OR_EXPLICIT_NAMED_REGION","GOVERNED_TARGET_SIZE","HP-P6-EV-001-root-standard-desktop;HP-P6-EV-059-root-compact-desktop","PASSED"
"screen-page-root","route-page-root","CRITICAL","COMPACT_DESKTOP","1280x720","GOVERNED_DESKTOP_OR_TABLET","GATEWAY_STANDARD","Visible, keyboard and touch operable, with contextual exit retained.","ONE_TO_THREE_BY_SURFACE","No unreadable slivers; stacks or intentional shelf affordance.","Labels, descriptions, validation, and actions remain visible.","Governed responsive list or intentional scroll container.","Viewport-bounded internal scroll with focus containment and body-lock restoration.","Do not cover headings or critical controls.","NO_ACCIDENTAL_HORIZONTAL_DOCUMENT_OVERFLOW","DOCUMENT_OR_EXPLICIT_NAMED_REGION","GOVERNED_TARGET_SIZE","HP-P6-EV-001-root-standard-desktop;HP-P6-EV-059-root-compact-desktop","PASSED"
"screen-page-root","route-page-root","CRITICAL","TABLET_LANDSCAPE","1024x768","GOVERNED_DESKTOP_OR_TABLET","GATEWAY_STANDARD","Visible, keyboard and touch operable, with contextual exit retained.","ONE_TO_THREE_BY_SURFACE","No unreadable slivers; stacks or intentional shelf affordance.","Labels, descriptions, validation, and actions remain visible.","Governed responsive list or intentional scroll container.","Viewport-bounded internal scroll with focus containment and body-lock restoration.","Do not cover headings or critical controls.","NO_ACCIDENTAL_HORIZONTAL_DOCUMENT_OVERFLOW","DOCUMENT_OR_EXPLICIT_NAMED_REGION","GOVERNED_TARGET_SIZE","HP-P6-EV-001-root-standard-desktop;HP-P6-EV-059-root-compact-desktop","PASSED"
"screen-page-root","route-page-root","CRITICAL","TABLET_PORTRAIT","768x1024","SINGLE_COLUMN_OR_GOVERNED_DRAWER","GATEWAY_STANDARD","Visible, keyboard and touch operable, with contextual exit retained.","ONE","No unreadable slivers; stacks or intentional shelf affordance.","Labels, descriptions, validation, and actions remain visible.","Governed responsive list or intentional scroll container.","Viewport-bounded internal scroll with focus containment and body-lock restoration.","Do not cover headings or critical controls.","NO_ACCIDENTAL_HORIZONTAL_DOCUMENT_OVERFLOW","DOCUMENT_OR_EXPLICIT_NAMED_REGION","GOVERNED_TARGET_SIZE","HP-P6-EV-001-root-standard-desktop;HP-P6-EV-059-root-compact-desktop","PASSED"
"screen-page-root","route-page-root","CRITICAL","MODERN_MOBILE","390x844","SINGLE_COLUMN_OR_GOVERNED_DRAWER","GATEWAY_STANDARD","Visible, keyboard and touch operable, with contextual exit retained.","ONE","No unreadable slivers; stacks or intentional shelf affordance.","Labels, descriptions, validation, and actions remain visible.","Governed responsive list or intentional scroll container.","Viewport-bounded internal scroll with focus containment and body-lock restoration.","Do not cover headings or critical controls.","NO_ACCIDENTAL_HORIZONTAL_DOCUMENT_OVERFLOW","DOCUMENT_OR_EXPLICIT_NAMED_REGION","GOVERNED_TARGET_SIZE","HP-P6-EV-002-root-modern-mobile;HP-P6-EV-062-root-narrow-mobile","PASSED"
"screen-page-root","route-page-root","CRITICAL","NARROW_MOBILE","320x568","SINGLE_COLUMN_OR_GOVERNED_DRAWER","GATEWAY_STANDARD","Visible, keyboard and touch operable, with contextual exit retained.","ONE","No unreadable slivers; stacks or intentional shelf affordance.","Labels, descriptions, validation, and actions remain visible.","Governed responsive list or intentional scroll container.","Viewport-bounded internal scroll with focus containment and body-lock restoration.","Do not cover headings or critical controls.","NO_ACCIDENTAL_HORIZONTAL_DOCUMENT_OVERFLOW","DOCUMENT_OR_EXPLICIT_NAMED_REGION","GOVERNED_TARGET_SIZE","HP-P6-EV-002-root-modern-mobile;HP-P6-EV-062-root-narrow-mobile","PASSED"
"screen-page-root","route-page-root","CRITICAL","EFFECTIVE_200_PERCENT","720x450","SINGLE_COLUMN_OR_GOVERNED_DRAWER","GATEWAY_STANDARD","Visible, keyboard and touch operable, with contextual exit retained.","ONE","No unreadable slivers; stacks or intentional shelf affordance.","Labels, descriptions, validation, and actions remain visible.","Governed responsive list or intentional scroll container.","Viewport-bounded internal scroll with focus containment and body-lock restoration.","Do not cover headings or critical controls.","NO_ACCIDENTAL_HORIZONTAL_DOCUMENT_OVERFLOW","DOCUMENT_OR_EXPLICIT_NAMED_REGION","GOVERNED_TARGET_SIZE","","PASSED"
"screen-page-account","route-page-account","CRITICAL","LARGE_DESKTOP","1600x1000","GOVERNED_DESKTOP_OR_TABLET","WORKSPACE_STANDARD","Visible, keyboard and touch operable, with contextual exit retained.","ONE_TO_THREE_BY_SURFACE","No unreadable slivers; stacks or intentional shelf affordance.","Labels, descriptions, validation, and actions remain visible.","Governed responsive list or intentional scroll container.","Viewport-bounded internal scroll with focus containment and body-lock restoration.","Do not cover headings or critical controls.","NO_ACCIDENTAL_HORIZONTAL_DOCUMENT_OVERFLOW","DOCUMENT_OR_EXPLICIT_NAMED_REGION","GOVERNED_TARGET_SIZE","HP-P6-EV-011-account-standard-desktop;HP-P6-EV-079-account-compact-desktop","PASSED"
"screen-page-account","route-page-account","CRITICAL","STANDARD_DESKTOP","1440x900","GOVERNED_DESKTOP_OR_TABLET","WORKSPACE_STANDARD","Visible, keyboard and touch operable, with contextual exit retained.","ONE_TO_THREE_BY_SURFACE","No unreadable slivers; stacks or intentional shelf affordance.","Labels, descriptions, validation, and actions remain visible.","Governed responsive list or intentional scroll container.","Viewport-bounded internal scroll with focus containment and body-lock restoration.","Do not cover headings or critical controls.","NO_ACCIDENTAL_HORIZONTAL_DOCUMENT_OVERFLOW","DOCUMENT_OR_EXPLICIT_NAMED_REGION","GOVERNED_TARGET_SIZE","HP-P6-EV-011-account-standard-desktop;HP-P6-EV-079-account-compact-desktop","PASSED"
