preference_id,label,stored_field,source_authority,default,affected_components,runtime_behavior,immediate_or_reload_behavior,multi_tab_behavior,server_client_boundary,reduced_motion_relationship,test,evidence,final_status
"HP-PREF-THEME","Theme","experience.theme","Wayfarer ProfilePreference","SYSTEM","ProductShell; all ordinary surfaces","SYSTEM follows browser; LIGHT/DARK/HIGH_CONTRAST set governed product color tokens","immediate after save; persists after reload","storage event or focus revalidation applies newest authoritative revision","server persists and validates; client applies safe tokens","HIGH_CONTRAST remains compatible with forced colors","homeport.correction.preferences.theme","HP-OWCR1-EV-AE-CORRECTION-FULL-REGRESSION","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING"
"HP-PREF-MOTION","Motion","experience.motion","Wayfarer ProfilePreference plus Lanternwake resolver","SYSTEM","AnimationProvider; ProductShell; menus; routes; home; Community","SYSTEM resolves platform; FULL/GENTLE/REDUCED select governed motion policy","immediate preview and save; persists after reload","newest authoritative revision reconciles without clobbering dirty drafts","server persists; Lanternwake client resolver applies with OS override","OS reduced-motion override always wins; REDUCED renders semantic final state","homeport.correction.preferences.motion","HP-OWCR1-EV-AA-REDUCED-MOTION","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING"
"HP-PREF-TEXT-SCALE","Text scale","experience.textScale","Wayfarer ProfilePreference","1","ProductShell content root; Personal Harbor; Passport; ordinary text surfaces","sets governed product text-scale token from 0.8 through 2.0 without layout loss","immediate preview and save; persists after reload","newest authoritative revision applies on storage/focus reconciliation","server bounds value; client applies CSS custom property","independent of motion; effective 200 percent zoom remains supported","homeport.correction.preferences.text-scale","HP-OWCR1-EV-AE-CORRECTION-FULL-REGRESSION","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING"
"HP-PREF-CONTRAST","Contrast","experience.contrast","Wayfarer ProfilePreference plus platform resolver","SYSTEM","ProductShell and governed color tokens","SYSTEM follows platform; STANDARD/HIGH select product contrast tokens","immediate after save; persists after reload","newest authoritative revision reconciles","server validates; client applies; forced-colors remains authoritative","no motion dependency","homeport.correction.preferences.contrast","HP-OWCR1-EV-AE-CORRECTION-FULL-REGRESSION","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING"
"HP-PREF-AUTOPLAY","Allow media autoplay","experience.autoplay","Wayfarer ProfilePreference","true","Sealed Hold media presentation adapters","allows autoplay only when media policy, browser permission, bandwidth, consent, and motion policy also allow it","next eligible media load; persists after reload","newest authoritative revision controls subsequent playback","server persists intent; media client enforces conservative effective policy","reduced motion suppresses decorative autoplay even when enabled","homeport.correction.preferences.autoplay","HP-OWCR1-EV-AE-CORRECTION-FULL-REGRESSION","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING"
"HP-PREF-LOW-BANDWIDTH","Prefer low-bandwidth media","experience.lowBandwidthMedia","Wayfarer ProfilePreference","false","Sealed Hold image/audio/video source selection","selects lower-bandwidth eligible renditions and prevents nonessential preloads","immediate for subsequent requests; persists after reload","newest authoritative revision controls subsequent requests","server exposes safe intent; client/source adapter chooses eligible rendition","compatible with all motion modes and suppresses decorative media cost","homeport.correction.preferences.low-bandwidth","HP-OWCR1-EV-AE-CORRECTION-FULL-REGRESSION","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING"
"HP-PREF-CAPTIONS","Prefer captions","experience.captions","Wayfarer ProfilePreference","false","Sealed Hold caption-capable media player","enables available captions by default without inventing tracks","next player initialization and active supported player; persists after reload","newest authoritative revision reconciles","server persists; media client enables only available caption track","independent of motion","homeport.correction.preferences.captions","HP-OWCR1-EV-AE-CORRECTION-FULL-REGRESSION","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING"
"HP-PREF-TRANSCRIPTS","Prefer transcripts","experience.transcripts","Wayfarer ProfilePreference","false","Transcript-capable Chronicle and Community media","shows available transcript affordance/content by default without fabricating it","immediate on supported surface; persists after reload","newest authoritative revision reconciles","server persists; client requests only authorized transcript projection","independent of motion","homeport.correction.preferences.transcripts","HP-OWCR1-EV-AE-CORRECTION-FULL-REGRESSION","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING"
"HP-PREF-AUDIO-DESCRIPTION","Prefer audio descriptions","experience.audioDescription","Wayfarer ProfilePreference","false","Sealed Hold alternate-track media adapters","selects an available audio-description track by default and truthfully reports absence","next player initialization; persists after reload","newest authoritative revision reconciles","server persists; client selects only authorized available track","independent of motion","homeport.correction.preferences.audio-description","HP-OWCR1-EV-AE-CORRECTION-FULL-REGRESSION","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING"
"HP-PREF-PROFILE-DISCOVERY","Allow Profile discovery","discovery.searchable","Wayfarer ProfilePreference and public Profile query policy","false","Public Profile discovery/search projections","includes or excludes the Profile from governed discovery; direct authorized route policy remains separate","server-effective after save; persists after reload","all tabs observe newest authoritative query result after reconciliation","server enforces discoverability; client never filters private truth","independent of motion","homeport.correction.preferences.profile-discovery","HP-OWCR1-EV-F-PUBLIC-PROFILE-DESTINATION","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING"
"HP-PREF-INVITATION-POLICY","Invitation policy","social.invitationPolicy","Wayfarer ProfilePreference and One Voyage invitation policy","CREW_ONLY","Chronicle and crew invitation creation","server permits invitation requests only from the selected audience and returns typed denial","server-effective after save; persists after reload","all tabs use newest server policy","server is authoritative; client presentation is advisory","independent of motion","homeport.correction.preferences.invitation-policy","HP-OWCR1-EV-AE-CORRECTION-FULL-REGRESSION","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING"
