Schema Version,Shard ID,Source ID,Source Ordinal,Source Section,Source Requirement,Source SHA256,Baseline Matrix IDs,Baseline Coverage Status,Current Matrix IDs,New Matrix IDs,Coverage Status,Coverage Rationale,Uncovered Scope,Mapping Evidence,Correct Libraries,Trigger,Replay Policy,Reduced Motion Behavior,Acceptance Criteria,Test Plan References,Roadmap Phase,Project Lanternwake Phase,Implementation Status,Architecture Dependency,Scene Host Required,Ownership Contract Required,Target Contract Required,Architecture Validation Status,Architecture Evidence,Blocked By,Implemented In Commit,Validation Status,Validation Evidence,Superseded By,Disposition Decision ID,Disposition Date,Disposition Rationale,Approval Reference,Notes
lanternwake-reconciliation/v1,O1,OA-001,1,Landing and role gateway,Star-field twinkle with randomized restrained timing.,f007d22646c123435bf874024b5195269339d53e8cd0fe8fbfcb2960dc735972,AS-001,partial,MX-140,MX-140,exact,Dedicated row preserves continuous star-field twinkle without conflating it with first-arrival choreography.,,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md;Development_Docs/Animation_System_Audit_Matrix.csv;src/components/landing/HarborLanding.tsx,css,Landing star field mounts and motion policy resolves,Loop only while visible; reseed on remount; no narrative replay,Static star field with no luminance pulsing,Twinkle timing remains restrained and non-synchronous; pauses when hidden; no layout shift or semantic dependency.,Development_Docs/Animation_System_Test_Plan.md;tests/e2e/tall-tale-platform.spec.ts,Phase 4,Phase 4,architecture_blocked,Phase 2 ownership permits for component-local CSS animation,no,yes,no,in_progress,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md;Development_Docs/Animation_System_Audit_Matrix.csv;src/components/landing/HarborLanding.tsx,Phase 4 implementation and integrated validation,,planned,,,,,,,Baseline coverage rationale: First-arrival contains a star target but does not preserve an independently specified restrained randomized twinkle contract.
lanternwake-reconciliation/v1,O1,OA-002,2,Landing and role gateway,Moon glow breathing.,06f5e5ab1145512a98958923fe0e2658cf6fe5e8102ad229fec4ca0eac5a047a,AL-001,partial,MX-141,MX-141,exact,Dedicated row preserves moon glow breathing separately from the waves runtime.,,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md;Development_Docs/Animation_System_Audit_Matrix.csv;src/components/landing/HarborLanding.tsx,css,Landing moon becomes visible and motion policy resolves,Loop only while visible; restart from stable base pose,Stable moon glow with no breathing,"Glow modulation stays subtle, never affects text contrast, pauses when hidden, and restores its base token on cleanup.",Development_Docs/Animation_System_Test_Plan.md;tests/e2e/tall-tale-platform.spec.ts,Phase 4,Phase 4,architecture_blocked,Phase 2 ownership permits for component-local CSS animation,no,yes,no,in_progress,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md;Development_Docs/Animation_System_Audit_Matrix.csv;src/components/landing/HarborLanding.tsx,Phase 4 implementation and integrated validation,,planned,,,,,,,Baseline coverage rationale: Moonlit-waves ambient coverage does not define the moon glow breathing behavior or its independent amplitude budget.
lanternwake-reconciliation/v1,O1,OA-003,3,Landing and role gateway,Distant ship parallax.,2caad8fc4975d479f689e5c7c4a23124d0424dbf0d4c003d0f9a3765be54fb58,AS-001;MX-001,partial,MX-142,MX-142,exact,Dedicated row preserves depth-layer identity and parallax limits.,,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md;Development_Docs/Animation_System_Audit_Matrix.csv;src/components/landing/HarborLanding.tsx,gsap,Landing depth layers mount and pointer or device input is eligible,Continuous response while mounted; reset to neutral when input leaves,Static ship at the neutral depth pose,"Ship movement is bounded to a decorative child, never tracks raw input while hidden, and returns exactly to neutral on cleanup.",Development_Docs/Animation_System_Test_Plan.md;tests/e2e/tall-tale-platform.spec.ts,Phase 4,Phase 4,architecture_blocked,Phase 2 ownership permits and explicit target identity,no,yes,no,in_progress,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md;Development_Docs/Animation_System_Audit_Matrix.csv;src/components/landing/HarborLanding.tsx,Phase 4 implementation and integrated validation,,planned,,,,,,,Baseline coverage rationale: Arrival and gateway-reveal rows provide supporting composition coverage but no persistent distant-ship parallax contract.
lanternwake-reconciliation/v1,O1,OA-004,4,Landing and role gateway,Fog depth separation.,cbb6e47044f1638dc25e24154ddd47262e4929b26724d03ac489abdcfcb27ff5,AL-002,partial,MX-143,MX-143,exact,Dedicated row preserves the requested fog depth separation rather than treating any fog loop as sufficient.,,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md;Development_Docs/Animation_System_Audit_Matrix.csv;src/components/animation/LottieEffect.tsx;src/components/landing/HarborLanding.tsx,lottie,Landing fog layers mount and become visible,Loop only while visible; preserve layer phase across policy changes,Static separated fog layers with readable foreground content,"At least two bounded decorative depth layers remain visually distinct, do not obscure controls, and clean up one runtime per layer.",Development_Docs/Animation_System_Test_Plan.md;tests/e2e/tall-tale-platform.spec.ts,Phase 4,Phase 4,partially_implemented,Phase 2 runtime-surface ownership and local target boundaries,no,yes,no,in_progress,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md;Development_Docs/Animation_System_Audit_Matrix.csv;src/components/animation/LottieEffect.tsx;src/components/landing/HarborLanding.tsx,Phase 4 completion and integrated validation,,planned,,,,,,,Baseline coverage rationale: Rolling-fog ambient coverage does not specify separate foreground and background fog depth behavior.
lanternwake-reconciliation/v1,O1,OA-005,5,Landing and role gateway,Dock foreground parallax on pointer movement.,0878ed7c3f27ef75d7e6d87720626c54408e44c8cfc20c7883bee145a04372d9,,missing,MX-144,MX-144,exact,Dedicated row supplies the previously missing dock foreground parallax requirement.,,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md;Development_Docs/Animation_System_Audit_Matrix.csv;src/components/landing/HarborLanding.tsx,gsap,Fine-pointer movement over the landing gateway,Continuous while eligible; return to neutral on pointer leave and unmount,Static dock foreground at the neutral pose,"Pointer parallax is bounded, disabled for coarse pointers and reduced motion, cannot move interactive nodes, and returns to neutral without retained transforms.",Development_Docs/Animation_System_Test_Plan.md;tests/e2e/tall-tale-platform.spec.ts,Phase 4,Phase 4,architecture_blocked,Phase 2 ownership permits and explicit decorative target identity,no,yes,no,in_progress,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md;Development_Docs/Animation_System_Audit_Matrix.csv;src/components/landing/HarborLanding.tsx,Phase 4 implementation and integrated validation,,planned,,,,,,,Baseline coverage rationale: No baseline row specifies dock foreground parallax driven by pointer movement.
lanternwake-reconciliation/v1,O1,OA-006,6,Landing and role gateway,Role-object hover states unique to each role.,70e45234c98669aebd08d67a8abe25665170f96df06e37ac876ec7d9359bbb4d,AG-002;MX-002;MX-003;MX-004,combined,AG-002;MX-002;MX-003;MX-004,,exact,Existing distinct role rows are the truthful multi-row mapping for this shared source requirement.,,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md;Development_Docs/Animation_System_Audit_Matrix.csv;src/components/landing/HarborLanding.tsx,css;gsap;motion,"Pointer hover, keyboard focus, or touch press on a role object",Every eligible intent; ambient loop only while mounted,"Color, border, and static role-specific emphasis without spatial lift",Each role has a distinct response on pointer and keyboard focus; semantics remain on the Motion-owned card; GSAP moves only its decorative child.,Development_Docs/Animation_System_Test_Plan.md;tests/e2e/tall-tale-platform.spec.ts,Phase 4,Phase 4,partially_implemented,Phase 2 wrapper-level ownership separation,no,yes,no,in_progress,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md;Development_Docs/Animation_System_Audit_Matrix.csv;src/components/landing/HarborLanding.tsx,Phase 4 completion and integrated validation,,planned,,,,,,,"Baseline coverage rationale: Three role-intent rows plus ambient role-object motion collectively preserve unique Player, Captain, and Creator responses."
lanternwake-reconciliation/v1,O1,OA-007,7,Landing and role gateway,Player journal clasp twitch.,be601c5f6731b477cf7e71bd5ee1c5d40e78e7b3c75e685601bda623de9567a3,MX-002,partial,MX-145,MX-145,exact,Dedicated row preserves the Player journal clasp response without hiding it in a broad hover row.,,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md;Development_Docs/Animation_System_Audit_Matrix.csv;src/components/landing/HarborLanding.tsx,css,"Player journal role object receives pointer, keyboard, or touch intent",Every eligible intent; cancel and restore on leave or blur,Static clasp emphasis without rotation or travel,"The clasp twitch runs on a decorative child, is keyboard-equivalent, cannot steal focus, and restores its exact resting pose.",Development_Docs/Animation_System_Test_Plan.md;tests/e2e/tall-tale-platform.spec.ts,Phase 4,Phase 4,architecture_blocked,Phase 2 component-local ownership permits,no,yes,no,in_progress,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md;Development_Docs/Animation_System_Audit_Matrix.csv;src/components/landing/HarborLanding.tsx,Phase 4 implementation and integrated validation,,planned,,,,,,,Baseline coverage rationale: Player role intent supports the same object but does not preserve the clasp-twitch detail as an independently testable behavior.
lanternwake-reconciliation/v1,O1,OA-008,8,Landing and role gateway,Captain wheel slight bearing correction.,b208edd3516479713641a773387c1993e1a338b4d839509f06e090c7603f322c,MX-003,partial,MX-146,MX-146,exact,Dedicated row preserves the Captain wheel correction as its own bounded target contract.,,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md;Development_Docs/Animation_System_Audit_Matrix.csv;src/components/landing/HarborLanding.tsx,gsap,"Captain wheel role object receives pointer, keyboard, or touch intent","Every eligible intent; restore bearing on leave, blur, interruption, or unmount",Static brass bearing highlight,"Wheel correction stays low amplitude, runs on a decorative child only, and returns to the canonical bearing after every exit path.",Development_Docs/Animation_System_Test_Plan.md;tests/e2e/tall-tale-platform.spec.ts,Phase 4,Phase 4,architecture_blocked,Phase 2 ownership permits and explicit decorative target identity,no,yes,no,in_progress,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md;Development_Docs/Animation_System_Audit_Matrix.csv;src/components/landing/HarborLanding.tsx,Phase 4 implementation and integrated validation,,planned,,,,,,,Baseline coverage rationale: Captain role intent is supporting coverage but does not isolate the wheel bearing correction.
lanternwake-reconciliation/v1,O1,OA-009,9,Landing and role gateway,Creator quill ink pulse.,f384d5118c1fdd56c22d0564b951b8418814e62c3233e99bdf018b8309c1f0c7,MX-004,partial,MX-147,MX-147,exact,Dedicated row preserves the Creator quill ink pulse separately from the broad role response.,,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md;Development_Docs/Animation_System_Audit_Matrix.csv;src/components/landing/HarborLanding.tsx,css,"Creator quill role object receives pointer, keyboard, or touch intent",Every eligible intent; restore on leave or blur,Static ink underline or color emphasis,"Ink pulse is restrained, keyboard-equivalent, contained to a decorative child, and preserves text contrast and resting state.",Development_Docs/Animation_System_Test_Plan.md;tests/e2e/tall-tale-platform.spec.ts,Phase 4,Phase 4,architecture_blocked,Phase 2 component-local ownership permits,no,yes,no,in_progress,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md;Development_Docs/Animation_System_Audit_Matrix.csv;src/components/landing/HarborLanding.tsx,Phase 4 implementation and integrated validation,,planned,,,,,,,Baseline coverage rationale: Creator role intent is supporting coverage but does not isolate the quill ink pulse.
lanternwake-reconciliation/v1,O1,OA-010,10,Landing and role gateway,Shared-layout transition from selected role object into its sign-in page.,1cfa57589e648a15e3c1b2f675c13b9e359a497768ca2ec6023a1ed312f8841a,MX-005,exact,MX-005,,exact,"The existing route-handoff row preserves the selected role object, sibling softening, and destination continuity.",,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md;Development_Docs/Animation_System_Audit_Matrix.csv;src/components/landing/HarborLanding.tsx,motion,Successful role link activation before router transition,Every navigation; presentation replay only if the same route intent is explicitly retriggered,Immediate selected state followed by navigation,"The selected semantic role remains identifiable, focus is not lost, siblings never block navigation, and failed routing restores an interactive gateway.",Development_Docs/Animation_System_Test_Plan.md;tests/e2e/access-gates.spec.ts;tests/e2e/tall-tale-platform.spec.ts,Phase 4,Phase 4,architecture_blocked,"Phase 2 gateway host, ownership permits, target handles, and final-state handoff",yes,yes,yes,in_progress,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md;Development_Docs/Animation_System_Audit_Matrix.csv;src/components/landing/HarborLanding.tsx,Phase 4 implementation and integrated route validation,,planned,,,,,,,Baseline coverage rationale: Role-selected route handoff already specifies the selected-object shared transition into the destination.
lanternwake-reconciliation/v1,O1,OA-011,11,Landing and role gateway,Status-loading reveal when session information arrives.,ba1d587443f976fd244352058c5bf2af0696585c9fb30016b85ae61ff2a51afa,MX-001,partial,MX-148,MX-148,exact,"Dedicated row makes session-status loading, success, failure, and reveal independently testable.",,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md;Development_Docs/Animation_System_Audit_Matrix.csv;src/components/landing/HarborLanding.tsx,motion,"Session status request resolves, fails, or times out",Once per request generation; later refreshes reconcile only changed status,Immediate readable status with no entrance travel,Loading remains announced; resolved status appears only from authoritative data; stale responses cannot replace newer state; failure leaves role navigation usable.,Development_Docs/Animation_System_Test_Plan.md;tests/e2e/tall-tale-platform.spec.ts,Phase 4,Phase 4,architecture_blocked,Phase 2 ownership permits for status presence,no,yes,no,in_progress,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md;Development_Docs/Animation_System_Audit_Matrix.csv;src/components/landing/HarborLanding.tsx,Phase 4 implementation and integrated async-state validation,,planned,,,,,,,Baseline coverage rationale: Asset-ready gateway reveal supports status arrival but does not separately preserve session-information loading and reveal semantics.
lanternwake-reconciliation/v1,O1,OA-012,12,Landing and role gateway,“Session remembered” badge animation.,115fc4085ae00321da2542e639da0556db1a1feeaf3bbd349efc240b25d8c517,MX-002;MX-003;MX-004,partial,MX-149,MX-149,exact,Dedicated row preserves the remembered-session badge behavior across all applicable roles.,,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md;Development_Docs/Animation_System_Audit_Matrix.csv;src/components/landing/HarborLanding.tsx,motion,Authoritative session status changes from unknown to remembered,Once per status-version change; no replay on unchanged polling,Badge appears immediately with readable text and no spatial motion,"Badge animation never precedes authoritative status, remains textually distinct from role choice, and preserves layout and focus when status changes.",Development_Docs/Animation_System_Test_Plan.md;tests/e2e/tall-tale-platform.spec.ts,Phase 4,Phase 4,architecture_blocked,Phase 2 ownership permits for status presence,no,yes,no,in_progress,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md;Development_Docs/Animation_System_Audit_Matrix.csv;src/components/landing/HarborLanding.tsx,Phase 4 implementation and integrated async-state validation,,planned,,,,,,,Baseline coverage rationale: Role rows contain remembered-session copy but no explicit badge animation or identity-preserving status transition.
lanternwake-reconciliation/v1,O1,OA-013,13,Landing and role gateway,Responsive transition from three cards to mobile stacked objects.,f459f4416470245ae778a7a0884bb878b93c465701ddd076e492574250fa337c,AG-002,partial,MX-150,MX-150,exact,Dedicated row separates responsive layout continuity from ambient role-object animation.,,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md;Development_Docs/Animation_System_Audit_Matrix.csv;src/components/landing/HarborLanding.tsx;src/styles/landing.css,motion,Gateway crosses its responsive layout breakpoint,Every genuine breakpoint change; do not replay on unrelated resize events,Immediate stacked or grid layout with stable reading order,"All three roles retain identity, DOM reading order, focus, and active intent across desktop, portrait, and landscape transitions with no horizontal overflow.",Development_Docs/Animation_System_Test_Plan.md;tests/e2e/tall-tale-platform.spec.ts,Phase 4,Phase 4,architecture_blocked,Phase 2 Motion ownership for responsive semantic wrappers,no,yes,no,in_progress,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md;Development_Docs/Animation_System_Audit_Matrix.csv;src/components/landing/HarborLanding.tsx;src/styles/landing.css,Phase 4 implementation and six-viewport validation,,planned,,,,,,,"Baseline coverage rationale: Role-object ambient motion exists, but no baseline row preserves the responsive three-card to mobile-stack transition."
