"evidence_id","screen_id","route","product_area","state","criticality","fixture","account_state","viewport_family","viewport","zoom","motion_mode","source_sha","browser_version","capture_path","checksum","visual_review_classification","defects_found","correction_commit","final_status"
"HP-P6-EV-001-root-standard-desktop","screen-page-root","/","Gateway and public shell","READY_POPULATED","CRITICAL","homeport-phase6-v1","ANONYMOUS","STANDARD_DESKTOP","1440x900","100_PERCENT","FULL","e02ee0dae0469a2ba573beaf409c0b34e8668d09","Chromium 141.0.7390.37","Development_Docs/Projects/Project_Homeport/evidence/phase6/HP-P6-EV-001-root-standard-desktop.png","4c1c6c44de8007dec2a05fda240249f4e87b56b7b6f7fe2335323f2e7f5cc024","ACCEPTED","NONE_AFTER_SOURCE_BOUND_VISUAL_REVIEW","NOT_REQUIRED_AFTER_CAPTURE","ACTIVE_ACCEPTED"
"HP-P6-EV-002-root-modern-mobile","screen-page-root","/","Gateway and public shell","READY_POPULATED","CRITICAL","homeport-phase6-v1","ANONYMOUS","MODERN_MOBILE","390x844","100_PERCENT","FULL","e02ee0dae0469a2ba573beaf409c0b34e8668d09","Chromium 141.0.7390.37","Development_Docs/Projects/Project_Homeport/evidence/phase6/HP-P6-EV-002-root-modern-mobile.png","661f40c43a7dc7a3f55376675a282e1c10a6562b284235f2be93fb733a0e7477","ACCEPTED","NONE_AFTER_SOURCE_BOUND_VISUAL_REVIEW","NOT_REQUIRED_AFTER_CAPTURE","ACTIVE_ACCEPTED"
"HP-P6-EV-003-sign-in-standard-desktop","screen-page-sign-in","/sign-in","Identity and session","READY_POPULATED","CRITICAL","homeport-phase6-v1","ANONYMOUS","STANDARD_DESKTOP","1440x900","100_PERCENT","FULL","e02ee0dae0469a2ba573beaf409c0b34e8668d09","Chromium 141.0.7390.37","Development_Docs/Projects/Project_Homeport/evidence/phase6/HP-P6-EV-003-sign-in-standard-desktop.png","12ae1399d658c90d08417354d697df56ab0ac3b918d679bd4a9f6083a86508b6","ACCEPTED","NONE_AFTER_SOURCE_BOUND_VISUAL_REVIEW","NOT_REQUIRED_AFTER_CAPTURE","ACTIVE_ACCEPTED"
"HP-P6-EV-004-sign-in-modern-mobile","screen-page-sign-in","/sign-in","Identity and session","READY_POPULATED","CRITICAL","homeport-phase6-v1","ANONYMOUS","MODERN_MOBILE","390x844","100_PERCENT","FULL","e02ee0dae0469a2ba573beaf409c0b34e8668d09","Chromium 141.0.7390.37","Development_Docs/Projects/Project_Homeport/evidence/phase6/HP-P6-EV-004-sign-in-modern-mobile.png","e052348f01efb6dc4f5ac46bef64371895c2133f70df634e3cedd376b4bee8a1","ACCEPTED","NONE_AFTER_SOURCE_BOUND_VISUAL_REVIEW","NOT_REQUIRED_AFTER_CAPTURE","ACTIVE_ACCEPTED"
"HP-P6-EV-005-player-library-standard-desktop","screen-page-player-library","/player/library","Player","READY_POPULATED","CRITICAL","homeport-phase6-v1","AUTHENTICATED_PLAYER_CAPTAIN_CREATOR","STANDARD_DESKTOP","1440x900","100_PERCENT","FULL","e02ee0dae0469a2ba573beaf409c0b34e8668d09","Chromium 141.0.7390.37","Development_Docs/Projects/Project_Homeport/evidence/phase6/HP-P6-EV-005-player-library-standard-desktop.png","9fabcf9d54079c47aa9ca6e277bc2cf5bb0622bb21fba163380baa5bf1c6942d","ACCEPTED","NONE_AFTER_SOURCE_BOUND_VISUAL_REVIEW","NOT_REQUIRED_AFTER_CAPTURE","ACTIVE_ACCEPTED"
"HP-P6-EV-006-player-library-modern-mobile","screen-page-player-library","/player/library","Player","READY_POPULATED","CRITICAL","homeport-phase6-v1","AUTHENTICATED_PLAYER_CAPTAIN_CREATOR","MODERN_MOBILE","390x844","100_PERCENT","FULL","e02ee0dae0469a2ba573beaf409c0b34e8668d09","Chromium 141.0.7390.37","Development_Docs/Projects/Project_Homeport/evidence/phase6/HP-P6-EV-006-player-library-modern-mobile.png","57055849580e6defe73a3b18bd08c0f06845da0b4be472580e9efb7f06fb26d8","ACCEPTED","NONE_AFTER_SOURCE_BOUND_VISUAL_REVIEW","NOT_REQUIRED_AFTER_CAPTURE","ACTIVE_ACCEPTED"
"HP-P6-EV-007-captain-library-standard-desktop","screen-page-captain-library","/captain/library","Captain","READY_POPULATED","CRITICAL","homeport-phase6-v1","AUTHENTICATED_PLAYER_CAPTAIN_CREATOR","STANDARD_DESKTOP","1440x900","100_PERCENT","FULL","e02ee0dae0469a2ba573beaf409c0b34e8668d09","Chromium 141.0.7390.37","Development_Docs/Projects/Project_Homeport/evidence/phase6/HP-P6-EV-007-captain-library-standard-desktop.png","71cf6a6b42fe8197c93030c7779bc03f65f300ef448b9878c5fcf1c3f9e77112","ACCEPTED","NONE_AFTER_SOURCE_BOUND_VISUAL_REVIEW","NOT_REQUIRED_AFTER_CAPTURE","ACTIVE_ACCEPTED"
"HP-P6-EV-008-captain-library-modern-mobile","screen-page-captain-library","/captain/library","Captain","READY_POPULATED","CRITICAL","homeport-phase6-v1","AUTHENTICATED_PLAYER_CAPTAIN_CREATOR","MODERN_MOBILE","390x844","100_PERCENT","FULL","e02ee0dae0469a2ba573beaf409c0b34e8668d09","Chromium 141.0.7390.37","Development_Docs/Projects/Project_Homeport/evidence/phase6/HP-P6-EV-008-captain-library-modern-mobile.png","34d5c94e3183a61cb1851efe865846bed97cea6013c965d8150e07b4843725c2","ACCEPTED","NONE_AFTER_SOURCE_BOUND_VISUAL_REVIEW","NOT_REQUIRED_AFTER_CAPTURE","ACTIVE_ACCEPTED"
"HP-P6-EV-009-studio-library-standard-desktop","screen-page-studio-library","/studio/library","Creator Studio","READY_POPULATED","CRITICAL","homeport-phase6-v1","AUTHENTICATED_PLAYER_CAPTAIN_CREATOR","STANDARD_DESKTOP","1440x900","100_PERCENT","FULL","e02ee0dae0469a2ba573beaf409c0b34e8668d09","Chromium 141.0.7390.37","Development_Docs/Projects/Project_Homeport/evidence/phase6/HP-P6-EV-009-studio-library-standard-desktop.png","4f67b0ca0c465e65bd140e5edec907e3bd0252906da0d0cc4e5d509547c6f9f9","ACCEPTED","NONE_AFTER_SOURCE_BOUND_VISUAL_REVIEW","NOT_REQUIRED_AFTER_CAPTURE","ACTIVE_ACCEPTED"
"HP-P6-EV-010-studio-library-modern-mobile","screen-page-studio-library","/studio/library","Creator Studio","READY_POPULATED","CRITICAL","homeport-phase6-v1","AUTHENTICATED_PLAYER_CAPTAIN_CREATOR","MODERN_MOBILE","390x844","100_PERCENT","FULL","e02ee0dae0469a2ba573beaf409c0b34e8668d09","Chromium 141.0.7390.37","Development_Docs/Projects/Project_Homeport/evidence/phase6/HP-P6-EV-010-studio-library-modern-mobile.png","c127233c75bff362d9c31d17dc8130cee2e470fec78d144f74f79d4026835b81","ACCEPTED","NONE_AFTER_SOURCE_BOUND_VISUAL_REVIEW","NOT_REQUIRED_AFTER_CAPTURE","ACTIVE_ACCEPTED"
