surface,application,route_or_screen,source_file,component_or_key,current_copy,speaker_type,audience,current_term,canonical_replacement,voice_layer,severity,action,status,intentional_exception,notes,test_evidence
Browser metadata,Voyagewright,global metadata,src/app/layout.tsx,metadata,"Forever Treasure · Interactive Tall Tales",SYSTEM,PUBLIC,"Forever Treasure / Tall Tales","Voyagewright | Stories made to be played",brand,BLOCKER,Replace,PENDING,,Product name must be universal,
Marketing,Voyagewright,root landing,src/components/landing/HarborLanding.tsx,role cards,"Tall Tales",SYSTEM,PUBLIC,"Tall Tales",Chronicles,brand,BLOCKER,Replace,PENDING,,Preserve scene target and animation hooks,
Navigation,Voyagewright,shared shell,src/components/shell/ProductShell.tsx,shellDefinitions,"Tall Tale Harbor / Explore Tall Tales",SYSTEM,PUBLIC,"Tall Tale",Voyagewright / Explore Chronicles,platform,BLOCKER,Replace,PENDING,,Preserve route-motion behavior,
Player,Voyagewright Player,Chronicle Library,src/components/platform/PlayerLibrary.tsx,library states,"Tall Tale Library",SYSTEM,PLAYER,"Tall Tale",Chronicle Library,player,BLOCKER,Replace,PENDING,,Avoid changing card lifecycle behavior,
Player,Voyagewright Player,access and sign-in,src/components/platform/PlayerSignIn.tsx,auth messages,"Tall Tale",SYSTEM,PLAYER,"Tall Tale",Chronicle,platform,HIGH,Replace,PENDING,,Concurrent Lanternwake lifecycle file,
Player,Voyagewright Player,invitation,src/components/platform/InvitationCeremony.tsx,invitation states,"Tall Tale",SYSTEM,PLAYER,"Tall Tale",Chronicle / Voyage,platform,HIGH,Replace,PENDING,,Concurrent Lanternwake lifecycle file,
Player,Voyagewright Player,active Voyage,src/components/platform/PlayerVoyageRoom.tsx,status and recovery,"session / story",SYSTEM,PLAYER,"session / story",Voyage / Chronicle,player,HIGH,Replace,PENDING,,Concurrent Lanternwake lifecycle file,
Player,Voyagewright Player,immersive experience,src/components/player/PlayerExperience.tsx,progression messages,"campaign / Tall Tale",SYSTEM,PLAYER,"campaign / Tall Tale",Voyage / Chronicle,player,HIGH,Replace,PENDING,,Concurrent Lanternwake lifecycle file,
Captain,Captain's Console,Captain Library,src/components/platform/CaptainLibrary.tsx,creation wizard,"Select Tale",SYSTEM,CAPTAIN,Tale,Chronicle,captain,HIGH,Replace,PENDING,,Operational labels must remain direct,
Captain,Captain's Console,session controls,src/components/captain/CaptainSessionControl.tsx,buttons and confirmations,"session / tale",SYSTEM,CAPTAIN,"session / tale",Voyage / Chronicle,captain,HIGH,Replace,PENDING,,Destructive impact needs explicit wording,
Captain,Captain's Console,dashboard,src/components/captain/CaptainDashboard.tsx,headings and status,"GM / campaign",SYSTEM,CAPTAIN,"GM / campaign",Captain / Voyage,captain,HIGH,Replace,PENDING,,Do not alter control behavior,
Studio,Voyagewright Studio,Studio home,src/components/studio/StudioHome.tsx,creator calls to action,"Tall Tale",SYSTEM,CREATOR,"Tall Tale",Chronicle,studio,BLOCKER,Replace,PENDING,,Creator voice must remain clear,
Studio,Voyagewright Studio,new Chronicle,src/components/studio/NewTaleForm.tsx,form labels,"Tale",SYSTEM,CREATOR,Tale,Chronicle,studio,HIGH,Replace,PENDING,,Preserve form submission behavior,
Studio,Voyagewright Studio,editor,src/components/studio/TaleEditor.tsx,editor labels and validation,"story block / Tale",SYSTEM,CREATOR,"story block / Tale",Passage / Chronicle,studio,HIGH,Replace,PENDING,,Preserve DnD and animation hooks,
Studio,Voyagewright Studio,block registry,src/tall-tale/block-registry.ts,display labels,"Story block",SYSTEM,CREATOR,"Story block",Passage,studio,HIGH,Replace,PENDING,,Internal type names remain technical legacy,
API errors,Voyagewright,client-reachable API routes,src/app/api,JSON error payloads,"campaign / generic error",SYSTEM,SYSTEM,"campaign / generic error",Chronicle / Voyage / actionable error,platform,HIGH,Replace,PENDING,,Keep stable technical error codes and logs,
Accessibility,Voyagewright,global components,src/components,ARIA labels and titles,"ambiguous replay/open/close",SYSTEM,PUBLIC,ambiguous labels,specific controlled object,platform,HIGH,Replace,PENDING,,Review with user flows,
Routes,Voyagewright,public route labels,src/app,visible page titles and links,"tale / campaign",SYSTEM,PUBLIC,"tale / campaign",Chronicle / Voyage,platform,MEDIUM,Replace,PENDING,"Routes retained internally","Redirect migration deferred for compatibility",
Chronicle content,Sample content,seeded narration and documents,prisma/seed.ts and src/tall-tale,authored prose,NARRATOR,PLAYER,Chronicle-authored language,Preserve author voice,chronicle,INFORMATIONAL,Review,PENDING,"Preserved unless placeholder or product leakage","Not platform copy",
Connector,External application,all,not present,not present,SYSTEM,SYSTEM,none,none,connector,INFORMATIONAL,Record,NOT PRESENT,"No connector package tracked","Requires a separate repository if later introduced",
Desktop / installer,External application,all,not present,not present,SYSTEM,SYSTEM,none,none,platform,INFORMATIONAL,Record,NOT PRESENT,"No wrapper, installer, updater, or manifest tracked","Requires a separate repository if later introduced",
Email,External service,all,not present,not present,SYSTEM,SYSTEM,none,none,platform,INFORMATIONAL,Record,NOT PRESENT,"No email templates or service tracked","Requires a separate repository if later introduced",
