"finding_id","owner_order","owner_wording","product_area","severity","canonical_owner","parent_nonconformity","correction_nonconformity","architecture_contract","planned_test_contracts","planned_evidence_ids","current_status","limitation"
"HP-OWCR2-001","1","Player, Captain, and Creator selection icons still move structurally on hover.","Home motion","HIGH","lanternwake","","HP-NC-072","Project_Homeport_Home_Ambient_and_Role_Card_Motion_Contract.md","homeport.owner-correction.round2.motion","HP-OWCR2-EV-B-ROLE-CARDS-HOVER","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No implementation, test result, evidence acceptance, Sounding Line decision, owner re-review, merge, or deployment is established by the architecture freeze."
"HP-OWCR2-002","2","The icons jump to another position, remain there briefly, and move back.","Home motion","HIGH","lanternwake","","HP-NC-073","Project_Homeport_Home_Ambient_and_Role_Card_Motion_Contract.md","homeport.owner-correction.round2.motion","HP-OWCR2-EV-B-ROLE-CARDS-HOVER","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No implementation, test result, evidence acceptance, Sounding Line decision, owner re-review, merge, or deployment is established by the architecture freeze."
"HP-OWCR2-003","3","Structural card layout must never change on hover.","Home motion","HIGH","lanternwake","","HP-NC-074","Project_Homeport_Home_Ambient_and_Role_Card_Motion_Contract.md","homeport.owner-correction.round2.motion","HP-OWCR2-EV-B-ROLE-CARDS-HOVER","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No implementation, test result, evidence acceptance, Sounding Line decision, owner re-review, merge, or deployment is established by the architecture freeze."
"HP-OWCR2-004","4","The account/Profile dropdown still appears to have no visible animation.","Home motion","HIGH","lanternwake","","HP-NC-075","Project_Homeport_Home_Ambient_and_Role_Card_Motion_Contract.md","homeport.owner-correction.round2.motion","HP-OWCR2-EV-C-ACCOUNT-MENU-OPENING","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No implementation, test result, evidence acceptance, Sounding Line decision, owner re-review, merge, or deployment is established by the architecture freeze."
"HP-OWCR2-005","5","The lantern now swings more, but its swing is offset too far to the left.","Home motion","HIGH","lanternwake","","HP-NC-076","Project_Homeport_Home_Ambient_and_Role_Card_Motion_Contract.md","homeport.owner-correction.round2.motion","HP-OWCR2-EV-D-LANTERN-NEUTRAL","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No implementation, test result, evidence acceptance, Sounding Line decision, owner re-review, merge, or deployment is established by the architecture freeze."
"HP-OWCR2-006","6","The lantern must rotate around the physical hanging point with a balanced left/right arc.","Home motion","HIGH","lanternwake","","HP-NC-077","Project_Homeport_Home_Ambient_and_Role_Card_Motion_Contract.md","homeport.owner-correction.round2.motion","HP-OWCR2-EV-D-LANTERN-NEUTRAL","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No implementation, test result, evidence acceptance, Sounding Line decision, owner re-review, merge, or deployment is established by the architecture freeze."
"HP-OWCR2-007","7","Home-page star twinkles are not perceptible.","Home motion","HIGH","lanternwake","","HP-NC-078","Project_Homeport_Home_Ambient_and_Role_Card_Motion_Contract.md","homeport.owner-correction.round2.motion","HP-OWCR2-EV-G-STAR-TWINKLE","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No implementation, test result, evidence acceptance, Sounding Line decision, owner re-review, merge, or deployment is established by the architecture freeze."
"HP-OWCR2-008","8","Star twinkles must be visible but restrained.","Home motion","HIGH","lanternwake","","HP-NC-079","Project_Homeport_Home_Ambient_and_Role_Card_Motion_Contract.md","homeport.owner-correction.round2.motion","HP-OWCR2-EV-G-STAR-TWINKLE","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No implementation, test result, evidence acceptance, Sounding Line decision, owner re-review, merge, or deployment is established by the architecture freeze."
"HP-OWCR2-009","9","Fog and ambient motion must remain coherent with reduced motion.","Home motion","HIGH","lanternwake","","HP-NC-080","Project_Homeport_Home_Ambient_and_Role_Card_Motion_Contract.md","homeport.owner-correction.round2.motion","HP-OWCR2-EV-H-FOG-DRIFT","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No implementation, test result, evidence acceptance, Sounding Line decision, owner re-review, merge, or deployment is established by the architecture freeze."
"HP-OWCR2-010","10","“What is a Chronicle” was incorrectly changed to a bright washed-out card.","Theme and visual tokens","CRITICAL","project-homeport","","HP-NC-081","Project_Homeport_Global_Theme_and_Visual_Token_Contract.md","homeport.owner-correction.round2.theme","HP-OWCR2-EV-I-DARK-WHAT-IS-A-CHRONICLE","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No implementation, test result, evidence acceptance, Sounding Line decision, owner re-review, merge, or deployment is established by the architecture freeze."
