"control_id","label","screen","route","role_or_capability","visibility_condition","enabled_condition","action_type","authoritative_endpoint_or_server_action","pending_feedback","success_feedback","failure_feedback","navigation_result","focus_result","keyboard_operation","mobile_operation","current_status","reproduction_steps","evidence_id","target_phase","phase6_status","phase7_correction_round1_status","phase7_correction_round1_evidence","phase7_owner_correction_round2_status","phase7_owner_correction_round2_evidence"
"HP-CTL-001","Explore Chronicles","screen-page-root","/","ANONYMOUS","always","enabled","NAVIGATION","Next Link /tales","link focus","destination page","route error","/tales","destination focus not explicitly managed","Enter","tap","WORKING","See the matching route and evidence record in Homeport_Journey_Audit.md; reproduce from the anonymous gateway unless the control requires an authenticated fixture.","HP-EV-001","PHASE_0","REVALIDATED_BY_COMPLETE_SURFACE_SYSTEM","REVALIDATED_BY_OWNER_CORRECTION_ROUND1","HP-OWCR1-EV-AA-REDUCED-MOTION;HP-OWCR1-EV-T-ACCOUNT-MENU-MOTION;HP-OWCR1-EV-Y-HOME-FIRST-PAINT;HP-OWCR1-EV-Z-HOME-AMBIENT-MOTION","REVALIDATED_BY_OWNER_CORRECTION_ROUND2","HP-OWCR2-EV-A-ROLE-CARDS-FIRST-PAINT;HP-OWCR2-EV-AB-REDUCED-MOTION;HP-OWCR2-EV-AE-FULL-ROUND2-REGRESSION;HP-OWCR2-EV-B-ROLE-CARDS-HOVER;HP-OWCR2-EV-C-ACCOUNT-MENU-OPENING;HP-OWCR2-EV-D-LANTERN-NEUTRAL;HP-OWCR2-EV-E-LANTERN-LEFT;HP-OWCR2-EV-F-LANTERN-RIGHT;HP-OWCR2-EV-G-STAR-TWINKLE;HP-OWCR2-EV-H-FOG-DRIFT;HP-OWCR2-EV-I-DARK-WHAT-IS-A-CHRONICLE;HP-OWCR2-EV-J-LIGHT-GATEWAY"
"HP-CTL-002","Enter as Player","screen-page-root","/","ANONYMOUS","always","enabled","NAVIGATION","Next Link /player/sign-in","role selection animation","Player sign-in","route error","/player/sign-in","destination form focus","Enter","tap","WORKING","See the matching route and evidence record in Homeport_Journey_Audit.md; reproduce from the anonymous gateway unless the control requires an authenticated fixture.","HP-EV-007","PHASE_0","REVALIDATED_BY_COMPLETE_SURFACE_SYSTEM","REVALIDATED_BY_OWNER_CORRECTION_ROUND1","HP-OWCR1-EV-AA-REDUCED-MOTION;HP-OWCR1-EV-T-ACCOUNT-MENU-MOTION;HP-OWCR1-EV-Y-HOME-FIRST-PAINT;HP-OWCR1-EV-Z-HOME-AMBIENT-MOTION","REVALIDATED_BY_OWNER_CORRECTION_ROUND2","HP-OWCR2-EV-A-ROLE-CARDS-FIRST-PAINT;HP-OWCR2-EV-AB-REDUCED-MOTION;HP-OWCR2-EV-AE-FULL-ROUND2-REGRESSION;HP-OWCR2-EV-B-ROLE-CARDS-HOVER;HP-OWCR2-EV-C-ACCOUNT-MENU-OPENING;HP-OWCR2-EV-D-LANTERN-NEUTRAL;HP-OWCR2-EV-E-LANTERN-LEFT;HP-OWCR2-EV-F-LANTERN-RIGHT;HP-OWCR2-EV-G-STAR-TWINKLE;HP-OWCR2-EV-H-FOG-DRIFT;HP-OWCR2-EV-I-DARK-WHAT-IS-A-CHRONICLE;HP-OWCR2-EV-J-LIGHT-GATEWAY"
"HP-CTL-003","Enter as Captain","screen-page-root","/","ANONYMOUS","always","enabled","NAVIGATION","Next Link /captain/sign-in","role selection animation","Captain sign-in","route error","/captain/sign-in","destination form","Enter","tap","WORKING","See the matching route and evidence record in Homeport_Journey_Audit.md; reproduce from the anonymous gateway unless the control requires an authenticated fixture.","HP-EV-001","PHASE_0","REVALIDATED_BY_COMPLETE_SURFACE_SYSTEM","REVALIDATED_BY_OWNER_CORRECTION_ROUND1","HP-OWCR1-EV-AA-REDUCED-MOTION;HP-OWCR1-EV-T-ACCOUNT-MENU-MOTION;HP-OWCR1-EV-Y-HOME-FIRST-PAINT;HP-OWCR1-EV-Z-HOME-AMBIENT-MOTION","REVALIDATED_BY_OWNER_CORRECTION_ROUND2","HP-OWCR2-EV-A-ROLE-CARDS-FIRST-PAINT;HP-OWCR2-EV-AB-REDUCED-MOTION;HP-OWCR2-EV-AE-FULL-ROUND2-REGRESSION;HP-OWCR2-EV-B-ROLE-CARDS-HOVER;HP-OWCR2-EV-C-ACCOUNT-MENU-OPENING;HP-OWCR2-EV-D-LANTERN-NEUTRAL;HP-OWCR2-EV-E-LANTERN-LEFT;HP-OWCR2-EV-F-LANTERN-RIGHT;HP-OWCR2-EV-G-STAR-TWINKLE;HP-OWCR2-EV-H-FOG-DRIFT;HP-OWCR2-EV-I-DARK-WHAT-IS-A-CHRONICLE;HP-OWCR2-EV-J-LIGHT-GATEWAY"
"HP-CTL-004","Enter as Creator","screen-page-root","/","ANONYMOUS","always","enabled","NAVIGATION","Next Link /studio/sign-in","role selection animation","Studio sign-in","route error","/studio/sign-in","destination form","Enter","tap","WORKING","See the matching route and evidence record in Homeport_Journey_Audit.md; reproduce from the anonymous gateway unless the control requires an authenticated fixture.","HP-EV-001","PHASE_0","REVALIDATED_BY_COMPLETE_SURFACE_SYSTEM","REVALIDATED_BY_OWNER_CORRECTION_ROUND1","HP-OWCR1-EV-AA-REDUCED-MOTION;HP-OWCR1-EV-T-ACCOUNT-MENU-MOTION;HP-OWCR1-EV-Y-HOME-FIRST-PAINT;HP-OWCR1-EV-Z-HOME-AMBIENT-MOTION","REVALIDATED_BY_OWNER_CORRECTION_ROUND2","HP-OWCR2-EV-A-ROLE-CARDS-FIRST-PAINT;HP-OWCR2-EV-AB-REDUCED-MOTION;HP-OWCR2-EV-AE-FULL-ROUND2-REGRESSION;HP-OWCR2-EV-B-ROLE-CARDS-HOVER;HP-OWCR2-EV-C-ACCOUNT-MENU-OPENING;HP-OWCR2-EV-D-LANTERN-NEUTRAL;HP-OWCR2-EV-E-LANTERN-LEFT;HP-OWCR2-EV-F-LANTERN-RIGHT;HP-OWCR2-EV-G-STAR-TWINKLE;HP-OWCR2-EV-H-FOG-DRIFT;HP-OWCR2-EV-I-DARK-WHAT-IS-A-CHRONICLE;HP-OWCR2-EV-J-LIGHT-GATEWAY"
"HP-CTL-005","Account","screen-page-tales","/tales","ANONYMOUS","standard shell only","enabled","MENU","ProductShell state","aria-expanded","menu opens","not applicable","none","first menu item focus","Enter Space Escape","tap and backdrop","WORKING","See the matching route and evidence record in Homeport_Journey_Audit.md; reproduce from the anonymous gateway unless the control requires an authenticated fixture.","HP-EV-004","PHASE_2","REVALIDATED_BY_COMPLETE_SURFACE_SYSTEM","REVALIDATED_BY_OWNER_CORRECTION_ROUND1","HP-OWCR1-EV-R-DELAYED-LOADING","NOT_APPLICABLE",""
"HP-CTL-006","Create Account","screen-page-root","/","ANONYMOUS","never visible","not applicable","NAVIGATION","missing","none","none","none","none","none","none","none","VALIDATED","See the matching route and evidence record in Homeport_Journey_Audit.md; reproduce from the anonymous gateway unless the control requires an authenticated fixture. Phase 1 after-state: run the matching HP-P1 browser journey.","HP-P1-EV-A-sign-in-desktop","PHASE_1","REVALIDATED_BY_COMPLETE_SURFACE_SYSTEM","REVALIDATED_BY_OWNER_CORRECTION_ROUND1","HP-OWCR1-EV-AA-REDUCED-MOTION;HP-OWCR1-EV-T-ACCOUNT-MENU-MOTION;HP-OWCR1-EV-Y-HOME-FIRST-PAINT;HP-OWCR1-EV-Z-HOME-AMBIENT-MOTION","REVALIDATED_BY_OWNER_CORRECTION_ROUND2","HP-OWCR2-EV-A-ROLE-CARDS-FIRST-PAINT;HP-OWCR2-EV-AB-REDUCED-MOTION;HP-OWCR2-EV-AE-FULL-ROUND2-REGRESSION;HP-OWCR2-EV-B-ROLE-CARDS-HOVER;HP-OWCR2-EV-C-ACCOUNT-MENU-OPENING;HP-OWCR2-EV-D-LANTERN-NEUTRAL;HP-OWCR2-EV-E-LANTERN-LEFT;HP-OWCR2-EV-F-LANTERN-RIGHT;HP-OWCR2-EV-G-STAR-TWINKLE;HP-OWCR2-EV-H-FOG-DRIFT;HP-OWCR2-EV-I-DARK-WHAT-IS-A-CHRONICLE;HP-OWCR2-EV-J-LIGHT-GATEWAY"
"HP-CTL-007","Sign in","screen-page-tales","/tales","ANONYMOUS","anonymous account menu","enabled","NAVIGATION","Next Link /sign-in","link focus","generic sign-in","route error","/sign-in","form focus","Enter","tap","WORKING","See the matching route and evidence record in Homeport_Journey_Audit.md; reproduce from the anonymous gateway unless the control requires an authenticated fixture.","HP-EV-027","PHASE_1","REVALIDATED_BY_COMPLETE_SURFACE_SYSTEM","REVALIDATED_BY_OWNER_CORRECTION_ROUND1","HP-OWCR1-EV-R-DELAYED-LOADING","NOT_APPLICABLE",""
"HP-CTL-008","Continue registration","screen-page-register","/register","ANONYMOUS","direct URL only","valid form","MUTATION","/api/auth/register","Working label","Your account request was completed","inline error","stays on /register","remains on submit","Enter","tap","VALIDATED","See the matching route and evidence record in Homeport_Journey_Audit.md; reproduce from the anonymous gateway unless the control requires an authenticated fixture. Phase 1 after-state: run the matching HP-P1 browser journey.","HP-P1-EV-B-registration-return","PHASE_1","REVALIDATED_BY_COMPLETE_SURFACE_SYSTEM","NOT_APPLICABLE","","NOT_APPLICABLE",""
"HP-CTL-009","Open my library","screen-page-player-sign-in","/player/sign-in","PLAYER","Player account tab","valid credentials","MUTATION","/api/player/sign-in","Submitting","Player library","inline error","/player/library","destination load","Enter","tap","WORKING_WITH_WEAK_FEEDBACK","See the matching route and evidence record in Homeport_Journey_Audit.md; reproduce from the anonymous gateway unless the control requires an authenticated fixture.","HP-EV-009","PHASE_1","REVALIDATED_BY_COMPLETE_SURFACE_SYSTEM","NOT_APPLICABLE","","NOT_APPLICABLE",""
"HP-CTL-010","Chronicle Passport","screen-page-player-library","/player/library","AUTHENTICATED","account menu","enabled","NAVIGATION","Next Link /passport","link focus","Passport","route error","/passport","destination heading","Enter","tap","WORKING","See the matching route and evidence record in Homeport_Journey_Audit.md; reproduce from the anonymous gateway unless the control requires an authenticated fixture.","HP-EV-013","PHASE_3","REVALIDATED_BY_COMPLETE_SURFACE_SYSTEM","NOT_APPLICABLE","","NOT_APPLICABLE",""
