Requirement ID,Source,Surface,Animation name,User moment,Authoritative trigger,Current implementation,Correct runtime,Supporting runtime,SceneHost or local host,Required targets,Optional targets,Full behavior,Gentle behavior,Reduced behavior,Replay policy,One-shot key,Failure fallback,Focus behavior,Live-region behavior,Sound label,Duration budget,Performance budget,Implementation status,Source files,Test IDs,Visual checkpoints,Implemented commit,Validation status
AK-001,audit defect,Studio authoring,Block drag and sortable transform,dnd-kit owns drag/sort transforms and transition on its draggable/sortable nodes; future Motion polish must use a separate post-drop wrapper.,Component mount or user interaction,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,dnd-kit,dnd-kit,no,Component-local visual node,,dnd-kit owns drag/sort transforms and transition on its draggable/sortable nodes; future Motion polish must use a separate post-drop wrapper.,dnd-kit owns drag/sort transforms and transition on its draggable/sortable nodes; future Motion polish must use a separate post-drop wrapper.,Must preserve final semantic state without spatial travel,Component lifecycle,operation-local publish/version receipt; dnd-kit remains sole drag transform owner,Local static fallback where applicable,Stable semantic state remains,Stable semantic state remains,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; layout 420/260/0 ms; ceremony 1100/700/0 ms (full/gentle/reduced),No measured blocker,validated,src/components/studio/StudioHome.tsx; src/components/studio/NewTaleForm.tsx; src/components/studio/TaleEditor.tsx; src/animation/director/scene-registry.ts; src/styles/studio.css,Development_Docs/Animation_System_Test_Plan.md; src/components/studio/TaleEditor.test.tsx; src/animation/director/scene-registry.test.ts; src/animation/scenes/scene-builders.test.ts; tests/e2e/lanternwake-phase4.spec.ts; tests/e2e/tall-tale-studio.spec.ts,library; editor section; drag placeholder; drag overlay; drop settle; validation; autosave; preview; publish; version; upload; comparison; immutable lock,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-001,MX,Landing and role selection,Asset-ready gateway reveal,Avoid a blank-to-complete jump on first load. Crossfade the static critical frame into ready Lottie layers while role objects settle. Sound: ocean-rise. Duration: 450-700 ms.,Critical landing assets report ready or timeout,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,Motion with Lottie,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,Crossfade the static critical frame into ready Lottie layers while role objects settle (450-700 ms),Shorter travel and fewer secondary layers,Show final composition after one paint,Once per route visit,remembered session: lanternwake:phase4:remembered-session:<role>:<authoritative-href>; otherwise scene receipt policy,Keep static harbor visible,Show final composition after one paint; never delay focus or state announcement,Show final composition after one paint; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,ambient 8000/12000/0 ms; state 320/200/60 ms; route 460/280/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/landing/HarborLanding.tsx; src/styles/landing.css; src/animation/platform/motion-tokens.ts,Development_Docs/Animation_System_Test_Plan.md; src/components/landing/HarborLanding.test.tsx; tests/e2e/lanternwake-phase4.spec.ts,critical static frame; assets ready; roles ready; Player intent; Captain intent; Creator intent; route handoff; reentry; reduced final,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-002,MX,Landing and role selection,Player role intent response,"Make the Player choice feel like a living object. Parchment edge lifts, lantern warms, and the card copy remains stable. Sound: lantern-ignition. Duration: 140-240 ms.","Pointer hover, keyboard focus, and touch press",Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,Motion with CSS,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,"Parchment edge lifts, lantern warms, and the card copy remains stable (140-240 ms)",Shorter travel and fewer secondary layers,Color/border emphasis without lift,Every intent,remembered session: lanternwake:phase4:remembered-session:<role>:<authoritative-href>; otherwise scene receipt policy,Immediate focus ring,Color/border emphasis without lift; never delay focus or state announcement,Color/border emphasis without lift; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,ambient 8000/12000/0 ms; state 320/200/60 ms; route 460/280/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/landing/HarborLanding.tsx; src/styles/landing.css; src/animation/platform/motion-tokens.ts,Development_Docs/Animation_System_Test_Plan.md; src/components/landing/HarborLanding.test.tsx; tests/e2e/lanternwake-phase4.spec.ts,critical static frame; assets ready; roles ready; Player intent; Captain intent; Creator intent; route handoff; reentry; reduced final,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-003,MX,Landing and role selection,Captain role intent response,Differentiate command authority without visual noise. Brass plate seats and a chart line briefly draws inside the card. Sound: compass-click. Duration: 180-320 ms.,"Pointer hover, keyboard focus, and touch press",Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,Motion with GSAP,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,Brass plate seats and a chart line briefly draws inside the card (180-320 ms),Shorter travel and fewer secondary layers,Static brass highlight,Every intent,remembered session: lanternwake:phase4:remembered-session:<role>:<authoritative-href>; otherwise scene receipt policy,Motion-only plate response,Static brass highlight; never delay focus or state announcement,Static brass highlight; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,ambient 8000/12000/0 ms; state 320/200/60 ms; route 460/280/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/landing/HarborLanding.tsx; src/styles/landing.css; src/animation/platform/motion-tokens.ts,Development_Docs/Animation_System_Test_Plan.md; src/components/landing/HarborLanding.test.tsx; tests/e2e/lanternwake-phase4.spec.ts,critical static frame; assets ready; roles ready; Player intent; Captain intent; Creator intent; route handoff; reentry; reduced final,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-004,MX,Landing and role selection,Creator role intent response,Signal authorship and craft. Ink nib pivots and a restrained line appears under the role title. Sound: quill-scratch. Duration: 160-260 ms.,"Pointer hover, keyboard focus, and touch press",Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,Motion with CSS,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,Ink nib pivots and a restrained line appears under the role title (160-260 ms),Shorter travel and fewer secondary layers,Instant underline,Every intent,remembered session: lanternwake:phase4:remembered-session:<role>:<authoritative-href>; otherwise scene receipt policy,Static creator emblem,Instant underline; never delay focus or state announcement,Instant underline; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,ambient 8000/12000/0 ms; state 320/200/60 ms; route 460/280/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/landing/HarborLanding.tsx; src/styles/landing.css; src/animation/platform/motion-tokens.ts,Development_Docs/Animation_System_Test_Plan.md; src/components/landing/HarborLanding.test.tsx; tests/e2e/lanternwake-phase4.spec.ts,critical static frame; assets ready; roles ready; Player intent; Captain intent; Creator intent; route handoff; reentry; reduced final,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-005,MX,Landing and role selection,Role-selected route handoff,"Connect the chosen object to the destination. Selected card holds while siblings soften, then a shell-local shared element leads into sign-in/library. Sound: compass-click. Duration: 280-480 ms.",Successful link activation before router transition,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,Motion,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,"Selected card holds while siblings soften, then a shell-local shared element leads into sign-in/library (280-480 ms)",Shorter travel and fewer secondary layers,Instant selection state then navigate,Every navigation,remembered session: lanternwake:phase4:remembered-session:<role>:<authoritative-href>; otherwise scene receipt policy,Navigate immediately if animation fails,Instant selection state then navigate; never delay focus or state announcement,Instant selection state then navigate; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,ambient 8000/12000/0 ms; state 320/200/60 ms; route 460/280/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/landing/HarborLanding.tsx; src/styles/landing.css; src/animation/platform/motion-tokens.ts,Development_Docs/Animation_System_Test_Plan.md; src/components/landing/HarborLanding.test.tsx; tests/e2e/lanternwake-phase4.spec.ts,critical static frame; assets ready; roles ready; Player intent; Captain intent; Creator intent; route handoff; reentry; reduced final,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-006,MX,Player sign-in,Form entrance,Establish hierarchy without a generic page pop. Invitation phrase and account panels enter as one presence group. Sound: None. Duration: 220-360 ms.,Route mount,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,Motion with CSS,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,Invitation phrase and account panels enter as one presence group (220-360 ms),Shorter travel and fewer secondary layers,No travel; opacity/state only,Every route visit,not stored; request identity and authoritative accepted response gate the handoff,Static form,No travel; opacity/state only; never delay focus or state announcement,No travel; opacity/state only; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; route 460/280/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/platform/PlayerSignIn.tsx; src/components/ui/AsyncState.tsx; src/animation/platform/useAuthoritativeAsyncState.ts; src/styles/platform.css,Development_Docs/Animation_System_Test_Plan.md; src/components/platform/PlayerSignIn.test.tsx; src/components/ui/AsyncState.test.tsx; tests/e2e/lanternwake-phase4.spec.ts,idle; pending; slow; failure; permission mismatch; success final before route,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-007,MX,Player sign-in,Invitation phrase validation,"Keep error feedback attached to the attempted object. Field edge contracts, inline error unfolds, and focus remains on the field. Sound: None. Duration: 160-260 ms.",Non-2xx invitation lookup,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,Motion,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,"Field edge contracts, inline error unfolds, and focus remains on the field (160-260 ms)",Shorter travel and fewer secondary layers,Immediate error insertion,Every failed attempt,not stored; request identity and authoritative accepted response gate the handoff,ARIA live error without motion,Immediate error insertion; never delay focus or state announcement,Immediate error insertion; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; route 460/280/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/platform/PlayerSignIn.tsx; src/components/ui/AsyncState.tsx; src/animation/platform/useAuthoritativeAsyncState.ts; src/styles/platform.css,Development_Docs/Animation_System_Test_Plan.md; src/components/platform/PlayerSignIn.test.tsx; src/components/ui/AsyncState.test.tsx; tests/e2e/lanternwake-phase4.spec.ts,idle; pending; slow; failure; permission mismatch; success final before route,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-008,MX,Player sign-in,Account authentication success,Make successful identity transfer legible. Submit button resolves to a compact success seal before route handoff. Sound: brass-latch. Duration: 320-600 ms.,Successful sign-in response,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,Motion with Rive,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,Submit button resolves to a compact success seal before route handoff (320-600 ms),Shorter travel and fewer secondary layers,Static success mark then route,Once per successful submission,not stored; request identity and authoritative accepted response gate the handoff,Text success state and immediate route,Static success mark then route; never delay focus or state announcement,Static success mark then route; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; route 460/280/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/platform/PlayerSignIn.tsx; src/components/ui/AsyncState.tsx; src/animation/platform/useAuthoritativeAsyncState.ts; src/styles/platform.css,Development_Docs/Animation_System_Test_Plan.md; src/components/platform/PlayerSignIn.test.tsx; src/components/ui/AsyncState.test.tsx; tests/e2e/lanternwake-phase4.spec.ts,idle; pending; slow; failure; permission mismatch; success final before route,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-009,MX,Player sign-in,Sign-in failure recovery,"Avoid disappearing or late feedback. Button returns to rest, error is announced, and the failed field receives a restrained shake on an inner wrapper. Sound: None. Duration: 180-300 ms.",Authentication rejection,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,Motion,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,"Button returns to rest, error is announced, and the failed field receives a restrained shake on an inner wrapper (180-300 ms)",Shorter travel and fewer secondary layers,No shake; focus and error only,Every failed attempt,not stored; request identity and authoritative accepted response gate the handoff,Immediate form error,No shake; focus and error only; never delay focus or state announcement,No shake; focus and error only; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; route 460/280/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/platform/PlayerSignIn.tsx; src/components/ui/AsyncState.tsx; src/animation/platform/useAuthoritativeAsyncState.ts; src/styles/platform.css,Development_Docs/Animation_System_Test_Plan.md; src/components/platform/PlayerSignIn.test.tsx; src/components/ui/AsyncState.test.tsx; tests/e2e/lanternwake-phase4.spec.ts,idle; pending; slow; failure; permission mismatch; success final before route,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
