surface,application,route_or_screen,source_file,component_or_key,current_copy,speaker_type,audience,current_term,canonical_replacement,voice_layer,severity,action,status,intentional_exception,notes,test_evidence
Browser metadata,Voyagewright,global metadata,src/app/layout.tsx,metadata,"Legacy product title",SYSTEM,PUBLIC,"Forever Treasure / Chronicles","Voyagewright | Stories made to be played",brand,BLOCKER,Replace,COMPLETE,,Metadata migrated,format; typecheck; build
Marketing,Voyagewright,root landing,src/components/landing/HarborLanding.tsx,role cards,"Chronicles",SYSTEM,PUBLIC,"Chronicles",Chronicles,brand,BLOCKER,Replace,COMPLETE,,Scene targets and animation hooks preserved,language validator; landing tests; build
Navigation,Voyagewright,shared shell,src/components/shell/ProductShell.tsx,shellDefinitions,"Chronicle Harbor / Explore Chronicles",SYSTEM,PUBLIC,"Chronicle",Voyagewright / Explore Chronicles,platform,BLOCKER,Replace,COMPLETE,,Route-motion behavior preserved,language validator; shell tests; build
Player,Voyagewright Player,Chronicle Library,src/components/platform/PlayerLibrary.tsx,library states,"Chronicle Library",SYSTEM,PLAYER,"Chronicle",Chronicle Library,player,BLOCKER,Replace,COMPLETE,,Card lifecycle behavior preserved,Player focused tests; 84-file unit run
Player,Voyagewright Player,access and sign-in,src/components/platform/PlayerSignIn.tsx,auth messages,"Chronicle",SYSTEM,PLAYER,"Chronicle",Chronicle,platform,HIGH,Replace,COMPLETE,"Concurrent Lanternwake lifecycle file","Static copy only; Lanternwake lifecycle retained",language validator; build
Player,Voyagewright Player,invitation,src/components/platform/InvitationCeremony.tsx,invitation states,"Chronicle",SYSTEM,PLAYER,"Chronicle",Chronicle / Voyage,platform,HIGH,Replace,COMPLETE,"Concurrent Lanternwake lifecycle file","Static copy only; Lanternwake lifecycle retained",language validator; build
Player,Voyagewright Player,active Voyage,src/components/platform/PlayerVoyageRoom.tsx,status and recovery,"session / story",SYSTEM,PLAYER,"session / story",Voyage / Chronicle,player,HIGH,Replace,COMPLETE,"Concurrent Lanternwake lifecycle file","Static copy only; Lanternwake lifecycle retained",language validator; build
Player,Voyagewright Player,immersive experience,src/components/player/PlayerExperience.tsx,progression messages,"campaign / Chronicle",SYSTEM,PLAYER,"campaign / Chronicle",Voyage / Chronicle,player,HIGH,Replace,COMPLETE,"Concurrent Lanternwake lifecycle file","No semantic diff in the known Lanternwake progression failure",language validator; inherited test failure recorded
Captain,Captain's Console,Captain Library,src/components/platform/CaptainLibrary.tsx,creation wizard,"Select Tale",SYSTEM,CAPTAIN,Tale,Chronicle,captain,HIGH,Replace,COMPLETE,,Operational labels remain direct,CaptainLibrary tests; 84-file unit run
Captain,Captain's Console,session controls,src/components/captain/CaptainSessionControl.tsx,buttons and confirmations,"session / tale",SYSTEM,CAPTAIN,"session / tale",Voyage / Chronicle,captain,HIGH,Replace,COMPLETE,,Destructive consequence copy is explicit,Captain focused tests; build
