finding_id,owner_order,owner_wording,product_area,severity,canonical_owner,parent_nonconformity,correction_nonconformity,architecture_contract,planned_test_contracts,planned_evidence_ids,current_status,limitation
"HP-OWCR1-001","1","“Preview Chronicle” opens the Chronicle-start guest-name flow instead of a real Chronicle preview.","Chronicle discovery","CRITICAL","one-voyage","HP-NC-015","HP-NC-029","Project_Homeport_Chronicle_Preview_and_Player_Alias_Contract.md","homeport.correction.chronicle-preview.nonmutating","HP-OWCR1-EV-A-CHRONICLE-PREVIEW","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-002","2","A real preview should show the Chronicle’s statistics and information.","Chronicle discovery","HIGH","one-voyage","HP-NC-015","HP-NC-030","Project_Homeport_Chronicle_Preview_and_Player_Alias_Contract.md","homeport.correction.chronicle-preview.complete","HP-OWCR1-EV-A-CHRONICLE-PREVIEW","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-003","3","Signed-in players should default to their account display name when starting a Chronicle.","Chronicle start","CRITICAL","one-voyage","HP-NC-004","HP-NC-031","Project_Homeport_Chronicle_Preview_and_Player_Alias_Contract.md","homeport.correction.alias.default","HP-OWCR1-EV-B-SIGNED-IN-NAME","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-004","4","The signed-in name should initially be uneditable.","Chronicle start","HIGH","one-voyage","HP-NC-004","HP-NC-032","Project_Homeport_Chronicle_Preview_and_Player_Alias_Contract.md","homeport.correction.alias.locked-default","HP-OWCR1-EV-B-SIGNED-IN-NAME","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-005","5","A small “Edit for this Chronicle” action should allow a temporary Chronicle-specific player name without changing the account display name.","Chronicle participation","CRITICAL","one-voyage","HP-NC-004","HP-NC-033","Project_Homeport_Chronicle_Preview_and_Player_Alias_Contract.md","homeport.correction.alias.isolation;homeport.correction.alias.persistence","HP-OWCR1-EV-C-CHRONICLE-ALIAS-EDIT","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-006","6","Anonymous people should retain the current editable guest-name flow.","Chronicle start","HIGH","one-voyage","HP-NC-004","HP-NC-034","Project_Homeport_Chronicle_Preview_and_Player_Alias_Contract.md","homeport.correction.alias.anonymous","HP-OWCR1-EV-A-CHRONICLE-PREVIEW;HP-OWCR1-EV-B-SIGNED-IN-NAME","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-007","7","“All Workspaces” opens a badly formatted, nearly empty page.","Workspace navigation","CRITICAL","true-north","HP-NC-006","HP-NC-035","Project_Homeport_Workspace_Capability_and_Active_Chronicle_Policy.md","homeport.correction.workspaces.complete","HP-OWCR1-EV-D-ALL-WORKSPACES;HP-OWCR1-EV-AB-MOBILE-WORKSPACES","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-008","8","The account/Profile dropdown opens with no animation.","Menu motion","HIGH","lanternwake","HP-NC-006","HP-NC-036","Project_Homeport_Loading_Transition_and_Motion_Contract.md","homeport.correction.account-menu.motion","HP-OWCR1-EV-T-ACCOUNT-MENU-MOTION","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-009","9","Personal Harbor subpages show a redundant “Current Area · Personal Harbor” banner.","Personal Harbor navigation","MODERATE","wayfarer","HP-NC-008","HP-NC-037","Project_Homeport_Personal_Harbor_Correction_Contract.md","homeport.correction.personal-harbor.no-redundant-area","HP-OWCR1-EV-N-PERSONAL-HARBOR-NAV","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-010","10","Many visible preferences do not affect the product.","Preferences","CRITICAL","wayfarer","HP-NC-018","HP-NC-038","Project_Homeport_Preference_Effect_Matrix.csv","homeport.correction.preferences.runtime-effects","HP-OWCR1-EV-AE-CORRECTION-FULL-REGRESSION","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-011","11","“View My Profile” under Identity opens Personal Harbor instead of the actual public Profile.","Profile navigation","HIGH","wayfarer","HP-NC-008","HP-NC-039","Project_Homeport_Personal_Harbor_Correction_Contract.md","homeport.correction.profile.destination","HP-OWCR1-EV-F-PUBLIC-PROFILE-DESTINATION","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-012","12","A signed-in account cannot naturally use Player, Captain, and Creator workspaces as one account.","Workspace capabilities","CRITICAL","wayfarer","HP-NC-004","HP-NC-040","Project_Homeport_Workspace_Capability_and_Active_Chronicle_Policy.md","homeport.correction.workspaces.one-account","HP-OWCR1-EV-D-ALL-WORKSPACES","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-013","13","Player, Captain, and Creator currently behave too much like separate permission products.","Workspace capabilities","CRITICAL","wayfarer","HP-NC-004","HP-NC-041","Project_Homeport_Workspace_Capability_and_Active_Chronicle_Policy.md","homeport.correction.workspaces.capability-model","HP-OWCR1-EV-D-ALL-WORKSPACES","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
