"routeId","pathPattern","parameterNames","sourceRoute","sourceComponent","sourceQueryOrService","sourceControl","accessibleLabel","authorization","publicOrPrivate","desktop","mobile","emptyBehavior","invalidIdBehavior","directEntryBehavior","stableParent","returnFallback","fixtureAlias","browserEvidence","status"
"route-page-captain-sessions-sessionid","/captain/sessions/[sessionId]","sessionId","/captain/library","src/components/platform/CaptainLibrary.tsx","/api/captain/library","Open live controls","Open Captain session","CAPTAIN","PRIVATE","VISIBLE","VISIBLE","SOURCE_EMPTY_STATE_WITH_STABLE_ONWARD_ACTION","SAFE_NOT_FOUND_OR_EXPLICIT_UNAVAILABLE_WITH_PARENT","VALIDATED_ONLY_AFTER_NATURAL_PATH","route-page-captain-library","/captain/library","synthetic-captain-session","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
"route-page-captain-tales-taleid","/captain/tales/[taleId]","taleId","/captain/library","src/components/platform/CaptainLibrary.tsx","/api/captain/library","Open Chronicle","Open Captain Chronicle","CAPTAIN","PRIVATE","VISIBLE","VISIBLE","SOURCE_EMPTY_STATE_WITH_STABLE_ONWARD_ACTION","SAFE_NOT_FOUND_OR_EXPLICIT_UNAVAILABLE_WITH_PARENT","VALIDATED_ONLY_AFTER_NATURAL_PATH","route-page-captain-library","/captain/library","synthetic-captain-chronicle","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
"route-page-captain-voyages-playthroughid-player-preview","/captain/voyages/[playthroughId]/player-preview","playthroughId","/captain/library","src/components/platform/CaptainLibrary.tsx","/api/captain/library","Preview Player view","Open Player-safe preview","CAPTAIN","PRIVATE","VISIBLE","VISIBLE","SOURCE_EMPTY_STATE_WITH_STABLE_ONWARD_ACTION","SAFE_NOT_FOUND_OR_EXPLICIT_UNAVAILABLE_WITH_PARENT","VALIDATED_ONLY_AFTER_NATURAL_PATH","route-page-captain-library","/captain/library","synthetic-captain-preview","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
"route-page-chronicles-taleslug","/chronicles/[taleSlug]","taleSlug","/tales","src/components/tales/TaleCatalog.tsx","/api/tales","Preview Chronicle","Preview Chronicle","ALL","PUBLIC","VISIBLE","VISIBLE","SOURCE_EMPTY_STATE_WITH_STABLE_ONWARD_ACTION","SAFE_NOT_FOUND_OR_EXPLICIT_UNAVAILABLE_WITH_PARENT","VALIDATED_ONLY_AFTER_NATURAL_PATH","route-page-tales","/tales","synthetic-chronicle-preview","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
"route-page-chronicles-taleslug-compare","/chronicles/[taleSlug]/compare","taleSlug","/chronicles/[taleSlug]","src/app/chronicles/[taleSlug]/page.tsx","getPublicChroniclePreview","See what changed","Compare this Chronicle's published editions","ALL","PUBLIC","VISIBLE","VISIBLE","SOURCE_EMPTY_STATE_WITH_STABLE_ONWARD_ACTION","SAFE_NOT_FOUND_OR_EXPLICIT_UNAVAILABLE_WITH_PARENT","VALIDATED_ONLY_AFTER_NATURAL_PATH","route-page-chronicles-taleslug","/chronicles/[taleSlug]","synthetic-chronicle-edition-history","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
"route-page-community-slug","/community/[slug]","slug","/community/chronicles","src/components/community/CommunityCardGrid.tsx","src/community/homeport.ts","Community card title","Open public Community item","ALL","PUBLIC","VISIBLE","VISIBLE","SOURCE_EMPTY_STATE_WITH_STABLE_ONWARD_ACTION","SAFE_NOT_FOUND_OR_EXPLICIT_UNAVAILABLE_WITH_PARENT","VALIDATED_ONLY_AFTER_NATURAL_PATH","route-page-community-chronicles","/community/chronicles","homeport-public-chronicle","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
"route-page-community-collections-slug","/community/collections/[slug]","slug","/community/collections","src/components/community/CommunityCardGrid.tsx","src/community/homeport.ts","Collection card title","Open public collection","ALL","PUBLIC","VISIBLE","VISIBLE","SOURCE_EMPTY_STATE_WITH_STABLE_ONWARD_ACTION","SAFE_NOT_FOUND_OR_EXPLICIT_UNAVAILABLE_WITH_PARENT","VALIDATED_ONLY_AFTER_NATURAL_PATH","route-page-community-collections","/community/collections","homeport-public-collection","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
"route-page-community-creators-handle","/community/creators/[handle]","handle","/community/creators","src/components/community/CommunityCardGrid.tsx","src/community/homeport.ts","Creator card name","Open public Creator Profile","ALL","PUBLIC","VISIBLE","VISIBLE","SOURCE_EMPTY_STATE_WITH_STABLE_ONWARD_ACTION","SAFE_NOT_FOUND_OR_EXPLICIT_UNAVAILABLE_WITH_PARENT","VALIDATED_ONLY_AFTER_NATURAL_PATH","route-page-community-creators","/community/creators","homeport-public-creator","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
"route-page-community-guides-slug","/community/guides/[slug]","slug","/community/guides","src/components/community/CommunityCardGrid.tsx","src/community/homeport.ts","Guide card title","Open public Guide","ALL","PUBLIC","VISIBLE","VISIBLE","SOURCE_EMPTY_STATE_WITH_STABLE_ONWARD_ACTION","SAFE_NOT_FOUND_OR_EXPLICIT_UNAVAILABLE_WITH_PARENT","VALIDATED_ONLY_AFTER_NATURAL_PATH","route-page-community-guides","/community/guides","homeport-public-guide","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
"route-page-community-moderation-id","/community/moderation/[id]","id","/community/moderation","src/app/community/moderation/page.tsx","src/community/operations.ts","View","Open moderation case","MODERATOR","PRIVATE","VISIBLE","VISIBLE","SOURCE_EMPTY_STATE_WITH_STABLE_ONWARD_ACTION","SAFE_NOT_FOUND_OR_EXPLICIT_UNAVAILABLE_WITH_PARENT","VALIDATED_ONLY_AFTER_NATURAL_PATH","route-page-community-moderation","/community/moderation","synthetic-moderation-case","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
