"finding_id","acceptance_id","acceptance_criterion","source_authority","planned_source_locations","required_tests","required_evidence","final_status","limitation"
"HP-OWCR1-001","HP-OWCR1-AC-001","Preview Chronicle opens a public-safe nonmutating detail surface and only Start Chronicle enters preparation.","Project_Homeport_Chronicle_Preview_and_Player_Alias_Contract.md","src/chronicle/public-preview.ts;src/components/tales/TaleStart.tsx;src/app/chronicles/[taleSlug]/page.tsx;src/app/api/tales/[taleSlug]/start/route.ts","homeport.correction.chronicle-preview.nonmutating","HP-OWCR1-EV-A-CHRONICLE-PREVIEW","PASSED","Source-bound local synthetic proof passed at 61ea9ec; Codex visual review accepted the applicable evidence; owner re-review, merge, and deployment remain pending."
"HP-OWCR1-002","HP-OWCR1-AC-002","The preview exposes the governed public Chronicle metadata, statistics, warnings, reviews, save state, and Start/Back actions without spoilers.","Project_Homeport_Chronicle_Preview_and_Player_Alias_Contract.md","src/chronicle/public-preview.ts;src/components/tales/TaleStart.tsx;src/app/chronicles/[taleSlug]/page.tsx;src/app/api/tales/[taleSlug]/start/route.ts","homeport.correction.chronicle-preview.complete","HP-OWCR1-EV-A-CHRONICLE-PREVIEW","PASSED","Source-bound local synthetic proof passed at 61ea9ec; Codex visual review accepted the applicable evidence; owner re-review, merge, and deployment remain pending."
"HP-OWCR1-003","HP-OWCR1-AC-003","A signed-in start uses the canonical account display name by default.","Project_Homeport_Chronicle_Preview_and_Player_Alias_Contract.md","src/chronicle/public-preview.ts;src/components/tales/TaleStart.tsx;src/app/chronicles/[taleSlug]/page.tsx;src/app/api/tales/[taleSlug]/start/route.ts","homeport.correction.alias.default","HP-OWCR1-EV-B-SIGNED-IN-NAME","PASSED","Source-bound local synthetic proof passed at 61ea9ec; Codex visual review accepted the applicable evidence; owner re-review, merge, and deployment remain pending."
"HP-OWCR1-004","HP-OWCR1-AC-004","The default signed-in name is read-only until the explicit Chronicle-specific edit action is invoked.","Project_Homeport_Chronicle_Preview_and_Player_Alias_Contract.md","src/chronicle/public-preview.ts;src/components/tales/TaleStart.tsx;src/app/chronicles/[taleSlug]/page.tsx;src/app/api/tales/[taleSlug]/start/route.ts","homeport.correction.alias.locked-default","HP-OWCR1-EV-B-SIGNED-IN-NAME","PASSED","Source-bound local synthetic proof passed at 61ea9ec; Codex visual review accepted the applicable evidence; owner re-review, merge, and deployment remain pending."
"HP-OWCR1-005","HP-OWCR1-AC-005","The explicit edit action persists a validated participation alias for that Chronicle while account and public Profile identity remain unchanged.","Project_Homeport_Chronicle_Preview_and_Player_Alias_Contract.md","src/chronicle/public-preview.ts;src/components/tales/TaleStart.tsx;src/app/chronicles/[taleSlug]/page.tsx;src/app/api/tales/[taleSlug]/start/route.ts","homeport.correction.alias.isolation;homeport.correction.alias.persistence","HP-OWCR1-EV-C-CHRONICLE-ALIAS-EDIT","PASSED","Source-bound local synthetic proof passed at 61ea9ec; Codex visual review accepted the applicable evidence; owner re-review, merge, and deployment remain pending."
"HP-OWCR1-006","HP-OWCR1-AC-006","Anonymous start retains an editable guest name and never inherits signed-in identity semantics.","Project_Homeport_Chronicle_Preview_and_Player_Alias_Contract.md","src/chronicle/public-preview.ts;src/components/tales/TaleStart.tsx;src/app/chronicles/[taleSlug]/page.tsx;src/app/api/tales/[taleSlug]/start/route.ts","homeport.correction.alias.anonymous","HP-OWCR1-EV-A-CHRONICLE-PREVIEW;HP-OWCR1-EV-B-SIGNED-IN-NAME","PASSED","Source-bound local synthetic proof passed at 61ea9ec; Codex visual review accepted the applicable evidence; owner re-review, merge, and deployment remain pending."
"HP-OWCR1-007","HP-OWCR1-AC-007","All Workspaces is a complete responsive capability dashboard with clear current, available, blocked, and recovery states.","Project_Homeport_Workspace_Capability_and_Active_Chronicle_Policy.md","src/homeport/workspace-capabilities.ts;src/components/homeport/WorkspaceCapabilityDashboard.tsx;src/app/account/roles/page.tsx;src/app/api/account/workspaces/route.ts","homeport.correction.workspaces.complete","HP-OWCR1-EV-D-ALL-WORKSPACES;HP-OWCR1-EV-AB-MOBILE-WORKSPACES","PASSED","Source-bound local synthetic proof passed at 61ea9ec; Codex visual review accepted the applicable evidence; owner re-review, merge, and deployment remain pending."
"HP-OWCR1-008","HP-OWCR1-AC-008","The account menu opens and closes with governed restrained motion, correct focus, keyboard, outside-click, route-close, touch, and reduced-motion behavior.","Project_Homeport_Loading_Transition_and_Motion_Contract.md","src/components/ui/AsyncState.tsx;src/animation/platform/RouteMotionBoundary.tsx;src/components/landing/HarborLanding.tsx;src/components/shell/ProductShell.tsx","homeport.correction.account-menu.motion","HP-OWCR1-EV-T-ACCOUNT-MENU-MOTION","PASSED","Source-bound local synthetic proof passed at 61ea9ec; Codex visual review accepted the applicable evidence; owner re-review, merge, and deployment remain pending."
"HP-OWCR1-009","HP-OWCR1-AC-009","Ordinary Personal Harbor subpages omit the redundant area banner while retaining orientation through shell, page title, and navigation state.","Project_Homeport_Personal_Harbor_Correction_Contract.md","src/components/homeport/AccountSurfaces.tsx;src/components/homeport/PersonalHarborLayout.tsx;src/navigation/registry.ts;src/styles/personal-harbor.css","homeport.correction.personal-harbor.no-redundant-area","HP-OWCR1-EV-N-PERSONAL-HARBOR-NAV","PASSED","Source-bound local synthetic proof passed at 61ea9ec; Codex visual review accepted the applicable evidence; owner re-review, merge, and deployment remain pending."
"HP-OWCR1-010","HP-OWCR1-AC-010","Every visible preference has an observable runtime consumer, persists, reconciles as governed, reports mutation states, and is verified by effect rather than storage alone.","Project_Homeport_Preference_Effect_Matrix.csv","scripts/homeport/finalize-phase7-owner-correction-round1.mjs;Development_Docs/Projects/Project_Homeport/evidence/phase7-owner-correction-round1/manifest.json","homeport.correction.preferences.runtime-effects","HP-OWCR1-EV-AE-CORRECTION-FULL-REGRESSION","PASSED","Source-bound local synthetic proof passed at 61ea9ec; Codex visual review accepted the applicable evidence; owner re-review, merge, and deployment remain pending."
