projectionId,route,sourceAuthority,ownerFields,publicFields,excludedFields,emptyOrUnavailableBehavior
personal-harbor-overview,/account,"AccountSession; Account; Wayfarer Profile; preferences; privacy; linked identity; safe session counts","displayName,handle,avatarUrl,bio,profileCompleteness,section statuses,session summary","none","passwordHash,session token,provider subject/token/scopes,private history,private media paths","typed dependency-unavailable cards; never fabricate completion"
public-profile-preview,/account/profile,"Wayfarer publicProfileProjection","owner editor fields plus exact public preview","displayName,handle,avatarUrl,bannerUrl,bio,location,website,pronouns,opt-in provider links,allowed community/crew/chronicle summaries","email,birth date,timezone,locale,privacy rows,provider subject/scopes,tokens,session data","empty public sections remain omitted exactly as public route"
personal-information,/account/personal-information,"Wayfarer Account and Profile","email,displayName,birthDate,location,timezone,locale,createdAt,emailVerifiedAt","none","passwordHash,session/token fields,provider identifiers","unsupported email mutation is labelled unavailable; partial profile remains editable"
preferences,/account/preferences,"Wayfarer ProfilePreference","theme,motionMode,textScale,density,language,timeFormat,contentWarnings,mediaAutoplay,updatedAt revision","none","unrecognized keys and account secrets","typed defaults only when no persisted row; dependency failure is not an empty state"
accessibility,/account/accessibility,"Wayfarer ProfilePreference consumed by shell/platform","motionMode,textScale,density,contentWarnings,mediaAutoplay,updatedAt revision","none","account and provider data","shows platform-consumption explanation and immediate reduced-motion semantics"
notifications,/account/notifications,"Wayfarer ProfilePreference notification fields","notification fields present in accepted schema,updatedAt revision","none","invented delivery providers or subscription state","truthful limited-capability state when no external delivery service exists"
privacy,/account/privacy,"Wayfarer ProfilePrivacy and server projections","field-level visibility,discoverability,interaction policy,revision","only the result of server-enforced public projection","internal moderation state,account secrets","dependency failure distinct from hidden/private state"
linked-identities,/account/linked-identities,"Wayfarer ProviderIdentity and configured adapters","provider,label,state,connectedAt,lastUsedAt,canUnlink,reason","public opt-in provider label/url only","providerSubject,accessToken,refreshToken,allowedScopes,raw provider payload","only linked or genuinely configured providers appear; unavailable is explicit"
passport-home,/passport,"Wayfarer Chronicle summary and Harborlight-safe summaries","record counts,recent owner entries,section links","none","raw private record bodies in overview,internal test controls","zero-count cards are intentional empty states"
history,/passport/history,"Wayfarer Chronicle service","owner list metadata and exact detail links","none","other-owner records,unpinned revisions","not-found and dependency-unavailable are separate"
history-detail,/passport/history/[entryId],"Wayfarer Chronicle version-pinned detail projection","entry detail,reflection,version identity,authorized media summaries","none","other-owner data,unrequested versions,private storage paths","missing/unauthorized share the safe not-found boundary"
memories,/passport/memories,"Wayfarer Chronicle memory and keepsake consent services","owner-authorized memory cards,consent state,media summaries","none","other-owner memories,raw protected paths","empty and consent-required states are explicit"
artifacts,/passport/artifacts,"Wayfarer Artifact service","owner cabinet summaries,grant/provenance status","publicArtifactProjection only on public surfaces","other-owner records,unresolved inventory as ownership,private paths","empty cabinet does not imply service failure"
artifact-detail,/passport/artifacts/[artifactId],"Wayfarer Artifact service","owner detail,provenance,personalization,cases/items","publicArtifactProjection only on public surfaces","other-owner data,private source metadata","safe not-found for missing or unauthorized"
saved-content,/passport/saved,"Harborlight CommunitySave plus safe public projections","eligible saved cards and canonical destinations","only currently public eligible subject projection","raw save rows,private,crew-only,unlisted,blocked,quarantined,archived,removed or missing subject detail","ineligible rows are omitted without revealing why"
security,/account/security,"Wayfarer credential lifecycle","password reset availability,verified-email state,security navigation","none","passwordHash,reset token,raw credential state","unsupported direct password change is not rendered"
sessions,/account/sessions,"AccountSession","id,isCurrent,deviceLabel,createdAt,lastSeenAt,expiresAt,revokedAt,coarse client metadata","none","session token,CSRF token,raw IP,address fingerprint","empty other-session state keeps current session visible"
account-data,/account/data,"accepted export/retention/session/privacy authorities","operation,status,reason,availableDestination","none","invented export files,retention promises,destructive capability","AVAILABLE,PROVIDER_DEPENDENT,NOT_CURRENTLY_SUPPORTED,or REQUIRES_REAUTHENTICATION"
