"mutation_id","screen","control","server_authority","validation","dirty_state","confirmation","pending","disabled_duplicate_behavior","optimistic_behavior","authoritative_result","success","failure","conflict","retry","context_refresh","focus","live_announcement","mobile_behavior","evidence","status"
"sign-in","screen-page-sign-in","sign in","APPLICATION_API_OR_SERVER_ACTION","CLIENT_GUIDANCE_AND_SERVER_AUTHORITY","NOT_APPLICABLE","DIRECT_INTENT","VISIBLE_AND_DUPLICATE_GUARDED","DISABLED_OR_SINGLE_IN_FLIGHT","ONLY_WHEN_REVERSIBLE_AND_RECONCILED","REQUIRED_BEFORE_SUCCESS","VISIBLE_STATE_AND_LIVE_STATUS","SAFE_ERROR_INPUT_OR_CONTEXT_PRESERVED","STALE_CONFLICT_EXPLICIT_WHERE_VERSIONED","AVAILABLE_WHERE_SAFE","AUTHORITATIVE_RESOURCE_OR_ACCOUNT_CONTEXT_REFRESH","PRESERVED_OR_RESTORED","POLITE_OR_ASSERTIVE_BY_SEVERITY","CONTROL_AND_RESULT_REMAIN_VISIBLE","HP-P6-EV-119-captain-library-dialog","COMPLETE"
"registration","screen-page-register","registration","APPLICATION_API_OR_SERVER_ACTION","CLIENT_GUIDANCE_AND_SERVER_AUTHORITY","NOT_APPLICABLE","DIRECT_INTENT","VISIBLE_AND_DUPLICATE_GUARDED","DISABLED_OR_SINGLE_IN_FLIGHT","ONLY_WHEN_REVERSIBLE_AND_RECONCILED","REQUIRED_BEFORE_SUCCESS","VISIBLE_STATE_AND_LIVE_STATUS","SAFE_ERROR_INPUT_OR_CONTEXT_PRESERVED","STALE_CONFLICT_EXPLICIT_WHERE_VERSIONED","AVAILABLE_WHERE_SAFE","AUTHORITATIVE_RESOURCE_OR_ACCOUNT_CONTEXT_REFRESH","PRESERVED_OR_RESTORED","POLITE_OR_ASSERTIVE_BY_SEVERITY","CONTROL_AND_RESULT_REMAIN_VISIBLE","HP-P6-EV-119-captain-library-dialog","COMPLETE"
"password-reset","screen-page-reset-password","password reset","APPLICATION_API_OR_SERVER_ACTION","CLIENT_GUIDANCE_AND_SERVER_AUTHORITY","NOT_APPLICABLE","DIRECT_INTENT","VISIBLE_AND_DUPLICATE_GUARDED","DISABLED_OR_SINGLE_IN_FLIGHT","ONLY_WHEN_REVERSIBLE_AND_RECONCILED","REQUIRED_BEFORE_SUCCESS","VISIBLE_STATE_AND_LIVE_STATUS","SAFE_ERROR_INPUT_OR_CONTEXT_PRESERVED","STALE_CONFLICT_EXPLICIT_WHERE_VERSIONED","AVAILABLE_WHERE_SAFE","AUTHORITATIVE_RESOURCE_OR_ACCOUNT_CONTEXT_REFRESH","PRESERVED_OR_RESTORED","POLITE_OR_ASSERTIVE_BY_SEVERITY","CONTROL_AND_RESULT_REMAIN_VISIBLE","HP-P6-EV-119-captain-library-dialog","COMPLETE"
"verification-resend","screen-page-verify-email","verification resend","APPLICATION_API_OR_SERVER_ACTION","CLIENT_GUIDANCE_AND_SERVER_AUTHORITY","NOT_APPLICABLE","DIRECT_INTENT","VISIBLE_AND_DUPLICATE_GUARDED","DISABLED_OR_SINGLE_IN_FLIGHT","ONLY_WHEN_REVERSIBLE_AND_RECONCILED","REQUIRED_BEFORE_SUCCESS","VISIBLE_STATE_AND_LIVE_STATUS","SAFE_ERROR_INPUT_OR_CONTEXT_PRESERVED","STALE_CONFLICT_EXPLICIT_WHERE_VERSIONED","AVAILABLE_WHERE_SAFE","AUTHORITATIVE_RESOURCE_OR_ACCOUNT_CONTEXT_REFRESH","PRESERVED_OR_RESTORED","POLITE_OR_ASSERTIVE_BY_SEVERITY","CONTROL_AND_RESULT_REMAIN_VISIBLE","HP-P6-EV-119-captain-library-dialog","COMPLETE"
"profile-save","screen-page-account-profile","profile save","APPLICATION_API_OR_SERVER_ACTION","CLIENT_GUIDANCE_AND_SERVER_AUTHORITY","EXPLICIT","DIRECT_INTENT","VISIBLE_AND_DUPLICATE_GUARDED","DISABLED_OR_SINGLE_IN_FLIGHT","ONLY_WHEN_REVERSIBLE_AND_RECONCILED","REQUIRED_BEFORE_SUCCESS","VISIBLE_STATE_AND_LIVE_STATUS","SAFE_ERROR_INPUT_OR_CONTEXT_PRESERVED","STALE_CONFLICT_EXPLICIT_WHERE_VERSIONED","AVAILABLE_WHERE_SAFE","AUTHORITATIVE_RESOURCE_OR_ACCOUNT_CONTEXT_REFRESH","PRESERVED_OR_RESTORED","POLITE_OR_ASSERTIVE_BY_SEVERITY","CONTROL_AND_RESULT_REMAIN_VISIBLE","HP-P6-EV-119-captain-library-dialog","COMPLETE"
"preferences-save","screen-page-account-preferences","preferences save","APPLICATION_API_OR_SERVER_ACTION","CLIENT_GUIDANCE_AND_SERVER_AUTHORITY","EXPLICIT","DIRECT_INTENT","VISIBLE_AND_DUPLICATE_GUARDED","DISABLED_OR_SINGLE_IN_FLIGHT","ONLY_WHEN_REVERSIBLE_AND_RECONCILED","REQUIRED_BEFORE_SUCCESS","VISIBLE_STATE_AND_LIVE_STATUS","SAFE_ERROR_INPUT_OR_CONTEXT_PRESERVED","STALE_CONFLICT_EXPLICIT_WHERE_VERSIONED","AVAILABLE_WHERE_SAFE","AUTHORITATIVE_RESOURCE_OR_ACCOUNT_CONTEXT_REFRESH","PRESERVED_OR_RESTORED","POLITE_OR_ASSERTIVE_BY_SEVERITY","CONTROL_AND_RESULT_REMAIN_VISIBLE","HP-P6-EV-119-captain-library-dialog","COMPLETE"
"accessibility-save","screen-page-account-accessibility","accessibility save","APPLICATION_API_OR_SERVER_ACTION","CLIENT_GUIDANCE_AND_SERVER_AUTHORITY","EXPLICIT","DIRECT_INTENT","VISIBLE_AND_DUPLICATE_GUARDED","DISABLED_OR_SINGLE_IN_FLIGHT","ONLY_WHEN_REVERSIBLE_AND_RECONCILED","REQUIRED_BEFORE_SUCCESS","VISIBLE_STATE_AND_LIVE_STATUS","SAFE_ERROR_INPUT_OR_CONTEXT_PRESERVED","STALE_CONFLICT_EXPLICIT_WHERE_VERSIONED","AVAILABLE_WHERE_SAFE","AUTHORITATIVE_RESOURCE_OR_ACCOUNT_CONTEXT_REFRESH","PRESERVED_OR_RESTORED","POLITE_OR_ASSERTIVE_BY_SEVERITY","CONTROL_AND_RESULT_REMAIN_VISIBLE","HP-P6-EV-119-captain-library-dialog","COMPLETE"
"notifications-save","screen-page-account-notifications","notifications save","APPLICATION_API_OR_SERVER_ACTION","CLIENT_GUIDANCE_AND_SERVER_AUTHORITY","EXPLICIT","DIRECT_INTENT","VISIBLE_AND_DUPLICATE_GUARDED","DISABLED_OR_SINGLE_IN_FLIGHT","ONLY_WHEN_REVERSIBLE_AND_RECONCILED","REQUIRED_BEFORE_SUCCESS","VISIBLE_STATE_AND_LIVE_STATUS","SAFE_ERROR_INPUT_OR_CONTEXT_PRESERVED","STALE_CONFLICT_EXPLICIT_WHERE_VERSIONED","AVAILABLE_WHERE_SAFE","AUTHORITATIVE_RESOURCE_OR_ACCOUNT_CONTEXT_REFRESH","PRESERVED_OR_RESTORED","POLITE_OR_ASSERTIVE_BY_SEVERITY","CONTROL_AND_RESULT_REMAIN_VISIBLE","HP-P6-EV-119-captain-library-dialog","COMPLETE"
"privacy-save","screen-page-account-privacy","privacy save","APPLICATION_API_OR_SERVER_ACTION","CLIENT_GUIDANCE_AND_SERVER_AUTHORITY","EXPLICIT","DIRECT_INTENT","VISIBLE_AND_DUPLICATE_GUARDED","DISABLED_OR_SINGLE_IN_FLIGHT","ONLY_WHEN_REVERSIBLE_AND_RECONCILED","REQUIRED_BEFORE_SUCCESS","VISIBLE_STATE_AND_LIVE_STATUS","SAFE_ERROR_INPUT_OR_CONTEXT_PRESERVED","STALE_CONFLICT_EXPLICIT_WHERE_VERSIONED","AVAILABLE_WHERE_SAFE","AUTHORITATIVE_RESOURCE_OR_ACCOUNT_CONTEXT_REFRESH","PRESERVED_OR_RESTORED","POLITE_OR_ASSERTIVE_BY_SEVERITY","CONTROL_AND_RESULT_REMAIN_VISIBLE","HP-P6-EV-119-captain-library-dialog","COMPLETE"
"linked-identity","screen-page-account-linked-identities","linked identity","APPLICATION_API_OR_SERVER_ACTION","CLIENT_GUIDANCE_AND_SERVER_AUTHORITY","NOT_APPLICABLE","DIRECT_INTENT","VISIBLE_AND_DUPLICATE_GUARDED","DISABLED_OR_SINGLE_IN_FLIGHT","ONLY_WHEN_REVERSIBLE_AND_RECONCILED","REQUIRED_BEFORE_SUCCESS","VISIBLE_STATE_AND_LIVE_STATUS","SAFE_ERROR_INPUT_OR_CONTEXT_PRESERVED","STALE_CONFLICT_EXPLICIT_WHERE_VERSIONED","AVAILABLE_WHERE_SAFE","AUTHORITATIVE_RESOURCE_OR_ACCOUNT_CONTEXT_REFRESH","PRESERVED_OR_RESTORED","POLITE_OR_ASSERTIVE_BY_SEVERITY","CONTROL_AND_RESULT_REMAIN_VISIBLE","HP-P6-EV-119-captain-library-dialog","COMPLETE"
