"routeId","eligibilityProfile","rootRoute","naturalPath","visibleControls","shortestPathLength","alternatePath","desktopProof","mobileProof","directEntryProof","returnProof","sourceSha","browserTestId","result","limitation"
"route-page-root","ANONYMOUS_GATEWAY","/","/","","0","ALTERNATE_REGISTERED_ENTRY","STRUCTURAL_PENDING_BROWSER","STRUCTURAL_PENDING_BROWSER","PENDING_BROWSER","REGISTERED_EXIT","IMPLEMENTATION_SOURCE_PENDING","HP-P5-JRN-A","STRUCTURALLY_REACHABLE","BROWSER_PROOF_PENDING"
"route-page-account","AUTHENTICATED_PLAYER_GATEWAY","/","/ -> /account","Personal Harbor","1","NONE_REQUIRED","STRUCTURAL_PENDING_BROWSER","STRUCTURAL_PENDING_BROWSER","PENDING_BROWSER","REGISTERED_EXIT","IMPLEMENTATION_SOURCE_PENDING","HP-P5-JRN-F","STRUCTURALLY_REACHABLE","BROWSER_PROOF_PENDING"
"route-page-account-accessibility","AUTHENTICATED_PLAYER_GATEWAY","/","/ -> /account -> /account/accessibility","Personal Harbor -> Accessibility","2","NONE_REQUIRED","STRUCTURAL_PENDING_BROWSER","STRUCTURAL_PENDING_BROWSER","PENDING_BROWSER","REGISTERED_EXIT","IMPLEMENTATION_SOURCE_PENDING","HP-P5-JRN-F","STRUCTURALLY_REACHABLE","BROWSER_PROOF_PENDING"
"route-page-account-data","AUTHENTICATED_PLAYER_GATEWAY","/","/ -> /account -> /account/data","Personal Harbor -> Data & Account","2","NONE_REQUIRED","STRUCTURAL_PENDING_BROWSER","STRUCTURAL_PENDING_BROWSER","PENDING_BROWSER","REGISTERED_EXIT","IMPLEMENTATION_SOURCE_PENDING","HP-P5-JRN-F","STRUCTURALLY_REACHABLE","BROWSER_PROOF_PENDING"
"route-page-account-linked-identities","AUTHENTICATED_PLAYER_GATEWAY","/","/ -> /account -> /account/linked-identities","Personal Harbor -> Linked Identities","2","NONE_REQUIRED","STRUCTURAL_PENDING_BROWSER","STRUCTURAL_PENDING_BROWSER","PENDING_BROWSER","REGISTERED_EXIT","IMPLEMENTATION_SOURCE_PENDING","HP-P5-JRN-F","STRUCTURALLY_REACHABLE","BROWSER_PROOF_PENDING"
"route-page-account-notifications","AUTHENTICATED_PLAYER_GATEWAY","/","/ -> /account -> /account/notifications","Personal Harbor -> Notifications","2","NONE_REQUIRED","STRUCTURAL_PENDING_BROWSER","STRUCTURAL_PENDING_BROWSER","PENDING_BROWSER","REGISTERED_EXIT","IMPLEMENTATION_SOURCE_PENDING","HP-P5-JRN-F","STRUCTURALLY_REACHABLE","BROWSER_PROOF_PENDING"
"route-page-account-personal-information","AUTHENTICATED_PLAYER_GATEWAY","/","/ -> /account -> /account/personal-information","Personal Harbor -> Personal Information","2","ALTERNATE_REGISTERED_ENTRY","STRUCTURAL_PENDING_BROWSER","STRUCTURAL_PENDING_BROWSER","PENDING_BROWSER","REGISTERED_EXIT","IMPLEMENTATION_SOURCE_PENDING","HP-P5-JRN-F","STRUCTURALLY_REACHABLE","BROWSER_PROOF_PENDING"
"route-page-account-preferences","AUTHENTICATED_PLAYER_GATEWAY","/","/ -> /account/preferences","Preferences","1","NONE_REQUIRED","STRUCTURAL_PENDING_BROWSER","STRUCTURAL_PENDING_BROWSER","PENDING_BROWSER","REGISTERED_EXIT","IMPLEMENTATION_SOURCE_PENDING","HP-P5-JRN-F","STRUCTURALLY_REACHABLE","BROWSER_PROOF_PENDING"
"route-page-account-privacy","AUTHENTICATED_PLAYER_GATEWAY","/","/ -> /account/privacy","Privacy & Safety","1","NONE_REQUIRED","STRUCTURAL_PENDING_BROWSER","STRUCTURAL_PENDING_BROWSER","PENDING_BROWSER","REGISTERED_EXIT","IMPLEMENTATION_SOURCE_PENDING","HP-P5-JRN-F","STRUCTURALLY_REACHABLE","BROWSER_PROOF_PENDING"
"route-page-account-profile","AUTHENTICATED_PLAYER_GATEWAY","/","/ -> /account -> /account/profile","Personal Harbor -> Public Profile","2","NONE_REQUIRED","STRUCTURAL_PENDING_BROWSER","STRUCTURAL_PENDING_BROWSER","PENDING_BROWSER","REGISTERED_EXIT","IMPLEMENTATION_SOURCE_PENDING","HP-P5-JRN-F","STRUCTURALLY_REACHABLE","BROWSER_PROOF_PENDING"
"route-page-account-profile-view","AUTHENTICATED_PLAYER_GATEWAY","/","/ -> /account -> /account/profile/view","Personal Harbor -> View My Profile","2","NONE_REQUIRED","STRUCTURAL_PENDING_BROWSER","STRUCTURAL_PENDING_BROWSER","PENDING_BROWSER","REGISTERED_EXIT","IMPLEMENTATION_SOURCE_PENDING","HP-P5-JRN-F","STRUCTURALLY_REACHABLE","BROWSER_PROOF_PENDING"
"route-page-account-roles","AUTHENTICATED_PLAYER_GATEWAY","/","/ -> /account/roles","All workspaces","1","NONE_REQUIRED","STRUCTURAL_PENDING_BROWSER","STRUCTURAL_PENDING_BROWSER","PENDING_BROWSER","REGISTERED_EXIT","IMPLEMENTATION_SOURCE_PENDING","HP-P5-JRN-F","STRUCTURALLY_REACHABLE","BROWSER_PROOF_PENDING"
"route-page-account-security","AUTHENTICATED_PLAYER_GATEWAY","/","/ -> /account/security","Security & Sessions","1","NONE_REQUIRED","STRUCTURAL_PENDING_BROWSER","STRUCTURAL_PENDING_BROWSER","PENDING_BROWSER","REGISTERED_EXIT","IMPLEMENTATION_SOURCE_PENDING","HP-P5-JRN-F","STRUCTURALLY_REACHABLE","BROWSER_PROOF_PENDING"
"route-page-account-sessions","AUTHENTICATED_PLAYER_GATEWAY","/","/ -> /account/sessions","Sessions & Devices","1","NONE_REQUIRED","STRUCTURAL_PENDING_BROWSER","STRUCTURAL_PENDING_BROWSER","PENDING_BROWSER","REGISTERED_EXIT","IMPLEMENTATION_SOURCE_PENDING","HP-P5-JRN-F","STRUCTURALLY_REACHABLE","BROWSER_PROOF_PENDING"
"route-page-account-support-access","AUTHENTICATED_PLAYER_GATEWAY","/","/ -> /account/support-access","Support Access","1","NONE_REQUIRED","STRUCTURAL_PENDING_BROWSER","STRUCTURAL_PENDING_BROWSER","PENDING_BROWSER","REGISTERED_EXIT","IMPLEMENTATION_SOURCE_PENDING","HP-P5-JRN-F","STRUCTURALLY_REACHABLE","BROWSER_PROOF_PENDING"
"route-page-captain-library","AUTHENTICATED_CAPTAIN_GATEWAY","/","/ -> /captain/library","Voyages","1","ALTERNATE_REGISTERED_ENTRY","STRUCTURAL_PENDING_BROWSER","STRUCTURAL_PENDING_BROWSER","PENDING_BROWSER","REGISTERED_EXIT","IMPLEMENTATION_SOURCE_PENDING","HP-P5-JRN-D","STRUCTURALLY_REACHABLE","BROWSER_PROOF_PENDING"
"route-page-community","ANONYMOUS_GATEWAY","/","/ -> /community","Community Harbor","1","NONE_REQUIRED","STRUCTURAL_PENDING_BROWSER","STRUCTURAL_PENDING_BROWSER","PENDING_BROWSER","REGISTERED_EXIT","IMPLEMENTATION_SOURCE_PENDING","HP-P5-JRN-G","STRUCTURALLY_REACHABLE","BROWSER_PROOF_PENDING"
"route-page-community-artifacts","ANONYMOUS_GATEWAY","/","/ -> /community -> /community/artifacts","Community Harbor -> Artifacts","2","NONE_REQUIRED","STRUCTURAL_PENDING_BROWSER","STRUCTURAL_PENDING_BROWSER","PENDING_BROWSER","REGISTERED_EXIT","IMPLEMENTATION_SOURCE_PENDING","HP-P5-JRN-G","STRUCTURALLY_REACHABLE","BROWSER_PROOF_PENDING"
"route-page-community-audio","ANONYMOUS_GATEWAY","/","/ -> /community -> /community/audio","Community Harbor -> Audio and reveals","2","NONE_REQUIRED","STRUCTURAL_PENDING_BROWSER","STRUCTURAL_PENDING_BROWSER","PENDING_BROWSER","REGISTERED_EXIT","IMPLEMENTATION_SOURCE_PENDING","HP-P5-JRN-G","STRUCTURALLY_REACHABLE","BROWSER_PROOF_PENDING"
"route-page-community-chronicles","ANONYMOUS_GATEWAY","/","/ -> /community -> /community/chronicles","Community Harbor -> Chronicles","2","NONE_REQUIRED","STRUCTURAL_PENDING_BROWSER","STRUCTURAL_PENDING_BROWSER","PENDING_BROWSER","REGISTERED_EXIT","IMPLEMENTATION_SOURCE_PENDING","HP-P5-JRN-G","STRUCTURALLY_REACHABLE","BROWSER_PROOF_PENDING"
"route-page-community-collections","ANONYMOUS_GATEWAY","/","/ -> /community -> /community/collections","Community Harbor -> Collections","2","NONE_REQUIRED","STRUCTURAL_PENDING_BROWSER","STRUCTURAL_PENDING_BROWSER","PENDING_BROWSER","REGISTERED_EXIT","IMPLEMENTATION_SOURCE_PENDING","HP-P5-JRN-G","STRUCTURALLY_REACHABLE","BROWSER_PROOF_PENDING"
"route-page-community-creators","ANONYMOUS_GATEWAY","/","/ -> /community -> /community/creators","Community Harbor -> Creators","2","NONE_REQUIRED","STRUCTURAL_PENDING_BROWSER","STRUCTURAL_PENDING_BROWSER","PENDING_BROWSER","REGISTERED_EXIT","IMPLEMENTATION_SOURCE_PENDING","HP-P5-JRN-G","STRUCTURALLY_REACHABLE","BROWSER_PROOF_PENDING"
"route-page-community-featured","ANONYMOUS_GATEWAY","/","/ -> /community -> /community/featured","Community Harbor -> Featured","2","NONE_REQUIRED","STRUCTURAL_PENDING_BROWSER","STRUCTURAL_PENDING_BROWSER","PENDING_BROWSER","REGISTERED_EXIT","IMPLEMENTATION_SOURCE_PENDING","HP-P5-JRN-G","STRUCTURALLY_REACHABLE","BROWSER_PROOF_PENDING"
"route-page-community-guides","ANONYMOUS_GATEWAY","/","/ -> /community -> /community/guides","Community Harbor -> Guides","2","NONE_REQUIRED","STRUCTURAL_PENDING_BROWSER","STRUCTURAL_PENDING_BROWSER","PENDING_BROWSER","REGISTERED_EXIT","IMPLEMENTATION_SOURCE_PENDING","HP-P5-JRN-G","STRUCTURALLY_REACHABLE","BROWSER_PROOF_PENDING"
"route-page-community-maps","ANONYMOUS_GATEWAY","/","/ -> /community -> /community/maps","Community Harbor -> Maps","2","NONE_REQUIRED","STRUCTURAL_PENDING_BROWSER","STRUCTURAL_PENDING_BROWSER","PENDING_BROWSER","REGISTERED_EXIT","IMPLEMENTATION_SOURCE_PENDING","HP-P5-JRN-G","STRUCTURALLY_REACHABLE","BROWSER_PROOF_PENDING"
"route-page-community-moderation","AUTHENTICATED_MODERATOR_GATEWAY","/","/ -> /community/moderation","Moderation","1","NONE_REQUIRED","STRUCTURAL_PENDING_BROWSER","STRUCTURAL_PENDING_BROWSER","PENDING_BROWSER","REGISTERED_EXIT","IMPLEMENTATION_SOURCE_PENDING","HP-P5-JRN-G","STRUCTURALLY_REACHABLE","BROWSER_PROOF_PENDING"
"route-page-community-templates","ANONYMOUS_GATEWAY","/","/ -> /community -> /community/templates","Community Harbor -> Templates","2","NONE_REQUIRED","STRUCTURAL_PENDING_BROWSER","STRUCTURAL_PENDING_BROWSER","PENDING_BROWSER","REGISTERED_EXIT","IMPLEMENTATION_SOURCE_PENDING","HP-P5-JRN-G","STRUCTURALLY_REACHABLE","BROWSER_PROOF_PENDING"
