mutationId,route,authority,csrf,confirmation,optimistic,revisionPolicy,pending,success,failure,rollback
profile.update,/account/profile,Wayfarer Profile,required,no,no,"expected updatedAt; 409 on mismatch","disable submit; labelled busy; live status","replace editor and preview from authoritative DTO","retain entered values; inline and live error","no persisted change"
profile.media.upload,/account/profile,Wayfarer profile media,required,no,no,"profile revision refreshed after completion","progress and processing state","render normalized media URL and truthful state","retain previous media; explain normalization failure","remove incomplete staged record per service contract"
profile.media.remove,/account/profile,Wayfarer profile media,required,yes,no,"current media identity required","disable destructive control","replace preview from authoritative profile","preserve media and announce error","no deletion on failed response"
preferences.update,/account/preferences,Wayfarer ProfilePreference,required,no,no,"expected updatedAt; 409 on mismatch","section save busy state","replace local draft and revision","retain draft; stale dialog offers reload or copy","no persisted change"
accessibility.update,/account/accessibility,Wayfarer ProfilePreference,required,no,no,"expected updatedAt; 409 on mismatch","section save busy state; reduced mode applies semantically","authoritative settings consumed by shell","retain draft and expose retry","restore prior consumed settings"
notifications.update,/account/notifications,Wayfarer ProfilePreference,required,no,no,"expected updatedAt; 409 on mismatch","section save busy state","authoritative limited notification preference","retain draft and explain dependency error","restore prior settings"
privacy.update,/account/privacy,Wayfarer ProfilePrivacy,required,no,no,"expected revision; 409 on mismatch","disable save; preview labelled stale while pending","refresh enforced public preview","retain draft; conflict recovery","server projection remains prior state"
identity.unlink,/account/linked-identities,Wayfarer provider adapter,required,yes,no,"identity id and current account authorization","dialog and row pending","remove only from authoritative safe list","row remains with lockout/dependency reason","provider identity retained"
session.revoke,/account/sessions,AccountSession,required,yes,no,"session id; current account authorization","dialog and row pending","remove/relabel revoked session; broadcast invalidation if current","row remains and error receives focus/live announcement","session remains valid"
session.signout-all,/account/sessions,AccountSession,required,yes,no,"current account authorization","dialog pending; prevent duplicate submission","broadcast current-user invalidation and follow canonical sign-in return","remain signed in and announce failure","no partial client-only sign-out claim"
history.reflection,/passport/history/[entryId],Wayfarer Chronicle,required,no,no,"entry id plus pinned version authority","editor pending","replace reflection from response","retain draft","previous reflection remains"
memory.create,/passport/memories,Wayfarer Chronicle memory,required,no,no,"owner-authorized history reference","composer pending","prepend authoritative memory","retain draft","no placeholder card"
memory.delete,/passport/memories,Wayfarer Chronicle memory,required,yes,no,"memory id and owner authorization","dialog and card pending","remove after authoritative response","card remains","memory retained"
keepsake.consent,/passport/memories,Wayfarer keepsake consent,required,yes,no,"current owner and referenced record","dialog pending","show authoritative consent receipt/state","retain previous state","consent unchanged"
artifact.personalize,/passport/artifacts/[artifactId],Wayfarer Artifact,required,no,no,"artifact id and owner grant","editor pending","replace authoritative detail","retain draft","prior personalization remains"
saved.unsave,/passport/saved,Harborlight social save service,required,no,no,"subject type and id","card pending","remove only after authoritative response","card remains and announces failure","save row retained"
