"surface","motion_owner","primitive_runtime","trigger","duration","interruption_behavior","route_behavior","hidden_tab_behavior","cleanup","reduced_motion_equivalent","focus_interaction","performance_risk","test","evidence"
"route-transitions","ProductShell","motion/react","USER_OR_ROUTE_STATE","TOKEN_GOVERNED","CANCEL_OR_SETTLE_TO_READABLE_STATE","NO_STALE_INVISIBLE_LAYER","NO_UNBOUNDED_BACKGROUND_LOOP","LISTENERS_TIMERS_OBSERVERS_AND_LOCKS_RELEASED","STATIC_SEMANTIC_FINAL_STATE","FOCUS_PRESERVED_OR_RESTORED","BOUNDED_AND_MEASURED_UNDER_VALID_HOST_LOAD","homeport.motion.authority;homeport.motion.reduced-motion;homeport.motion.route-lifecycle","HP-P6-EV-126-root-reduced-motion"
"gateway-opening","Lanternwake gateway","GSAP and governed fallback","USER_OR_ROUTE_STATE","TOKEN_GOVERNED","CANCEL_OR_SETTLE_TO_READABLE_STATE","NO_STALE_INVISIBLE_LAYER","NO_UNBOUNDED_BACKGROUND_LOOP","LISTENERS_TIMERS_OBSERVERS_AND_LOCKS_RELEASED","STATIC_SEMANTIC_FINAL_STATE","FOCUS_PRESERVED_OR_RESTORED","BOUNDED_AND_MEASURED_UNDER_VALID_HOST_LOAD","homeport.motion.authority;homeport.motion.reduced-motion;homeport.motion.route-lifecycle","HP-P6-EV-126-root-reduced-motion"
"menus-and-drawers","ProductShell","CSS and React state","USER_OR_ROUTE_STATE","TOKEN_GOVERNED","CANCEL_OR_SETTLE_TO_READABLE_STATE","NO_STALE_INVISIBLE_LAYER","NO_UNBOUNDED_BACKGROUND_LOOP","LISTENERS_TIMERS_OBSERVERS_AND_LOCKS_RELEASED","STATIC_SEMANTIC_FINAL_STATE","FOCUS_PRESERVED_OR_RESTORED","BOUNDED_AND_MEASURED_UNDER_VALID_HOST_LOAD","homeport.motion.authority;homeport.motion.reduced-motion;homeport.motion.route-lifecycle","HP-P6-EV-126-root-reduced-motion"
"action-dialogs","ActionDialog","CSS and React state","USER_OR_ROUTE_STATE","TOKEN_GOVERNED","CANCEL_OR_SETTLE_TO_READABLE_STATE","NO_STALE_INVISIBLE_LAYER","NO_UNBOUNDED_BACKGROUND_LOOP","LISTENERS_TIMERS_OBSERVERS_AND_LOCKS_RELEASED","STATIC_SEMANTIC_FINAL_STATE","FOCUS_PRESERVED_OR_RESTORED","BOUNDED_AND_MEASURED_UNDER_VALID_HOST_LOAD","homeport.motion.authority;homeport.motion.reduced-motion;homeport.motion.route-lifecycle","HP-P6-EV-126-root-reduced-motion"
"player-library-layout","PlayerLibrary","motion/react","USER_OR_ROUTE_STATE","TOKEN_GOVERNED","CANCEL_OR_SETTLE_TO_READABLE_STATE","NO_STALE_INVISIBLE_LAYER","NO_UNBOUNDED_BACKGROUND_LOOP","LISTENERS_TIMERS_OBSERVERS_AND_LOCKS_RELEASED","STATIC_SEMANTIC_FINAL_STATE","FOCUS_PRESERVED_OR_RESTORED","BOUNDED_AND_MEASURED_UNDER_VALID_HOST_LOAD","homeport.motion.authority;homeport.motion.reduced-motion;homeport.motion.route-lifecycle","HP-P6-EV-126-root-reduced-motion"
"captain-library-layout","CaptainLibrary","motion/react","USER_OR_ROUTE_STATE","TOKEN_GOVERNED","CANCEL_OR_SETTLE_TO_READABLE_STATE","NO_STALE_INVISIBLE_LAYER","NO_UNBOUNDED_BACKGROUND_LOOP","LISTENERS_TIMERS_OBSERVERS_AND_LOCKS_RELEASED","STATIC_SEMANTIC_FINAL_STATE","FOCUS_PRESERVED_OR_RESTORED","BOUNDED_AND_MEASURED_UNDER_VALID_HOST_LOAD","homeport.motion.authority;homeport.motion.reduced-motion;homeport.motion.route-lifecycle","HP-P6-EV-126-root-reduced-motion"
"invitation-ceremony","AnimationDirector","governed presentation","USER_OR_ROUTE_STATE","TOKEN_GOVERNED","CANCEL_OR_SETTLE_TO_READABLE_STATE","NO_STALE_INVISIBLE_LAYER","NO_UNBOUNDED_BACKGROUND_LOOP","LISTENERS_TIMERS_OBSERVERS_AND_LOCKS_RELEASED","STATIC_SEMANTIC_FINAL_STATE","FOCUS_PRESERVED_OR_RESTORED","BOUNDED_AND_MEASURED_UNDER_VALID_HOST_LOAD","homeport.motion.authority;homeport.motion.reduced-motion;homeport.motion.route-lifecycle","HP-P6-EV-126-root-reduced-motion"
"studio-publish","AnimationDirector","governed presentation","USER_OR_ROUTE_STATE","TOKEN_GOVERNED","CANCEL_OR_SETTLE_TO_READABLE_STATE","NO_STALE_INVISIBLE_LAYER","NO_UNBOUNDED_BACKGROUND_LOOP","LISTENERS_TIMERS_OBSERVERS_AND_LOCKS_RELEASED","STATIC_SEMANTIC_FINAL_STATE","FOCUS_PRESERVED_OR_RESTORED","BOUNDED_AND_MEASURED_UNDER_VALID_HOST_LOAD","homeport.motion.authority;homeport.motion.reduced-motion;homeport.motion.route-lifecycle","HP-P6-EV-126-root-reduced-motion"
"chronicle-journal","Lanternwake","PageFlip and governed fallback","USER_OR_ROUTE_STATE","TOKEN_GOVERNED","CANCEL_OR_SETTLE_TO_READABLE_STATE","NO_STALE_INVISIBLE_LAYER","NO_UNBOUNDED_BACKGROUND_LOOP","LISTENERS_TIMERS_OBSERVERS_AND_LOCKS_RELEASED","STATIC_SEMANTIC_FINAL_STATE","FOCUS_PRESERVED_OR_RESTORED","BOUNDED_AND_MEASURED_UNDER_VALID_HOST_LOAD","homeport.motion.authority;homeport.motion.reduced-motion;homeport.motion.route-lifecycle","HP-P6-EV-126-root-reduced-motion"
"community-shelves","Harborlight","CSS and motion/react","USER_OR_ROUTE_STATE","TOKEN_GOVERNED","CANCEL_OR_SETTLE_TO_READABLE_STATE","NO_STALE_INVISIBLE_LAYER","NO_UNBOUNDED_BACKGROUND_LOOP","LISTENERS_TIMERS_OBSERVERS_AND_LOCKS_RELEASED","STATIC_SEMANTIC_FINAL_STATE","FOCUS_PRESERVED_OR_RESTORED","BOUNDED_AND_MEASURED_UNDER_VALID_HOST_LOAD","homeport.motion.authority;homeport.motion.reduced-motion;homeport.motion.route-lifecycle","HP-P6-EV-126-root-reduced-motion"
