evidence_id,journey_id,fixture_clone,viewport,motion_mode,source_sha,result,screenshot_location
HP-P7-EV-A-registered-profile,A,journey-A.db,1440x900@100,REDUCED,61ea9ec546622b2bce2036d249fca408922786d2,PASSED,evidence/phase7/screenshots/HP-P7-EV-A-registered-profile.png
HP-P7-EV-B-cross-workspace-account,B,journey-B.db,1440x900@100,REDUCED,61ea9ec546622b2bce2036d249fca408922786d2,PASSED,evidence/phase7/screenshots/HP-P7-EV-B-cross-workspace-account.png
HP-P7-EV-C-player-voyage,C,journey-C.db,1440x900@100,REDUCED,61ea9ec546622b2bce2036d249fca408922786d2,PASSED,evidence/phase7/screenshots/HP-P7-EV-C-player-voyage.png
HP-P7-EV-D-captain-session,D,journey-D.db,1440x900@100,REDUCED,61ea9ec546622b2bce2036d249fca408922786d2,PASSED,evidence/phase7/screenshots/HP-P7-EV-D-captain-session.png
HP-P7-EV-E-creator-private-state,E,journey-E.db,1440x900@100,REDUCED,61ea9ec546622b2bce2036d249fca408922786d2,PASSED,evidence/phase7/screenshots/HP-P7-EV-E-creator-private-state.png
HP-P7-EV-F-community-saved,F,journey-F.db,1440x900@100,REDUCED,61ea9ec546622b2bce2036d249fca408922786d2,PASSED,evidence/phase7/screenshots/HP-P7-EV-F-community-saved.png
HP-P7-EV-G-profile-preferences-saved,G,journey-G.db,1440x900@100,REDUCED,61ea9ec546622b2bce2036d249fca408922786d2,PASSED,evidence/phase7/screenshots/HP-P7-EV-G-profile-preferences-saved.png
HP-P7-EV-H-passport-artifacts-and-saved,H,journey-H.db,1440x900@100,REDUCED,61ea9ec546622b2bce2036d249fca408922786d2,PASSED,evidence/phase7/screenshots/HP-P7-EV-H-passport-artifacts-and-saved.png
HP-P7-EV-I-recovery-restored-account,I,journey-I.db,1440x900@100,REDUCED,61ea9ec546622b2bce2036d249fca408922786d2,PASSED,evidence/phase7/screenshots/HP-P7-EV-I-recovery-restored-account.png
HP-P7-EV-J-session-expired,J,journey-J.db,1440x900@100,REDUCED,61ea9ec546622b2bce2036d249fca408922786d2,PASSED,evidence/phase7/screenshots/HP-P7-EV-J-session-expired.png
HP-P7-EV-K-permission-denied-authenticated,K,journey-K.db,1440x900@100,REDUCED,61ea9ec546622b2bce2036d249fca408922786d2,PASSED,evidence/phase7/screenshots/HP-P7-EV-K-permission-denied-authenticated.png
HP-P7-EV-L-mobile-workspace,L,journey-L.db,390x844@100,REDUCED,61ea9ec546622b2bce2036d249fca408922786d2,PASSED,evidence/phase7/screenshots/HP-P7-EV-L-mobile-workspace.png
HP-P7-EV-M-multi-tab-invalidated,M,journey-M.db,1440x900@100,REDUCED,61ea9ec546622b2bce2036d249fca408922786d2,PASSED,evidence/phase7/screenshots/HP-P7-EV-M-multi-tab-invalidated.png
HP-P7-EV-N-dependency-unavailable,N,journey-N.db,1440x900@100,REDUCED,61ea9ec546622b2bce2036d249fca408922786d2,PASSED,evidence/phase7/screenshots/HP-P7-EV-N-dependency-unavailable.png
HP-P7-EV-O-whole-voyage-community,O,journey-O.db,1440x900@100,REDUCED,61ea9ec546622b2bce2036d249fca408922786d2,PASSED,evidence/phase7/screenshots/HP-P7-EV-O-whole-voyage-community.png
HP-P7-EV-O-whole-voyage-anonymous-end,O,journey-O.db,1440x900@100,REDUCED,61ea9ec546622b2bce2036d249fca408922786d2,PASSED,evidence/phase7/screenshots/HP-P7-EV-O-whole-voyage-anonymous-end.png
