"screen_id","state","applicable","trigger","data_source","visual_composition","primary_message","secondary_explanation","actions","recovery","parent","focus_target","live_region_behavior","privacy_rule","mobile_behavior","reduced_motion_behavior","test","evidence","final_status"
"screen-page-root","READY_POPULATED","YES","AUTHORITATIVE_RESOURCE_PROJECTION","SERVER_OR_CLIENT_COMPONENT_PROJECTION","Governed ready populated composition within GATEWAY_STANDARD","Ready Populated","Domain-specific explanation preserves current product area and truthful authority.","STATE_SPECIFIC","PARENT_CONTEXT_RETAINED","route-page-root","Route entry focuses destination heading; disclosure and dialog closure restore a safe control.","NOT_INTRUSIVE","No raw errors, identifiers, object keys, secrets, private DTOs, or stale identity.","Meaning and recovery remain available without horizontal document overflow.","Static semantic state with no success-delaying animation.","homeport.state.ready-populated","HP-P6-EV-001-root-standard-desktop;HP-P6-EV-002-root-modern-mobile;HP-P6-EV-059-root-compact-desktop;HP-P6-EV-060-root-tablet-landscape;HP-P6-EV-061-root-tablet-portrait;HP-P6-EV-062-root-narrow-mobile;HP-P6-EV-107-root-effective-200-percent;HP-P6-EV-126-root-reduced-motion","COMPLETE"
"screen-page-root","INITIAL_LOADING","YES","ASYNC_RESOURCE_PENDING","SERVER_OR_CLIENT_COMPONENT_PROJECTION","Governed initial loading composition within GATEWAY_STANDARD","Initial Loading","Domain-specific explanation preserves current product area and truthful authority.","STATE_SPECIFIC","PARENT_CONTEXT_RETAINED","route-page-root","Route entry focuses destination heading; disclosure and dialog closure restore a safe control.","POLITE_OR_ASSERTIVE_AS_SEVERITY_REQUIRES","No raw errors, identifiers, object keys, secrets, private DTOs, or stale identity.","Meaning and recovery remain available without horizontal document overflow.","Static semantic state with no success-delaying animation.","homeport.state.initial-loading","HP-P6-EV-001-root-standard-desktop;HP-P6-EV-002-root-modern-mobile;HP-P6-EV-059-root-compact-desktop;HP-P6-EV-060-root-tablet-landscape;HP-P6-EV-061-root-tablet-portrait;HP-P6-EV-062-root-narrow-mobile;HP-P6-EV-107-root-effective-200-percent;HP-P6-EV-126-root-reduced-motion","COMPLETE"
"screen-page-root","RECOVERABLE_ERROR","YES","AUTHORITATIVE_RESOURCE_PROJECTION","SERVER_OR_CLIENT_COMPONENT_PROJECTION","Governed recoverable error composition within GATEWAY_STANDARD","Recoverable Error","Domain-specific explanation preserves current product area and truthful authority.","RETRY_OR_STABLE_PARENT","EXPLICIT_AND_SAFE","route-page-root","Route entry focuses destination heading; disclosure and dialog closure restore a safe control.","POLITE_OR_ASSERTIVE_AS_SEVERITY_REQUIRES","No raw errors, identifiers, object keys, secrets, private DTOs, or stale identity.","Meaning and recovery remain available without horizontal document overflow.","Static semantic state with no success-delaying animation.","homeport.state.recoverable-error","HP-P6-EV-001-root-standard-desktop;HP-P6-EV-002-root-modern-mobile;HP-P6-EV-059-root-compact-desktop;HP-P6-EV-060-root-tablet-landscape;HP-P6-EV-061-root-tablet-portrait;HP-P6-EV-062-root-narrow-mobile;HP-P6-EV-107-root-effective-200-percent;HP-P6-EV-126-root-reduced-motion","COMPLETE"
"screen-page-account","READY_POPULATED","YES","AUTHORITATIVE_RESOURCE_PROJECTION","PersonalHarborOverviewDto","Governed ready populated composition within WORKSPACE_STANDARD","Ready Populated","Domain-specific explanation preserves current product area and truthful authority.","STATE_SPECIFIC","PARENT_CONTEXT_RETAINED","route-page-account","Route entry focuses destination heading; disclosure and dialog closure restore a safe control.","NOT_INTRUSIVE","No raw errors, identifiers, object keys, secrets, private DTOs, or stale identity.","Meaning and recovery remain available without horizontal document overflow.","Static semantic state with no success-delaying animation.","homeport.state.ready-populated","HP-P6-EV-011-account-standard-desktop;HP-P6-EV-012-account-modern-mobile;HP-P6-EV-079-account-compact-desktop;HP-P6-EV-080-account-tablet-landscape;HP-P6-EV-081-account-tablet-portrait;HP-P6-EV-082-account-narrow-mobile;HP-P6-EV-112-account-effective-200-percent","COMPLETE"
"screen-page-account","INITIAL_LOADING","YES","ASYNC_RESOURCE_PENDING","PersonalHarborOverviewDto","Governed initial loading composition within WORKSPACE_STANDARD","Initial Loading","Domain-specific explanation preserves current product area and truthful authority.","STATE_SPECIFIC","PARENT_CONTEXT_RETAINED","route-page-account","Route entry focuses destination heading; disclosure and dialog closure restore a safe control.","POLITE_OR_ASSERTIVE_AS_SEVERITY_REQUIRES","No raw errors, identifiers, object keys, secrets, private DTOs, or stale identity.","Meaning and recovery remain available without horizontal document overflow.","Static semantic state with no success-delaying animation.","homeport.state.initial-loading","HP-P6-EV-011-account-standard-desktop;HP-P6-EV-012-account-modern-mobile;HP-P6-EV-079-account-compact-desktop;HP-P6-EV-080-account-tablet-landscape;HP-P6-EV-081-account-tablet-portrait;HP-P6-EV-082-account-narrow-mobile;HP-P6-EV-112-account-effective-200-percent","COMPLETE"
"screen-page-account","RECOVERABLE_ERROR","YES","AUTHORITATIVE_RESOURCE_PROJECTION","PersonalHarborOverviewDto","Governed recoverable error composition within WORKSPACE_STANDARD","Recoverable Error","Domain-specific explanation preserves current product area and truthful authority.","RETRY_OR_STABLE_PARENT","EXPLICIT_AND_SAFE","route-page-account","Route entry focuses destination heading; disclosure and dialog closure restore a safe control.","POLITE_OR_ASSERTIVE_AS_SEVERITY_REQUIRES","No raw errors, identifiers, object keys, secrets, private DTOs, or stale identity.","Meaning and recovery remain available without horizontal document overflow.","Static semantic state with no success-delaying animation.","homeport.state.recoverable-error","HP-P6-EV-011-account-standard-desktop;HP-P6-EV-012-account-modern-mobile;HP-P6-EV-079-account-compact-desktop;HP-P6-EV-080-account-tablet-landscape;HP-P6-EV-081-account-tablet-portrait;HP-P6-EV-082-account-narrow-mobile;HP-P6-EV-112-account-effective-200-percent","COMPLETE"
"screen-page-account","AUTH_REQUIRED","YES","CANONICAL_ACCOUNT_CONTEXT_DECISION","PersonalHarborOverviewDto","Governed auth required composition within WORKSPACE_STANDARD","Auth Required","Domain-specific explanation preserves current product area and truthful authority.","CANONICAL_SIGN_IN_WITH_SAFE_RETURN","PARENT_CONTEXT_RETAINED","route-page-account","Route entry focuses destination heading; disclosure and dialog closure restore a safe control.","NOT_INTRUSIVE","No raw errors, identifiers, object keys, secrets, private DTOs, or stale identity.","Meaning and recovery remain available without horizontal document overflow.","Static semantic state with no success-delaying animation.","homeport.state.auth-required","HP-P6-EV-011-account-standard-desktop;HP-P6-EV-012-account-modern-mobile;HP-P6-EV-079-account-compact-desktop;HP-P6-EV-080-account-tablet-landscape;HP-P6-EV-081-account-tablet-portrait;HP-P6-EV-082-account-narrow-mobile;HP-P6-EV-112-account-effective-200-percent","COMPLETE"
"screen-page-account","SESSION_EXPIRED","YES","CANONICAL_ACCOUNT_CONTEXT_DECISION","PersonalHarborOverviewDto","Governed session expired composition within WORKSPACE_STANDARD","Session Expired","Domain-specific explanation preserves current product area and truthful authority.","CANONICAL_SIGN_IN_WITH_SAFE_RETURN","EXPLICIT_AND_SAFE","route-page-account","Route entry focuses destination heading; disclosure and dialog closure restore a safe control.","NOT_INTRUSIVE","No raw errors, identifiers, object keys, secrets, private DTOs, or stale identity.","Meaning and recovery remain available without horizontal document overflow.","Static semantic state with no success-delaying animation.","homeport.state.session-expired","HP-P6-EV-011-account-standard-desktop;HP-P6-EV-012-account-modern-mobile;HP-P6-EV-079-account-compact-desktop;HP-P6-EV-080-account-tablet-landscape;HP-P6-EV-081-account-tablet-portrait;HP-P6-EV-082-account-narrow-mobile;HP-P6-EV-112-account-effective-200-percent","COMPLETE"
"screen-page-account","SESSION_REVOKED_OR_INVALID","YES","CANONICAL_ACCOUNT_CONTEXT_DECISION","PersonalHarborOverviewDto","Governed session revoked or invalid composition within WORKSPACE_STANDARD","Session Revoked Or Invalid","Domain-specific explanation preserves current product area and truthful authority.","CANONICAL_SIGN_IN_WITH_SAFE_RETURN","EXPLICIT_AND_SAFE","route-page-account","Route entry focuses destination heading; disclosure and dialog closure restore a safe control.","NOT_INTRUSIVE","No raw errors, identifiers, object keys, secrets, private DTOs, or stale identity.","Meaning and recovery remain available without horizontal document overflow.","Static semantic state with no success-delaying animation.","homeport.state.session-revoked-or-invalid","HP-P6-EV-011-account-standard-desktop;HP-P6-EV-012-account-modern-mobile;HP-P6-EV-079-account-compact-desktop;HP-P6-EV-080-account-tablet-landscape;HP-P6-EV-081-account-tablet-portrait;HP-P6-EV-082-account-narrow-mobile;HP-P6-EV-112-account-effective-200-percent","COMPLETE"
"screen-page-account","ACCOUNT_RESTRICTED","YES","CANONICAL_ACCOUNT_CONTEXT_DECISION","PersonalHarborOverviewDto","Governed account restricted composition within WORKSPACE_STANDARD","Account Restricted","Domain-specific explanation preserves current product area and truthful authority.","AVAILABLE_DESTINATION_OR_SUPPORT_CONTEXT","EXPLICIT_AND_SAFE","route-page-account","Route entry focuses destination heading; disclosure and dialog closure restore a safe control.","NOT_INTRUSIVE","No raw errors, identifiers, object keys, secrets, private DTOs, or stale identity.","Meaning and recovery remain available without horizontal document overflow.","Static semantic state with no success-delaying animation.","homeport.state.account-restricted","HP-P6-EV-011-account-standard-desktop;HP-P6-EV-012-account-modern-mobile;HP-P6-EV-079-account-compact-desktop;HP-P6-EV-080-account-tablet-landscape;HP-P6-EV-081-account-tablet-portrait;HP-P6-EV-082-account-narrow-mobile;HP-P6-EV-112-account-effective-200-percent","COMPLETE"
