sectionId,desktopEntry,mobileEntry,canonicalRoute,deepLink,focusTarget,mutationParity,stateParity
personal-harbor-overview,rail Overview,sheet Overview,/account,yes,h1,read-only,"loading ready dependency-unavailable"
public-profile-editor,rail Public Profile,sheet Public Profile,/account/profile,yes,h1,"save upload remove","clean dirty saving saved error stale-conflict"
personal-information,rail Personal Information,sheet Personal Information,/account/personal-information,yes,h1,save,"clean dirty saving saved error stale-conflict unsupported-email"
preferences,rail Preferences,sheet Preferences,/account/preferences,yes,h1,save,"clean dirty saving saved error stale-conflict"
accessibility,rail Accessibility,sheet Accessibility,/account/accessibility,yes,h1,save,"clean dirty saving saved error stale-conflict reduced-motion"
notifications,rail Notifications,sheet Notifications,/account/notifications,yes,h1,save,"clean dirty saving saved error dependency-unavailable"
privacy-safety,rail Privacy & Safety,sheet Privacy & Safety,/account/privacy,yes,h1,save,"clean dirty saving saved error stale-conflict"
linked-identities,rail Linked Identities,sheet Linked Identities,/account/linked-identities,yes,h1,unlink,"loading ready empty pending success error lockout dependency-unavailable"
passport-home,rail Chronicle Passport,sheet Chronicle Passport,/passport,yes,h1,read-only,"loading ready empty dependency-unavailable"
passport-history,Passport History card,Passport History card,/passport/history,yes,h1,read-only,"loading ready empty not-found dependency-unavailable"
passport-memories,Passport Memories card,Passport Memories card,/passport/memories,yes,h1,"create delete consent","loading ready empty pending error consent-required"
passport-artifacts,Passport Artifacts card,Passport Artifacts card,/passport/artifacts,yes,h1,personalize,"loading ready empty not-found pending error"
passport-saved,Passport Saved card,Passport Saved card,/passport/saved,yes,h1,unsave,"loading ready empty pending error"
security,rail Security,sheet Security,/account/security,yes,h1,canonical-reset-link,"ready unavailable"
sessions-devices,rail Sessions & Devices,sheet Sessions & Devices,/account/sessions,yes,h1,"revoke signout-all","loading ready empty pending error"
data-account,rail Data & Account,sheet Data & Account,/account/data,yes,h1,available-destination-only,"loading ready dependency-unavailable unsupported"
