"routeId","eligibleAccountState","desktopSourceRoute","desktopControl","desktopEdgeId","mobileSourceRoute","mobileControl","mobileEdgeId","destination","permission","parent","return","parityResult","exceptionRationale","evidence"
"route-page-root","ANONYMOUS_ALLOWED","/account","Home","edge-return-account","/account","Home","edge-return-account","/","NONE","PRODUCT_ROOT","PRODUCT_ROOT","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-account","AUTHENTICATED_ACCOUNT_REQUIRED","/","Personal Harbor","edge-account-personal-harbor","/","Personal Harbor","edge-account-personal-harbor","/account","NONE","route-page-root","/","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-account-accessibility","AUTHENTICATED_ACCOUNT_REQUIRED","/account","Accessibility","edge-account-accessibility","/account","Accessibility","edge-account-accessibility","/account/accessibility","NONE","route-page-account","/account","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-account-data","AUTHENTICATED_ACCOUNT_REQUIRED","/account","Data & Account","edge-account-data","/account","Data & Account","edge-account-data","/account/data","NONE","route-page-account","/account","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-account-linked-identities","AUTHENTICATED_ACCOUNT_REQUIRED","/account","Linked Identities","edge-account-linked-identities","/account","Linked Identities","edge-account-linked-identities","/account/linked-identities","NONE","route-page-account","/account","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-account-notifications","AUTHENTICATED_ACCOUNT_REQUIRED","/account","Notifications","edge-account-notifications","/account","Notifications","edge-account-notifications","/account/notifications","NONE","route-page-account","/account","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-account-personal-information","AUTHENTICATED_ACCOUNT_REQUIRED","/account","Personal Information","edge-account-personal-information","/account","Personal Information","edge-account-personal-information","/account/personal-information","NONE","route-page-account","/account","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-account-preferences","AUTHENTICATED_ACCOUNT_REQUIRED","/","Preferences","edge-account-preferences","/","Preferences","edge-account-preferences","/account/preferences","NONE","route-page-account","/account","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-account-privacy","AUTHENTICATED_ACCOUNT_REQUIRED","/","Privacy & Safety","edge-account-privacy","/","Privacy & Safety","edge-account-privacy","/account/privacy","NONE","route-page-account","/account","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-account-profile","AUTHENTICATED_ACCOUNT_REQUIRED","/account","Public Profile","edge-account-profile","/account","Public Profile","edge-account-profile","/account/profile","NONE","route-page-account","/account","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-account-roles","AUTHENTICATED_ACCOUNT_REQUIRED","/","All workspaces","edge-account-workspaces","/","All workspaces","edge-account-workspaces","/account/roles","NONE","route-page-account","/account","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-account-security","AUTHENTICATED_ACCOUNT_REQUIRED","/","Security & Sessions","edge-account-security","/","Security & Sessions","edge-account-security","/account/security","NONE","route-page-account","/account","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-account-sessions","AUTHENTICATED_ACCOUNT_REQUIRED","/","Sessions & Devices","edge-account-sessions","/","Sessions & Devices","edge-account-sessions","/account/sessions","NONE","route-page-account","/account","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-captain-library","AUTHENTICATED_CAPABILITY_REQUIRED","/captain","Continue to canonical destination","edge-compat-captain","/captain","Continue to canonical destination","edge-compat-captain","/captain/library","CAPTAIN","route-page-root","/","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-community","ANONYMOUS_ALLOWED","/","Community Harbor","edge-global-community","/","Community Harbor","edge-global-community","/community","NONE","route-page-root","/","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-community-artifacts","ANONYMOUS_ALLOWED","/community","Artifacts","edge-district-artifacts","/community","Artifacts","edge-district-artifacts","/community/artifacts","NONE","route-page-community","/community","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-community-audio","ANONYMOUS_ALLOWED","/community","Audio and reveals","edge-district-audio-and-reveal-assets","/community","Audio and reveals","edge-district-audio-and-reveal-assets","/community/audio","NONE","route-page-community","/community","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-community-chronicles","ANONYMOUS_ALLOWED","/community","Chronicles","edge-district-chronicles","/community","Chronicles","edge-district-chronicles","/community/chronicles","NONE","route-page-community","/community","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-community-collections","ANONYMOUS_ALLOWED","/community","Collections","edge-district-collections","/community","Collections","edge-district-collections","/community/collections","NONE","route-page-community","/community","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
