"historical_case_id","source_file","source_line","title","project","protected_contract","historical_architecture_dependency","current_relevance","classification","canonical_replacement_suite","canonical_replacement_test_ids","canonical_replacement_historical_test_ids","canonical_replacement_semantic_ids","current_source_files","current_contract_ids","equal_or_stronger_coverage","consolidation_justification","retirement_evidence","remaining_limitation"
"p34-25adf5930b5451fbba82","tests/e2e/phase3-readonly-setup.setup.ts","40","creates nonce-bound read-only Phase 3 browser fixtures","phase3-readonly-setup","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.cross-project","sl-test-25adf5930b5451fbba82","","sl-semantic-bd125c6f4e3804e420b8","tests/e2e/phase3-readonly-setup.setup.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.cross-project contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-46c5da2fc8219f4a6a55","tests/e2e/acceptance.spec.ts","51","canonical Chronicle invitation journey keeps Player and Captain boundaries intact","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.player-library","sl-test-7290fa60b1460d326eb6","","sl-semantic-d605cb6ec15a83742502","tests/e2e/acceptance.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.player-library contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-e6a1d589a71df2a09c48","tests/e2e/access-gates.spec.ts","4","Player sign-in remains public, accessible, and does not grant a Chronicle session","chromium","authentication-authorization","retired shared PlayerExperience access flow","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.auth","sl-test-9a4891988c19d283e978","","sl-semantic-33ece7fad173985a4fe2","tests/e2e/access-gates.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.auth contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-ab2037e197d6405c7c34","tests/e2e/access-gates.spec.ts","20","Quartermaster bookmarks redirect to canonical Captain sign-in across supported browsers","chromium","authentication-authorization","retired shared PlayerExperience access flow","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.auth","sl-test-3790637088be86ab44a2","","sl-semantic-028d4c060db9b7b6c2ec","tests/e2e/access-gates.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.auth contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-942c9ba50bf2742aecae","tests/e2e/access-gates.spec.ts","27","published Chronicle catalog is public while Studio remains protected","chromium","authentication-authorization","retired shared PlayerExperience access flow","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.auth","sl-test-740a4d8d9eb1255e73c8","","sl-semantic-6f49805dbb4a590189b1","tests/e2e/access-gates.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.auth contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-3cafbee05bbec6390171","tests/e2e/animations.spec.ts","4","first arrival supports skip, replay, reduced motion, and a semantic destination","chromium","journal-ready-state","retired PlayerExperience presentation lifecycle","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.animation-lifecycle","sl-test-3cafbee05bbec6390171","","sl-semantic-8d1f264385ed9326d813","tests/e2e/animations.spec.ts","journal-ready-state","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.animation-lifecycle contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-59521b48dd1ab1611901","tests/e2e/animations.spec.ts","37","development showcase exercises transport, trailer, assets, page turns, and local-only network policy","chromium","journal-ready-state","retired PlayerExperience presentation lifecycle","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.animation-lifecycle","sl-test-59521b48dd1ab1611901","","sl-semantic-98d019dbae18b6705934","tests/e2e/animations.spec.ts","journal-ready-state","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.animation-lifecycle contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-fba6cc81f6239d923622","tests/e2e/chronicle-platform.spec.ts","11","the role gateway is responsive, reduced-motion aware, and never grants authorization","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.player-library","sl-test-fba6cc81f6239d923622","","sl-semantic-416fc895ddac1f542ed1","tests/e2e/chronicle-platform.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.player-library contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-3ca377b9e14e6d8f511c","tests/e2e/chronicle-platform.spec.ts","31","Captain invitation, immutable version, Player runtime, archive, and revocation form one persisted journey","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.player-library","sl-test-3ca377b9e14e6d8f511c","","sl-semantic-7f6ff37d5c7ce9f0edc6","tests/e2e/chronicle-platform.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.player-library contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-3de9543dc96d439445a1","tests/e2e/chronicle-studio.spec.ts","35","published Studio tale completes through player, Captain, and helper contracts","chromium","authentication-authorization","retired shared PlayerExperience operator surface","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.studio","sl-test-211263d71bef3e454890","","sl-semantic-d50db6924b289cbef3c5","tests/e2e/chronicle-studio.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.studio contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
