"media_type","owner","source","normal_state","missing_state","pending_scan","accepted_scan","quarantined","failed_processing","dependency_unavailable","removed","fallback","alt_transcript_caption","mobile_behavior","evidence"
"profile-avatar","project-homeport","AUTHORIZED_APPLICATION_MEDIA_ROUTE_OR_STATIC_PRODUCT_ASSET","RENDERED_WITH_BOUNDED_GEOMETRY","NAMED_MEDIA_FALLBACK","NOT_RENDERED_AS_ACCEPTED_MEDIA","AUTHORIZED_VARIANT_ONLY","SAFE_UNAVAILABLE_COMPOSITION","NAMED_FALLBACK_WITH_SURROUNDING_CONTENT_USABLE","TRUTHFUL_UNAVAILABLE_STATE","ARCHIVED_OR_REMOVED_PANEL","ResilientImage_ResilientVideo_ResilientAudio_OR_DOMAIN_EQUIVALENT","AUTHOR_PROVIDED_WHEN_AVAILABLE_OTHERWISE_TRUTHFUL_STATE","FRAME_RETains_GEOMETRY_AND_COPY_REFLOWS",""
"profile-banner","project-homeport","AUTHORIZED_APPLICATION_MEDIA_ROUTE_OR_STATIC_PRODUCT_ASSET","RENDERED_WITH_BOUNDED_GEOMETRY","NAMED_MEDIA_FALLBACK","NOT_RENDERED_AS_ACCEPTED_MEDIA","AUTHORIZED_VARIANT_ONLY","SAFE_UNAVAILABLE_COMPOSITION","NAMED_FALLBACK_WITH_SURROUNDING_CONTENT_USABLE","TRUTHFUL_UNAVAILABLE_STATE","ARCHIVED_OR_REMOVED_PANEL","ResilientImage_ResilientVideo_ResilientAudio_OR_DOMAIN_EQUIVALENT","AUTHOR_PROVIDED_WHEN_AVAILABLE_OTHERWISE_TRUTHFUL_STATE","FRAME_RETains_GEOMETRY_AND_COPY_REFLOWS",""
"chronicle-cover","one-voyage","AUTHORIZED_APPLICATION_MEDIA_ROUTE_OR_STATIC_PRODUCT_ASSET","RENDERED_WITH_BOUNDED_GEOMETRY","NAMED_MEDIA_FALLBACK","NOT_RENDERED_AS_ACCEPTED_MEDIA","AUTHORIZED_VARIANT_ONLY","SAFE_UNAVAILABLE_COMPOSITION","NAMED_FALLBACK_WITH_SURROUNDING_CONTENT_USABLE","TRUTHFUL_UNAVAILABLE_STATE","ARCHIVED_OR_REMOVED_PANEL","ResilientImage_ResilientVideo_ResilientAudio_OR_DOMAIN_EQUIVALENT","AUTHOR_PROVIDED_WHEN_AVAILABLE_OTHERWISE_TRUTHFUL_STATE","FRAME_RETains_GEOMETRY_AND_COPY_REFLOWS",""
"community-card-artwork","harborlight","AUTHORIZED_APPLICATION_MEDIA_ROUTE_OR_STATIC_PRODUCT_ASSET","RENDERED_WITH_BOUNDED_GEOMETRY","NAMED_MEDIA_FALLBACK","NOT_RENDERED_AS_ACCEPTED_MEDIA","AUTHORIZED_VARIANT_ONLY","SAFE_UNAVAILABLE_COMPOSITION","NAMED_FALLBACK_WITH_SURROUNDING_CONTENT_USABLE","TRUTHFUL_UNAVAILABLE_STATE","ARCHIVED_OR_REMOVED_PANEL","ResilientImage_ResilientVideo_ResilientAudio_OR_DOMAIN_EQUIVALENT","AUTHOR_PROVIDED_WHEN_AVAILABLE_OTHERWISE_TRUTHFUL_STATE","FRAME_RETains_GEOMETRY_AND_COPY_REFLOWS",""
"creator-avatar-banner","harborlight","AUTHORIZED_APPLICATION_MEDIA_ROUTE_OR_STATIC_PRODUCT_ASSET","RENDERED_WITH_BOUNDED_GEOMETRY","NAMED_MEDIA_FALLBACK","NOT_RENDERED_AS_ACCEPTED_MEDIA","AUTHORIZED_VARIANT_ONLY","SAFE_UNAVAILABLE_COMPOSITION","NAMED_FALLBACK_WITH_SURROUNDING_CONTENT_USABLE","TRUTHFUL_UNAVAILABLE_STATE","ARCHIVED_OR_REMOVED_PANEL","ResilientImage_ResilientVideo_ResilientAudio_OR_DOMAIN_EQUIVALENT","AUTHOR_PROVIDED_WHEN_AVAILABLE_OTHERWISE_TRUTHFUL_STATE","FRAME_RETains_GEOMETRY_AND_COPY_REFLOWS",""
"artifact-artwork","wayfarer","AUTHORIZED_APPLICATION_MEDIA_ROUTE_OR_STATIC_PRODUCT_ASSET","RENDERED_WITH_BOUNDED_GEOMETRY","NAMED_MEDIA_FALLBACK","NOT_RENDERED_AS_ACCEPTED_MEDIA","AUTHORIZED_VARIANT_ONLY","SAFE_UNAVAILABLE_COMPOSITION","NAMED_FALLBACK_WITH_SURROUNDING_CONTENT_USABLE","TRUTHFUL_UNAVAILABLE_STATE","ARCHIVED_OR_REMOVED_PANEL","ResilientImage_ResilientVideo_ResilientAudio_OR_DOMAIN_EQUIVALENT","AUTHOR_PROVIDED_WHEN_AVAILABLE_OTHERWISE_TRUTHFUL_STATE","FRAME_RETains_GEOMETRY_AND_COPY_REFLOWS",""
"map-preview","one-voyage","AUTHORIZED_APPLICATION_MEDIA_ROUTE_OR_STATIC_PRODUCT_ASSET","RENDERED_WITH_BOUNDED_GEOMETRY","NAMED_MEDIA_FALLBACK","NOT_RENDERED_AS_ACCEPTED_MEDIA","AUTHORIZED_VARIANT_ONLY","SAFE_UNAVAILABLE_COMPOSITION","NAMED_FALLBACK_WITH_SURROUNDING_CONTENT_USABLE","TRUTHFUL_UNAVAILABLE_STATE","ARCHIVED_OR_REMOVED_PANEL","ResilientImage_ResilientVideo_ResilientAudio_OR_DOMAIN_EQUIVALENT","AUTHOR_PROVIDED_WHEN_AVAILABLE_OTHERWISE_TRUTHFUL_STATE","FRAME_RETains_GEOMETRY_AND_COPY_REFLOWS",""
"audio-reveal-artwork","lanternwake","AUTHORIZED_APPLICATION_MEDIA_ROUTE_OR_STATIC_PRODUCT_ASSET","RENDERED_WITH_BOUNDED_GEOMETRY","NAMED_MEDIA_FALLBACK","NOT_RENDERED_AS_ACCEPTED_MEDIA","AUTHORIZED_VARIANT_ONLY","SAFE_UNAVAILABLE_COMPOSITION","NAMED_FALLBACK_WITH_SURROUNDING_CONTENT_USABLE","TRUTHFUL_UNAVAILABLE_STATE","ARCHIVED_OR_REMOVED_PANEL","ResilientImage_ResilientVideo_ResilientAudio_OR_DOMAIN_EQUIVALENT","AUTHOR_PROVIDED_WHEN_AVAILABLE_OTHERWISE_TRUTHFUL_STATE","FRAME_RETains_GEOMETRY_AND_COPY_REFLOWS",""
"three-dimensional-preview","one-voyage","AUTHORIZED_APPLICATION_MEDIA_ROUTE_OR_STATIC_PRODUCT_ASSET","RENDERED_WITH_BOUNDED_GEOMETRY","NAMED_MEDIA_FALLBACK","NOT_RENDERED_AS_ACCEPTED_MEDIA","AUTHORIZED_VARIANT_ONLY","SAFE_UNAVAILABLE_COMPOSITION","NAMED_FALLBACK_WITH_SURROUNDING_CONTENT_USABLE","TRUTHFUL_UNAVAILABLE_STATE","ARCHIVED_OR_REMOVED_PANEL","ResilientImage_ResilientVideo_ResilientAudio_OR_DOMAIN_EQUIVALENT","AUTHOR_PROVIDED_WHEN_AVAILABLE_OTHERWISE_TRUTHFUL_STATE","FRAME_RETains_GEOMETRY_AND_COPY_REFLOWS",""
"private-media","sealed-hold","AUTHORIZED_APPLICATION_MEDIA_ROUTE_OR_STATIC_PRODUCT_ASSET","RENDERED_WITH_BOUNDED_GEOMETRY","NAMED_MEDIA_FALLBACK","NOT_RENDERED_AS_ACCEPTED_MEDIA","AUTHORIZED_VARIANT_ONLY","SAFE_UNAVAILABLE_COMPOSITION","NAMED_FALLBACK_WITH_SURROUNDING_CONTENT_USABLE","TRUTHFUL_UNAVAILABLE_STATE","ARCHIVED_OR_REMOVED_PANEL","ResilientImage_ResilientVideo_ResilientAudio_OR_DOMAIN_EQUIVALENT","AUTHOR_PROVIDED_WHEN_AVAILABLE_OTHERWISE_TRUTHFUL_STATE","FRAME_RETains_GEOMETRY_AND_COPY_REFLOWS",""
