Legacy model,Legacy field,Legacy meaning,Canonical model,Canonical field,Transformation,Default behavior,Null behavior,Loss risk,Validation rule,Migration test,Rollback handling
Campaign,"id; slug; title; status; createdAt; updatedAt",Aggregate identity and lifecycle,Chronicle,"id; slug; title; status; createdAt; updatedAt",Create or resolve by mapping and preserve slug/timestamps,"PAUSED maps to PAUSED Chronicle Session",No null aggregate fields,High if slug or lifecycle is lost,"one Chronicle per Campaign; preserved slug",single and multiple Campaign migration,"mapping survives application rollback"
Campaign,"currentSequence; finaleState; finaleTeaser; finaleRequirements",Progression and finale projection,Chronicle Session,"currentSequence; variables; status",Replay ordered source events into Session variables and state,"sequence starts at zero when no events",Nullable teaser stays absent,High if late-game progress is lost,"event sequence equals source; finale projection equal",active and completed Campaign parity,"restore matched database or reconcile events"
PlayerAccess,"id; campaignId; tokenHash; label; expiresAt; lastSeenAt",Scoped legacy Player credential,PlayerProfile + PlayerIdentitySession + PlaythroughMembership,"displayName; tokenHash; expiresAt; member scope",Create deterministic anonymous profile and membership; retain token only in adapter credential reference,"label becomes display name",Missing label becomes Legacy Player; null expiry remains policy-controlled,High if token broadens access,"credential resolves only mapped session",anonymous and expired credential tests,"re-enable adapter; never copy raw token"
PlayerPresence,"deviceId; route; visibility; connectedAt; lastHeartbeatAt; acknowledgedSequence",Device presence and acknowledgement,Chronicle Session Event + membership metadata,"payload; lastHeartbeatAt",Import historical presence as sanitized event; live presence writes canonical session heartbeat,"not connected after migration",Missing route/visibility omitted,Low,"no private route enters Player projection",reconnect parity,"discard derived heartbeat only"
GameMasterUser,"id; username; passwordHash; role; capabilities",Staff identity,GameMasterUser + PlatformRoleAssignment,"accountId; role; scope",Retain account and derive scoped role assignment,"existing capability remains effective",No imported null password,High if role escalates,"effective policy no broader than source",Captain/Creator negative authorization,"role assignment reversible"
GameMasterSession,"id; userId; csrfToken; expiresAt",Staff browser session,GameMasterSession,"same fields",Retain shared session; canonical policy uses it,"expired stays expired",No null user,Low,"same account required",CSRF and expiry tests,"existing session can be revoked"
Chapter,"id; ordinal; state; contentId; revealedAt; solvedAt",Ordered story unit,ChronicleChapter + StoryBlock,"orderIndex; metadata; entry/completion block",Create chapter metadata and entry/completion blocks with source keys,"LOCKED becomes unrevealed",Absent timestamps remain absent,High if order/state differs,"ordinal and state projection match",no chapters/many chapters/parity,"keep mapping and source data"
ChapterContent,"version; title; narrative; objective; developmentOnly",Chapter content,StoryBlock,"configuration; presentation; schemaVersion",Create Player-safe content block in immutable version,"developmentOnly remains non-public",No null title/narrative/objective,High if narrative discarded,"published checksum covers content",content checksum test,"published snapshot remains immutable"
Clue,"ordinal; body",Riddle content,StoryBlock,"configuration.clue",Attach to mapped chapter entry block,"no clue creates no clue property",Missing body is validation failure,Medium,"canonical projection has equivalent clue",missing optional clue test,"recreate version from mapping"
Hint,"ordinal; body; releasedAt",Released hint,StoryBlock + Chronicle Session Event,"configuration.hints; event/reveal",Store definition in version and release state as canonical event,"unreleased hint hidden",Null releasedAt stays hidden,Medium,"only released hints visible",hint release parity,"reverse/reconcile reveal event"
