"routeId","pathPattern","parentControl","breadcrumb","backControl","stableFallback","globalNavigation","workspaceHome","relatedContent","nextStep","emptyStateAction","errorRecovery","permissionRecovery","directEntryBehavior","mobileBehavior","evidence","status"
"route-page-root","/","PRODUCT_ROOT","SHELL_OR_SECTION_CONTEXT","Artifact Cabinet","/","AVAILABLE","Gateway and public shell","AREA_DEPENDENT","PARENT_OR_MEANINGFUL_ONWARD_ACTION","NOT_DECLARED_IN_ROUTE_SOURCE","RETRY_OR_STABLE_PARENT","AVAILABLE_WORKSPACE_OR_HOME","STABLE_CONTEXT_AND_RETURN","FUNCTIONALLY_EQUIVALENT","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
"route-page-account","/account","route-page-root","SHELL_OR_SECTION_CONTEXT","Accessibility","/","AVAILABLE","Personal Harbor","AREA_DEPENDENT","PARENT_OR_MEANINGFUL_ONWARD_ACTION","NOT_DECLARED_IN_ROUTE_SOURCE","RETRY_OR_STABLE_PARENT","AVAILABLE_WORKSPACE_OR_HOME","STABLE_CONTEXT_AND_RETURN","FUNCTIONALLY_EQUIVALENT","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
"route-page-account-accessibility","/account/accessibility","route-page-account","SHELL_OR_SECTION_CONTEXT","Home","/account","AVAILABLE","Personal Harbor","AREA_DEPENDENT","PARENT_OR_MEANINGFUL_ONWARD_ACTION","NOT_DECLARED_IN_ROUTE_SOURCE","RETRY_OR_STABLE_PARENT","AVAILABLE_WORKSPACE_OR_HOME","STABLE_CONTEXT_AND_RETURN","FUNCTIONALLY_EQUIVALENT","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
"route-page-account-data","/account/data","route-page-account","SHELL_OR_SECTION_CONTEXT","Home","/account","AVAILABLE","Personal Harbor","AREA_DEPENDENT","PARENT_OR_MEANINGFUL_ONWARD_ACTION","NOT_DECLARED_IN_ROUTE_SOURCE","RETRY_OR_STABLE_PARENT","AVAILABLE_WORKSPACE_OR_HOME","STABLE_CONTEXT_AND_RETURN","FUNCTIONALLY_EQUIVALENT","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
"route-page-account-linked-identities","/account/linked-identities","route-page-account","SHELL_OR_SECTION_CONTEXT","Home","/account","AVAILABLE","Personal Harbor","AREA_DEPENDENT","PARENT_OR_MEANINGFUL_ONWARD_ACTION","NOT_DECLARED_IN_ROUTE_SOURCE","RETRY_OR_STABLE_PARENT","AVAILABLE_WORKSPACE_OR_HOME","STABLE_CONTEXT_AND_RETURN","FUNCTIONALLY_EQUIVALENT","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
"route-page-account-notifications","/account/notifications","route-page-account","SHELL_OR_SECTION_CONTEXT","Home","/account","AVAILABLE","Personal Harbor","AREA_DEPENDENT","PARENT_OR_MEANINGFUL_ONWARD_ACTION","NOT_DECLARED_IN_ROUTE_SOURCE","RETRY_OR_STABLE_PARENT","AVAILABLE_WORKSPACE_OR_HOME","STABLE_CONTEXT_AND_RETURN","FUNCTIONALLY_EQUIVALENT","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
"route-page-account-personal-information","/account/personal-information","route-page-account","SHELL_OR_SECTION_CONTEXT","Home","/account","AVAILABLE","Personal Harbor","AREA_DEPENDENT","PARENT_OR_MEANINGFUL_ONWARD_ACTION","NOT_DECLARED_IN_ROUTE_SOURCE","RETRY_OR_STABLE_PARENT","AVAILABLE_WORKSPACE_OR_HOME","STABLE_CONTEXT_AND_RETURN","FUNCTIONALLY_EQUIVALENT","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
"route-page-account-preferences","/account/preferences","route-page-account","SHELL_OR_SECTION_CONTEXT","Home","/account","AVAILABLE","Personal Harbor","AREA_DEPENDENT","PARENT_OR_MEANINGFUL_ONWARD_ACTION","NOT_DECLARED_IN_ROUTE_SOURCE","RETRY_OR_STABLE_PARENT","AVAILABLE_WORKSPACE_OR_HOME","STABLE_CONTEXT_AND_RETURN","FUNCTIONALLY_EQUIVALENT","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
"route-page-account-privacy","/account/privacy","route-page-account","SHELL_OR_SECTION_CONTEXT","Home","/account","AVAILABLE","Personal Harbor","AREA_DEPENDENT","PARENT_OR_MEANINGFUL_ONWARD_ACTION","NOT_DECLARED_IN_ROUTE_SOURCE","RETRY_OR_STABLE_PARENT","AVAILABLE_WORKSPACE_OR_HOME","STABLE_CONTEXT_AND_RETURN","FUNCTIONALLY_EQUIVALENT","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
"route-page-account-profile","/account/profile","route-page-account","SHELL_OR_SECTION_CONTEXT","View public Profile","/account","AVAILABLE","Personal Harbor","AREA_DEPENDENT","PARENT_OR_MEANINGFUL_ONWARD_ACTION","NOT_DECLARED_IN_ROUTE_SOURCE","RETRY_OR_STABLE_PARENT","AVAILABLE_WORKSPACE_OR_HOME","STABLE_CONTEXT_AND_RETURN","FUNCTIONALLY_EQUIVALENT","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
