"authority_id","cookie_or_token","source_model","classification","current_reads","current_writes","canonical_mapping","phase_1_action","new_writes_after_phase_1","fallback_reads_after_phase_1","telemetry","retirement_criteria","rollback","security_risk","test_ids","evidence_ids","final_status","notes"
"HP-SES-001","wayfarer_account","AccountSession","CANONICAL","resolveCurrentUser; currentAccount; account and workspace guards","registration; sign-in; reset; guest claim/merge; compatibility rotation","self","Retain as the only ordinary account authority and expose one bounded current-user DTO.","YES_CANONICAL_ONLY","YES","SecurityEvent session and auth events; current-user contract evidence","Not applicable while canonical","Revert Phase 1 consumers while preserving all rows and cookie parsing","HIGH_IF_BYPASSED","homeport.auth.single-product;homeport.session.convergence;homeport.session.expiry;homeport.session.revocation","HP-P1-EV-A-sign-in-desktop;HP-P1-EV-C-passport-continuity;HP-P1-EV-H-session-expired","CANONICAL_ACTIVE","Opaque token; SHA-256 persisted hash; HttpOnly SameSite=Lax Path=/; Secure in production."
"HP-SES-002","forever_gm","GameMasterSession with canonical account mapping","GLOBAL_IDENTITY_COMPATIBILITY","resolveCurrentUser; requireGm bounded bridge","none","GameMasterUser.canonicalAccount -> UserAccount -> fresh AccountSession","Stop ordinary writes; require a canonical mapping; rotate to wayfarer_account; delete cookie; authorize from canonical roles.","NO","YES_BOUNDED","ACCOUNT_COMPATIBILITY_BRIDGED with family only","Zero observed use through a governed window plus bookmarked-entry and API regression proof","Restore the bounded read path; never restore ordinary writers or broaden legacy permission","HIGH","homeport.legacy-staff.bridge;homeport.capability.staff-agreement;homeport.signout.compatibility;homeport.compatibility.observation","HP-P1-EV-M-legacy-staff-bridge","NO_NEW_WRITES","Unmapped historical staff sessions cannot become ordinary account authority."
"HP-SES-003","chronicle_player","PlayerIdentitySession","GLOBAL_IDENTITY_COMPATIBILITY","resolveCurrentUser; requirePlayerIdentity bounded bridge","none","PlayerIdentitySession.player.accountId -> fresh AccountSession","Stop ordinary writes; rotate linked sessions to wayfarer_account; delete cookie; retain only unlinked contextual Player reads.","NO","YES_BOUNDED","ACCOUNT_COMPATIBILITY_BRIDGED with family only","Zero linked-session use through a governed window and separate proof for unlinked contextual identities","Restore bounded reader only; preserve PlayerIdentitySession rows","HIGH","homeport.legacy-player.rotation;homeport.capability.player-agreement;homeport.signout.compatibility;homeport.compatibility.observation","HP-P1-EV-L-legacy-player-rotation","NO_NEW_WRITES","No legacy session table or row was deleted."
"HP-SES-004","chronicle_session","TaleSession accessTokenHash","CONTEXTUAL_VOYAGE_CREDENTIAL","readTaleSessionCookie; authorizeTaleSessionPlayer","existing Tale Session compatibility flows only","No global mapping; remains scoped to one Voyage","Retain scope; exclude from global account context and ordinary workspace authorization.","YES_CONTEXTUAL_ONLY","YES_CONTEXTUAL_ONLY","Existing Tale Session audit trail","Governed One Voyage retirement with membership parity; not a Phase 1 target","Preserve existing contextual cookie reader and TaleSession data","MODERATE_IF_PROMOTED","homeport.current-user.no-client-authority;homeport.invitation.account-handoff","HP-P1-EV-N-invitation-handoff","CONTEXTUAL_RETAINED","Global sign-out does not mutate TaleSession business state."
"HP-SES-005","forever_player","PlayerAccess","LEGACY_CAMPAIGN_CREDENTIAL","requirePlayer for legacy campaign routes","existing legacy campaign entry only","No global mapping; campaign-scoped authorization","Retain scoped compatibility; prohibit use by canonical current-user and global workspace guards.","YES_CONTEXTUAL_ONLY","YES_CONTEXTUAL_ONLY","Existing compatibility and route evidence","Legacy campaign retirement with Chronicle parity; not a Phase 1 target","Preserve PlayerAccess and scoped cookie behavior","MODERATE_IF_PROMOTED","homeport.current-user.no-client-authority;homeport.signout.compatibility","HP-P1-EV-I-sign-out-complete","CONTEXTUAL_RETAINED","Not cleared by ordinary account sign-out because it is not global account identity."
"HP-SES-006","chronicle_pending_invitation","Invitation plus transient browser credential","INVITATION_HANDOFF","invitation resolve/accept/decline APIs","synthetic invitation open and short-code handoff","Accepted invitation attaches or creates canonical Player account context","Retain bounded handoff; clear after acceptance; never expose through current-user or logs.","YES_HANDOFF_ONLY","YES_HANDOFF_ONLY","InvitationEvent plus governed synthetic browser journey","Only after an accepted invitation replacement preserves token and short-code compatibility","Preserve cookie parser and Invitation rows","HIGH_IF_LEAKED","homeport.invitation.account-handoff;homeport.current-user.no-client-authority","HP-P1-EV-N-invitation-handoff","CONTEXTUAL_RETAINED","Ordinary account sign-out does not consume an unrelated pending invitation."
"HP-SES-007","password reset URL token","AccountToken","TOKENIZED_RECOVERY","password reset confirmation","requestPasswordReset issues a fresh hashed token","Successful reset issues fresh AccountSession and revokes prior sessions","Retain hashed one-use token; preserve expiry; use safe return; refresh canonical context.","YES_TOKENIZED_ONLY","YES_TOKENIZED_ONLY","PASSWORD_RESET_REQUESTED and PASSWORD_RESET_COMPLETED security events","Replacement must retain one-use expiry and session-rotation proof","Preserve AccountToken rows and current endpoint contract","CRITICAL_IF_LEAKED","homeport.session.revocation;homeport.return-to.safe;homeport.shell.auth-refresh","","TOKENIZED_RETAINED","Raw development delivery remains memory-only and is excluded from evidence."
"HP-SES-008","email verification URL token","AccountToken","TOKENIZED_RECOVERY","email verification confirmation","registration and resend issue a fresh hashed token","Verification updates the canonical account and refetches current-user context","Retain hashed one-use token; preserve expiry; create no competing session.","YES_TOKENIZED_ONLY","YES_TOKENIZED_ONLY","EMAIL_VERIFIED and EMAIL_VERIFICATION_RESENT security events","Replacement must retain one-use expiry and account-state refresh proof","Preserve AccountToken rows and current endpoint contract","HIGH_IF_LEAKED","homeport.shell.auth-refresh;homeport.session.restricted-account","","TOKENIZED_RETAINED","No token value belongs in client context or evidence."
"HP-SES-009","wayfarer-csrf","sessionStorage copy of AccountSession.csrfToken","CLIENT_HINT_ONLY","authenticated account mutation clients","current-user refresh after canonical session creation/rotation","Bound to the active AccountSession; cannot authenticate alone","Keep tab-scoped; refresh after rotation; clear on ended session, failed context, revocation, and sign-out.","YES_CLIENT_COPY_ONLY","NO_AUTHORITY","No value telemetry; behavioral tests inspect absence only","Retire only with a governed server-bound anti-CSRF replacement","Refetch from canonical context after session validation","HIGH_IF_TREATED_AS_AUTHORITY","homeport.current-user.no-client-authority;homeport.signout.multitab;homeport.signout.compatibility","HP-P1-EV-J-multitab-sign-out","CLIENT_HINT_ONLY","Never broadcast through BroadcastChannel."
"HP-SES-010","forever-device; chronicle-role-gateway; presentation and preference hints","localStorage/sessionStorage","CLIENT_HINT_ONLY","presentation, device-label, and preference consumers","presentation and preference controls","No authorization mapping","Retain only for presentation; remove route-based capability inference; tampering cannot authorize.","YES_HINTS_ONLY","NO_AUTHORITY","No private-value telemetry","Per-hint owner decision after replacement or zero-use evidence","Restore presentation behavior only; never restore authorization use","MODERATE_IF_PROMOTED","homeport.current-user.no-client-authority;homeport.permission.explicit","HP-P1-EV-G-permission-denied;HP-P1-EV-K-role-removal","CLIENT_HINT_ONLY","Phase 1 did not redesign user preferences."
