"id","sequence","system","severity","owner_observed_finding","required_disposition","status","canonical_owner","integration_owner"
"HP-OWCR3-PATCH-A-001","1","Route transition","HIGH","Authentication pages initially render correctly.","Preserve the ready destination without a later loading or stale-route state.","OPEN_BLOCKING","platform-motion","project-homeport"
"HP-OWCR3-PATCH-A-002","2","Route transition","CRITICAL","Approximately 500 ms later, a loading spinner briefly flashes even though the page is already ready.","Cancel the loading threshold when the destination generation becomes ready; loading must never appear afterward.","OPEN_BLOCKING","platform-motion","project-homeport"
"HP-OWCR3-PATCH-A-003","3","Route transition","HIGH","The spinner disappears again immediately.","Remove the stale timer/state race rather than hiding the flash with another delay.","OPEN_BLOCKING","platform-motion","project-homeport"
"HP-OWCR3-PATCH-A-004","4","Route transition","HIGH","This breaks the intended smooth page transition.","Use one direct, generation-owned page-to-page transition lifecycle.","OPEN_BLOCKING","platform-motion","project-homeport"
"HP-OWCR3-PATCH-A-005","5","Authentication redirect","CRITICAL","The sign-in page can reappear briefly after navigation to Home.","After destination settlement, the outgoing authentication layer may never become visible again.","OPEN_BLOCKING","platform-motion","project-homeport"
"HP-OWCR3-PATCH-A-006","6","Route transition","MODERATE","Route transitions are visible now, but should be slightly longer and smoother.","Use the platform route token at a documented 240-320 ms duration with restrained incoming settle.","OPEN_BLOCKING","platform-motion","project-homeport"
"HP-OWCR3-PATCH-A-007","7","Route transition","CRITICAL","The current transition can resemble old page to destination to old page flash to destination.","Invalidate stale generations, timers, and snapshots so an old route cannot resurrect.","OPEN_BLOCKING","platform-motion","project-homeport"
"HP-OWCR3-PATCH-A-008","8","Registration","CRITICAL","Registration with an already-used display name reports only Account registration unavailable.","Return a typed display-name conflict without creating durable account state.","OPEN_BLOCKING","wayfarer","project-homeport"
"HP-OWCR3-PATCH-A-009","9","Registration","HIGH","The error should identify the display-name conflict.","Remain on Sign Up and associate That display name is already in use. with the Display Name field.","OPEN_BLOCKING","wayfarer","project-homeport"
"HP-OWCR3-PATCH-A-010","10","Registration","CRITICAL","Despite the displayed registration failure, the submitted email becomes reserved by a partially created account.","Create the account and verification challenge atomically and report any post-commit delivery failure truthfully.","OPEN_BLOCKING","wayfarer","project-homeport"
"HP-OWCR3-PATCH-A-011","11","Registration","CRITICAL","A later registration attempt with that email reports that an account already exists.","Never leave an unexplained reserved email; reconcile the pending account or route the person to Sign In with truthful context.","OPEN_BLOCKING","wayfarer","project-homeport"
"HP-OWCR3-PATCH-A-012","12","Registration","CRITICAL","This creates an ambiguous half-created account.","Represent exactly zero account on pre-commit failure or one retryable pending account on post-commit delivery failure.","OPEN_BLOCKING","wayfarer","project-homeport"
"HP-OWCR3-PATCH-A-013","13","Registration","CRITICAL","Registration currently fails even with apparently new account details.","Prove a completely new registration through the task-owned provider and database.","OPEN_BLOCKING","wayfarer","project-homeport"
"HP-OWCR3-PATCH-A-014","14","Registration","HIGH","Duplicate email should redirect to Sign In with a clear message.","Prefill the safe email and show An account already uses this email address. Sign in instead. with Forgot Password.","OPEN_BLOCKING","wayfarer","project-homeport"
"HP-OWCR3-PATCH-A-015","15","Registration","HIGH","Duplicate display name should remain on Sign Up with an inline field error.","Preserve safe form values, focus the field or summary, and suggest another name.","OPEN_BLOCKING","wayfarer","project-homeport"
"HP-OWCR3-PATCH-A-016","16","Password experience","HIGH","Password entry needs a visible strength indicator.","Expose Too weak, Weak, Good, and Strong text plus an accessible meter while keeping server policy authoritative.","OPEN_BLOCKING","wayfarer","project-homeport"
"HP-OWCR3-PATCH-A-017","17","Password experience","HIGH","Password confirmation needs a visible matching indicator.","After confirmation begins, show accessible match or mismatch state and block mismatched submission on client and server.","OPEN_BLOCKING","wayfarer","project-homeport"
"HP-OWCR3-PATCH-A-018","18","Sign-in","CRITICAL","Signing into an existing account asks for a six-digit email verification code.","Issue the ordinary AccountSession for valid credentials even when the primary email is unverified.","OPEN_BLOCKING","wayfarer","project-homeport"
"HP-OWCR3-PATCH-A-019","19","Sign-in","CRITICAL","Normal sign-in must not require an email verification code.","Use verification codes only for registration verification and governed verification actions.","OPEN_BLOCKING","wayfarer","project-homeport"
"HP-OWCR3-PATCH-A-020","20","Sign-in","CRITICAL","The existing test account has no verified email and receives no actual email, blocking access to the product.","Allow ordinary sign-in and navigation with a non-blocking verification notice and retry/change actions.","OPEN_BLOCKING","wayfarer","project-homeport"
"HP-OWCR3-PATCH-A-021","21","Email truth","HIGH","Real email delivery is not currently proven.","Keep POSTMARK_BLOCKED_EXTERNAL_CONFIGURATION unless provider acceptance and real inbox receipt are both proven.","OPEN_EXTERNAL","wayfarer","project-homeport"
"HP-OWCR3-PATCH-A-022","22","Owner review","CRITICAL","These defects prevent further owner review.","Restore sign-in and natural access to Personal Harbor, Player, Captain, and Creator in the final owner runtime.","OPEN_BLOCKING","project-homeport","project-homeport"
