"navigation_item_id","desktop_layer","desktop_control","mobile_layer","mobile_control","capability","account_state","destination","evidence","parity_status","exception_rationale"
"global-home","GLOBAL","primary","GLOBAL","drawer","","ALL","/","HP-P2-EV-G-global-nav-public;HP-P2-EV-K-community-shell","EXACT_FUNCTIONAL_PARITY",""
"global-explore-chronicles","GLOBAL","primary","GLOBAL","drawer","","ALL","/tales","HP-P2-EV-G-global-nav-public;HP-P2-EV-K-community-shell","EXACT_FUNCTIONAL_PARITY",""
"global-community-harbor","GLOBAL","primary","GLOBAL","drawer","","ALL","/community","HP-P2-EV-G-global-nav-public;HP-P2-EV-K-community-shell","EXACT_FUNCTIONAL_PARITY",""
"workspace-player-home","WORKSPACE","primary","WORKSPACE","drawer","player","ALL","/player/library","HP-P2-EV-H-player-navigation;HP-P2-EV-I-captain-navigation;HP-P2-EV-J-creator-navigation;HP-P2-EV-M-workspace-switcher","EXACT_FUNCTIONAL_PARITY",""
"workspace-captain-voyages","WORKSPACE","primary","WORKSPACE","drawer","captain","ALL","/captain/library","HP-P2-EV-H-player-navigation;HP-P2-EV-I-captain-navigation;HP-P2-EV-J-creator-navigation;HP-P2-EV-M-workspace-switcher","EXACT_FUNCTIONAL_PARITY",""
"workspace-captain-invitations","WORKSPACE","primary","WORKSPACE","drawer","captain","ALL","/captain/invitations","HP-P2-EV-H-player-navigation;HP-P2-EV-I-captain-navigation;HP-P2-EV-J-creator-navigation;HP-P2-EV-M-workspace-switcher","EXACT_FUNCTIONAL_PARITY",""
"workspace-creator-library","WORKSPACE","primary","WORKSPACE","drawer","creator","ALL","/studio/library","HP-P2-EV-H-player-navigation;HP-P2-EV-I-captain-navigation;HP-P2-EV-J-creator-navigation;HP-P2-EV-M-workspace-switcher","EXACT_FUNCTIONAL_PARITY",""
"workspace-creator-exchange","WORKSPACE","primary","WORKSPACE","drawer","creator","ALL","/studio/exchange","HP-P2-EV-H-player-navigation;HP-P2-EV-I-captain-navigation;HP-P2-EV-J-creator-navigation;HP-P2-EV-M-workspace-switcher","EXACT_FUNCTIONAL_PARITY",""
"workspace-creator-private-content","WORKSPACE","primary","WORKSPACE","drawer","creator","ALL","/studio/private-content","HP-P2-EV-H-player-navigation;HP-P2-EV-I-captain-navigation;HP-P2-EV-J-creator-navigation;HP-P2-EV-M-workspace-switcher","EXACT_FUNCTIONAL_PARITY",""
"account-create","ACCOUNT","account","ACCOUNT","account","","ANONYMOUS_OR_ENDED_SESSION","/register","HP-P2-EV-E-account-menu-anonymous;HP-P2-EV-F-account-menu-authenticated;HP-P2-EV-R-zoom-account-menu","EXACT_FUNCTIONAL_PARITY",""
"account-sign-in","ACCOUNT","account","ACCOUNT","account","","ANONYMOUS_OR_ENDED_SESSION","SAFE_LOCAL_SIGN_IN_RETURN","HP-P2-EV-E-account-menu-anonymous;HP-P2-EV-F-account-menu-authenticated;HP-P2-EV-R-zoom-account-menu","EXACT_FUNCTIONAL_PARITY",""
"account-view-profile","ACCOUNT","account","ACCOUNT","account","","AUTHENTICATED","PUBLIC_PROFILE_OR_PASSPORT_PROFILE","HP-P2-EV-E-account-menu-anonymous;HP-P2-EV-F-account-menu-authenticated;HP-P2-EV-R-zoom-account-menu","EXACT_FUNCTIONAL_PARITY",""
"account-passport","ACCOUNT","account","ACCOUNT","account","","AUTHENTICATED","/passport","HP-P2-EV-E-account-menu-anonymous;HP-P2-EV-F-account-menu-authenticated;HP-P2-EV-R-zoom-account-menu","EXACT_FUNCTIONAL_PARITY",""
"account-preferences","ACCOUNT","account","ACCOUNT","account","","AUTHENTICATED","/passport#preferences","HP-P2-EV-E-account-menu-anonymous;HP-P2-EV-F-account-menu-authenticated;HP-P2-EV-R-zoom-account-menu","EXACT_FUNCTIONAL_PARITY",""
"account-privacy","ACCOUNT","account","ACCOUNT","account","","AUTHENTICATED","/passport#privacy","HP-P2-EV-E-account-menu-anonymous;HP-P2-EV-F-account-menu-authenticated;HP-P2-EV-R-zoom-account-menu","EXACT_FUNCTIONAL_PARITY",""
"account-history","ACCOUNT","account","ACCOUNT","account","","AUTHENTICATED","/passport#history","HP-P2-EV-E-account-menu-anonymous;HP-P2-EV-F-account-menu-authenticated;HP-P2-EV-R-zoom-account-menu","EXACT_FUNCTIONAL_PARITY",""
"account-artifacts","ACCOUNT","account","ACCOUNT","account","","AUTHENTICATED","/passport#artifacts","HP-P2-EV-E-account-menu-anonymous;HP-P2-EV-F-account-menu-authenticated;HP-P2-EV-R-zoom-account-menu","EXACT_FUNCTIONAL_PARITY",""
"account-security-sessions","ACCOUNT","account","ACCOUNT","account","","AUTHENTICATED","/account/security","HP-P2-EV-E-account-menu-anonymous;HP-P2-EV-F-account-menu-authenticated;HP-P2-EV-R-zoom-account-menu","EXACT_FUNCTIONAL_PARITY",""
"account-workspace-player","ACCOUNT","account","ACCOUNT","account","player","AUTHENTICATED","/player/library","HP-P2-EV-E-account-menu-anonymous;HP-P2-EV-F-account-menu-authenticated;HP-P2-EV-R-zoom-account-menu","EXACT_FUNCTIONAL_PARITY",""
"account-workspace-captain","ACCOUNT","account","ACCOUNT","account","captain","AUTHENTICATED","/captain/library","HP-P2-EV-E-account-menu-anonymous;HP-P2-EV-F-account-menu-authenticated;HP-P2-EV-R-zoom-account-menu","EXACT_FUNCTIONAL_PARITY",""
"account-workspace-creator","ACCOUNT","account","ACCOUNT","account","creator","AUTHENTICATED","/studio/library","HP-P2-EV-E-account-menu-anonymous;HP-P2-EV-F-account-menu-authenticated;HP-P2-EV-R-zoom-account-menu","EXACT_FUNCTIONAL_PARITY",""
"account-workspace-moderator","ACCOUNT","account","ACCOUNT","account","moderator","AUTHENTICATED","/community/moderation","HP-P2-EV-E-account-menu-anonymous;HP-P2-EV-F-account-menu-authenticated;HP-P2-EV-R-zoom-account-menu","EXACT_FUNCTIONAL_PARITY",""
"account-sign-out","ACCOUNT","account","ACCOUNT","account","","AUTHENTICATED","SIGN_OUT_ACTION","HP-P2-EV-E-account-menu-anonymous;HP-P2-EV-F-account-menu-authenticated;HP-P2-EV-R-zoom-account-menu","EXACT_FUNCTIONAL_PARITY",""
"context-community-parent","CONTEXTUAL","contextual","CONTEXTUAL","contextual","","ALL","/community","HP-P2-EV-N-compact-exit;HP-P2-EV-O-immersive-exit","EXACT_FUNCTIONAL_PARITY",""
"context-chronicles-parent","CONTEXTUAL","contextual","CONTEXTUAL","contextual","","ALL","/tales","HP-P2-EV-N-compact-exit;HP-P2-EV-O-immersive-exit","EXACT_FUNCTIONAL_PARITY",""
"context-personal-parent","CONTEXTUAL","contextual","CONTEXTUAL","contextual","","ALL","/passport","HP-P2-EV-N-compact-exit;HP-P2-EV-O-immersive-exit","EXACT_FUNCTIONAL_PARITY",""
"context-captain-exit","CONTEXTUAL","contextual","CONTEXTUAL","contextual","captain","ALL","/captain/library","HP-P2-EV-N-compact-exit;HP-P2-EV-O-immersive-exit","EXACT_FUNCTIONAL_PARITY",""
