"screen_id","semantic_page_title","h1","landmarks","navigation_labels","heading_hierarchy","control_labels","descriptions","error_associations","live_regions","focus_order","route_entry_focus","menu_dialog_focus","focus_restoration","keyboard_controls","touch_targets","current_state_semantics","color_independent_meaning","motion_independent_meaning","image_alternatives","transcript_caption_state","zoom","screen_reader_oriented_test","automated_scan_result","evidence","limitations"
"screen-page-root","ROUTE_METADATA_OR_PRODUCT_TITLE","RUNTIME_COMPONENT_OWNED","HEADER_NAV_MAIN_AND_CONTEXTUAL_REGIONS_WHERE_APPLICABLE","EXPLICIT","ORDERED","VISIBLE_OR_ACCESSIBLE_NAME","DOMAIN_SPECIFIC","ROLE_ALERT_AND_FIELD_ASSOCIATION","MUTATION_AND_ASYNC_STATE_ANNOUNCED","Semantic DOM order, visible focus, Enter and Space activation, no pointer-only action.","Route entry focuses destination heading; disclosure and dialog closure restore a safe control.","TRAPPED_WHILE_OPEN_AND_RESTORED_ON_CLOSE","INITIATING_CONTROL_OR_DESTINATION_HEADING","Semantic DOM order, visible focus, Enter and Space activation, no pointer-only action.","All ordinary actions are touch-operable with governed target size and no hover dependency.","ARIA_CURRENT_PRESSED_EXPANDED_OR_STATUS_AS_APPLICABLE","YES","YES","ALT_OR_NAMED_FALLBACK","PRESENT_WHEN_AUTHORED_OTHERWISE_TRUTHFUL_LIMITATION","EFFECTIVE_200_PERCENT_MATRIX","ROLE_NAME_DESCRIPTION_HEADING_FOCUS_LIVE_STATE","ZERO_SERIOUS_OR_CRITICAL","HP-P6-EV-001-root-standard-desktop;HP-P6-EV-002-root-modern-mobile;HP-P6-EV-059-root-compact-desktop;HP-P6-EV-060-root-tablet-landscape;HP-P6-EV-061-root-tablet-portrait;HP-P6-EV-062-root-narrow-mobile;HP-P6-EV-107-root-effective-200-percent;HP-P6-EV-126-root-reduced-motion","No physical screen-reader proof claimed."
"screen-page-account","ROUTE_METADATA_OR_PRODUCT_TITLE","Overview","HEADER_NAV_MAIN_AND_CONTEXTUAL_REGIONS_WHERE_APPLICABLE","EXPLICIT","ORDERED","VISIBLE_OR_ACCESSIBLE_NAME","DOMAIN_SPECIFIC","ROLE_ALERT_AND_FIELD_ASSOCIATION","MUTATION_AND_ASYNC_STATE_ANNOUNCED","Semantic DOM order, visible focus, Enter and Space activation, no pointer-only action.","Route entry focuses destination heading; disclosure and dialog closure restore a safe control.","TRAPPED_WHILE_OPEN_AND_RESTORED_ON_CLOSE","INITIATING_CONTROL_OR_DESTINATION_HEADING","Semantic DOM order, visible focus, Enter and Space activation, no pointer-only action.","All ordinary actions are touch-operable with governed target size and no hover dependency.","ARIA_CURRENT_PRESSED_EXPANDED_OR_STATUS_AS_APPLICABLE","YES","YES","ALT_OR_NAMED_FALLBACK","PRESENT_WHEN_AUTHORED_OTHERWISE_TRUTHFUL_LIMITATION","EFFECTIVE_200_PERCENT_MATRIX","ROLE_NAME_DESCRIPTION_HEADING_FOCUS_LIVE_STATE","ZERO_SERIOUS_OR_CRITICAL","HP-P6-EV-011-account-standard-desktop;HP-P6-EV-012-account-modern-mobile;HP-P6-EV-079-account-compact-desktop;HP-P6-EV-080-account-tablet-landscape;HP-P6-EV-081-account-tablet-portrait;HP-P6-EV-082-account-narrow-mobile;HP-P6-EV-112-account-effective-200-percent","No physical screen-reader proof claimed."
"screen-page-account-profile","ROUTE_METADATA_OR_PRODUCT_TITLE","Public Profile","HEADER_NAV_MAIN_AND_CONTEXTUAL_REGIONS_WHERE_APPLICABLE","EXPLICIT","ORDERED","VISIBLE_OR_ACCESSIBLE_NAME","DOMAIN_SPECIFIC","ROLE_ALERT_AND_FIELD_ASSOCIATION","MUTATION_AND_ASYNC_STATE_ANNOUNCED","Semantic DOM order, visible focus, Enter and Space activation, no pointer-only action.","Route entry focuses destination heading; disclosure and dialog closure restore a safe control.","TRAPPED_WHILE_OPEN_AND_RESTORED_ON_CLOSE","INITIATING_CONTROL_OR_DESTINATION_HEADING","Semantic DOM order, visible focus, Enter and Space activation, no pointer-only action.","All ordinary actions are touch-operable with governed target size and no hover dependency.","ARIA_CURRENT_PRESSED_EXPANDED_OR_STATUS_AS_APPLICABLE","YES","YES","ALT_OR_NAMED_FALLBACK","PRESENT_WHEN_AUTHORED_OTHERWISE_TRUTHFUL_LIMITATION","EFFECTIVE_200_PERCENT_MATRIX","ROLE_NAME_DESCRIPTION_HEADING_FOCUS_LIVE_STATE","ZERO_SERIOUS_OR_CRITICAL","HP-P6-EV-013-account-profile-standard-desktop;HP-P6-EV-014-account-profile-modern-mobile;HP-P6-EV-083-account-profile-compact-desktop;HP-P6-EV-084-account-profile-tablet-landscape;HP-P6-EV-085-account-profile-tablet-portrait;HP-P6-EV-086-account-profile-narrow-mobile;HP-P6-EV-113-account-profile-effective-200-percent","No physical screen-reader proof claimed."
"screen-page-account-security","ROUTE_METADATA_OR_PRODUCT_TITLE","Security","HEADER_NAV_MAIN_AND_CONTEXTUAL_REGIONS_WHERE_APPLICABLE","EXPLICIT","ORDERED","VISIBLE_OR_ACCESSIBLE_NAME","DOMAIN_SPECIFIC","ROLE_ALERT_AND_FIELD_ASSOCIATION","MUTATION_AND_ASYNC_STATE_ANNOUNCED","Semantic DOM order, visible focus, Enter and Space activation, no pointer-only action.","Route entry focuses destination heading; disclosure and dialog closure restore a safe control.","TRAPPED_WHILE_OPEN_AND_RESTORED_ON_CLOSE","INITIATING_CONTROL_OR_DESTINATION_HEADING","Semantic DOM order, visible focus, Enter and Space activation, no pointer-only action.","All ordinary actions are touch-operable with governed target size and no hover dependency.","ARIA_CURRENT_PRESSED_EXPANDED_OR_STATUS_AS_APPLICABLE","YES","YES","ALT_OR_NAMED_FALLBACK","PRESENT_WHEN_AUTHORED_OTHERWISE_TRUTHFUL_LIMITATION","EFFECTIVE_200_PERCENT_MATRIX","ROLE_NAME_DESCRIPTION_HEADING_FOCUS_LIVE_STATE","ZERO_SERIOUS_OR_CRITICAL","HP-P6-EV-033-account-security-standard-desktop;HP-P6-EV-034-account-security-modern-mobile","No physical screen-reader proof claimed."
"screen-page-account-sessions","ROUTE_METADATA_OR_PRODUCT_TITLE","Sessions & Devices","HEADER_NAV_MAIN_AND_CONTEXTUAL_REGIONS_WHERE_APPLICABLE","EXPLICIT","ORDERED","VISIBLE_OR_ACCESSIBLE_NAME","DOMAIN_SPECIFIC","ROLE_ALERT_AND_FIELD_ASSOCIATION","MUTATION_AND_ASYNC_STATE_ANNOUNCED","Semantic DOM order, visible focus, Enter and Space activation, no pointer-only action.","Route entry focuses destination heading; disclosure and dialog closure restore a safe control.","TRAPPED_WHILE_OPEN_AND_RESTORED_ON_CLOSE","INITIATING_CONTROL_OR_DESTINATION_HEADING","Semantic DOM order, visible focus, Enter and Space activation, no pointer-only action.","All ordinary actions are touch-operable with governed target size and no hover dependency.","ARIA_CURRENT_PRESSED_EXPANDED_OR_STATUS_AS_APPLICABLE","YES","YES","ALT_OR_NAMED_FALLBACK","PRESENT_WHEN_AUTHORED_OTHERWISE_TRUTHFUL_LIMITATION","EFFECTIVE_200_PERCENT_MATRIX","ROLE_NAME_DESCRIPTION_HEADING_FOCUS_LIVE_STATE","ZERO_SERIOUS_OR_CRITICAL","HP-P6-EV-035-account-sessions-standard-desktop;HP-P6-EV-036-account-sessions-modern-mobile","No physical screen-reader proof claimed."
"screen-page-captain-library","ROUTE_METADATA_OR_PRODUCT_TITLE","RUNTIME_COMPONENT_OWNED","HEADER_NAV_MAIN_AND_CONTEXTUAL_REGIONS_WHERE_APPLICABLE","EXPLICIT","ORDERED","VISIBLE_OR_ACCESSIBLE_NAME","DOMAIN_SPECIFIC","ROLE_ALERT_AND_FIELD_ASSOCIATION","MUTATION_AND_ASYNC_STATE_ANNOUNCED","Semantic DOM order, visible focus, Enter and Space activation, no pointer-only action.","Route entry focuses destination heading; disclosure and dialog closure restore a safe control.","TRAPPED_WHILE_OPEN_AND_RESTORED_ON_CLOSE","INITIATING_CONTROL_OR_DESTINATION_HEADING","Semantic DOM order, visible focus, Enter and Space activation, no pointer-only action.","All ordinary actions are touch-operable with governed target size and no hover dependency.","ARIA_CURRENT_PRESSED_EXPANDED_OR_STATUS_AS_APPLICABLE","YES","YES","ALT_OR_NAMED_FALLBACK","PRESENT_WHEN_AUTHORED_OTHERWISE_TRUTHFUL_LIMITATION","EFFECTIVE_200_PERCENT_MATRIX","ROLE_NAME_DESCRIPTION_HEADING_FOCUS_LIVE_STATE","ZERO_SERIOUS_OR_CRITICAL","HP-P6-EV-007-captain-library-standard-desktop;HP-P6-EV-008-captain-library-modern-mobile;HP-P6-EV-071-captain-library-compact-desktop;HP-P6-EV-072-captain-library-tablet-landscape;HP-P6-EV-073-captain-library-tablet-portrait;HP-P6-EV-074-captain-library-narrow-mobile;HP-P6-EV-110-captain-library-effective-200-percent;HP-P6-EV-119-captain-library-dialog","No physical screen-reader proof claimed."
"screen-page-captain-sessions-sessionid","ROUTE_METADATA_OR_PRODUCT_TITLE","RUNTIME_COMPONENT_OWNED","HEADER_NAV_MAIN_AND_CONTEXTUAL_REGIONS_WHERE_APPLICABLE","EXPLICIT","ORDERED","VISIBLE_OR_ACCESSIBLE_NAME","DOMAIN_SPECIFIC","ROLE_ALERT_AND_FIELD_ASSOCIATION","MUTATION_AND_ASYNC_STATE_ANNOUNCED","Semantic DOM order, visible focus, Enter and Space activation, no pointer-only action.","Route entry focuses destination heading; disclosure and dialog closure restore a safe control.","TRAPPED_WHILE_OPEN_AND_RESTORED_ON_CLOSE","INITIATING_CONTROL_OR_DESTINATION_HEADING","Semantic DOM order, visible focus, Enter and Space activation, no pointer-only action.","All ordinary actions are touch-operable with governed target size and no hover dependency.","ARIA_CURRENT_PRESSED_EXPANDED_OR_STATUS_AS_APPLICABLE","YES","YES","ALT_OR_NAMED_FALLBACK","PRESENT_WHEN_AUTHORED_OTHERWISE_TRUTHFUL_LIMITATION","EFFECTIVE_200_PERCENT_MATRIX","ROLE_NAME_DESCRIPTION_HEADING_FOCUS_LIVE_STATE","ZERO_SERIOUS_OR_CRITICAL","HP-P6-EV-021-captain-sessions-sessionid-standard-desktop;HP-P6-EV-022-captain-sessions-sessionid-modern-mobile;HP-P6-EV-099-captain-sessions-sessionid-compact-desktop;HP-P6-EV-100-captain-sessions-sessionid-tablet-landscape;HP-P6-EV-101-captain-sessions-sessionid-tablet-portrait;HP-P6-EV-102-captain-sessions-sessionid-narrow-mobile;HP-P6-EV-117-captain-sessions-sessionid-effective-200-percent","No physical screen-reader proof claimed."
"screen-page-community","ROUTE_METADATA_OR_PRODUCT_TITLE","RUNTIME_COMPONENT_OWNED","HEADER_NAV_MAIN_AND_CONTEXTUAL_REGIONS_WHERE_APPLICABLE","EXPLICIT","ORDERED","VISIBLE_OR_ACCESSIBLE_NAME","DOMAIN_SPECIFIC","ROLE_ALERT_AND_FIELD_ASSOCIATION","MUTATION_AND_ASYNC_STATE_ANNOUNCED","Semantic DOM order, visible focus, Enter and Space activation, no pointer-only action.","Route entry focuses destination heading; disclosure and dialog closure restore a safe control.","TRAPPED_WHILE_OPEN_AND_RESTORED_ON_CLOSE","INITIATING_CONTROL_OR_DESTINATION_HEADING","Semantic DOM order, visible focus, Enter and Space activation, no pointer-only action.","All ordinary actions are touch-operable with governed target size and no hover dependency.","ARIA_CURRENT_PRESSED_EXPANDED_OR_STATUS_AS_APPLICABLE","YES","YES","ALT_OR_NAMED_FALLBACK","PRESENT_WHEN_AUTHORED_OTHERWISE_TRUTHFUL_LIMITATION","EFFECTIVE_200_PERCENT_MATRIX","ROLE_NAME_DESCRIPTION_HEADING_FOCUS_LIVE_STATE","ZERO_SERIOUS_OR_CRITICAL","HP-P6-EV-017-community-standard-desktop;HP-P6-EV-018-community-modern-mobile;HP-P6-EV-091-community-compact-desktop;HP-P6-EV-092-community-tablet-landscape;HP-P6-EV-093-community-tablet-portrait;HP-P6-EV-094-community-narrow-mobile;HP-P6-EV-115-community-effective-200-percent;HP-P6-EV-125-community-no-results","No physical screen-reader proof claimed."
"screen-page-community-slug","ROUTE_METADATA_OR_PRODUCT_TITLE","RUNTIME_COMPONENT_OWNED","HEADER_NAV_MAIN_AND_CONTEXTUAL_REGIONS_WHERE_APPLICABLE","EXPLICIT","ORDERED","VISIBLE_OR_ACCESSIBLE_NAME","DOMAIN_SPECIFIC","ROLE_ALERT_AND_FIELD_ASSOCIATION","MUTATION_AND_ASYNC_STATE_ANNOUNCED","Semantic DOM order, visible focus, Enter and Space activation, no pointer-only action.","Route entry focuses destination heading; disclosure and dialog closure restore a safe control.","TRAPPED_WHILE_OPEN_AND_RESTORED_ON_CLOSE","INITIATING_CONTROL_OR_DESTINATION_HEADING","Semantic DOM order, visible focus, Enter and Space activation, no pointer-only action.","All ordinary actions are touch-operable with governed target size and no hover dependency.","ARIA_CURRENT_PRESSED_EXPANDED_OR_STATUS_AS_APPLICABLE","YES","YES","ALT_OR_NAMED_FALLBACK","PRESENT_WHEN_AUTHORED_OTHERWISE_TRUTHFUL_LIMITATION","EFFECTIVE_200_PERCENT_MATRIX","ROLE_NAME_DESCRIPTION_HEADING_FOCUS_LIVE_STATE","ZERO_SERIOUS_OR_CRITICAL","HP-P6-EV-047-community-slug-standard-desktop;HP-P6-EV-048-community-slug-modern-mobile","No physical screen-reader proof claimed."
"screen-page-community-chronicles","ROUTE_METADATA_OR_PRODUCT_TITLE","RUNTIME_COMPONENT_OWNED","HEADER_NAV_MAIN_AND_CONTEXTUAL_REGIONS_WHERE_APPLICABLE","EXPLICIT","ORDERED","VISIBLE_OR_ACCESSIBLE_NAME","DOMAIN_SPECIFIC","ROLE_ALERT_AND_FIELD_ASSOCIATION","MUTATION_AND_ASYNC_STATE_ANNOUNCED","Semantic DOM order, visible focus, Enter and Space activation, no pointer-only action.","Route entry focuses destination heading; disclosure and dialog closure restore a safe control.","TRAPPED_WHILE_OPEN_AND_RESTORED_ON_CLOSE","INITIATING_CONTROL_OR_DESTINATION_HEADING","Semantic DOM order, visible focus, Enter and Space activation, no pointer-only action.","All ordinary actions are touch-operable with governed target size and no hover dependency.","ARIA_CURRENT_PRESSED_EXPANDED_OR_STATUS_AS_APPLICABLE","YES","YES","ALT_OR_NAMED_FALLBACK","PRESENT_WHEN_AUTHORED_OTHERWISE_TRUTHFUL_LIMITATION","EFFECTIVE_200_PERCENT_MATRIX","ROLE_NAME_DESCRIPTION_HEADING_FOCUS_LIVE_STATE","ZERO_SERIOUS_OR_CRITICAL","HP-P6-EV-045-community-chronicles-standard-desktop;HP-P6-EV-046-community-chronicles-modern-mobile","No physical screen-reader proof claimed."
