projectionId,route,sourceAuthority,publicFields,serverEligibility,excludedFields,emptyOrUnavailableBehavior
harbor-discovery,/community,Harborlight discovery and Homeport card adapter,"card id; variant; destination; fallback/public artwork; title; summary; safe Creator identity; applicable discovery metadata; aggregate summary; social subject","published; Community/Featured; active; non-private location; unblocked; clean media or fallback","visibility; publicationStatus; moderationStatus; locationClass; accountId; manifest; object keys; reports; sanctions; private Chronicle data",Harbor-wide empty or dependency-unavailable state
listing-detail,/community/:slug,Harborlight public listing and release projections,"public card fields; safe long description; tags; warnings; spoiler treatment; license/remix summary; accepted action availability","direct public eligibility; current eligible release when action requires one","raw manifest; package checksum; storage; private release data; lifecycle evidence",Non-revealing not-found or deliberate action-unavailable state
creator-directory,/community/creators,Harborlight public CommunityProfile projection,"profile id; handle; display name; biography; supported languages; verification label; public work count; follower count","Community-visible; creator active; moderation active; not blocked","accountId; provider/session fields; socialLinks not allowlisted; moderation evidence",Intentional district empty or dependency-unavailable state
creator-detail,/community/creators/:handle,Harborlight public CommunityProfile plus eligible work,"public creator fields; badges; follower count; eligible featured/published cards","public creator eligibility and server-filtered public work","account identity; private/unlisted/quarantined/removed work; block rows",Creator with no public work has an intentional onward-action state
collection-directory,/community/collections,Harborlight CommunityCollection projection,"collection id; slug; title; safe description; eligible item count; governed fallback","Community visibility; not archived; not deleted; owner not blocked","ownerAccountId; cover object key; private item references",Intentional district empty or dependency-unavailable state
collection-detail,/community/collections/:slug,Harborlight collection plus eligible subject adapters,"public collection fields; ordered eligible public cards","public collection eligibility; every item independently public eligible","private/unlisted/quarantined/removed/missing references and reasons",Empty collection is distinct from an unavailable collection
guide-directory,/community/guides,Harborlight CommunityGuideContent projection,"guide id; slug; title; safe summary; category; published date","published; publishedAt present; non-deprecated; owner active","sanitization internals; drafts; deprecated body; owner account",Intentional district empty or dependency-unavailable state
guide-detail,/community/guides/:slug,Harborlight published Guide projection,"public Guide fields; sanitized body; safe Creator link","published; non-deprecated; owner active","raw authoring body; drafts; moderation evidence",Non-revealing not-found state
voyage-log-directory,/community/voyage-logs,Harborlight consent-aware public Voyage Log projection,"public id; slug; title; safe summary; consented public media summary; public date","published public projection; all required participant/media consent current","participant identity; private coordinates; unconsented media; owner notes",Intentional district empty or dependency-unavailable state
saved-state,Community cards and details,Harborlight CommunitySave plus batch public eligibility,"subject id; saved/favorited/following/blocked booleans; canInteract","canonical account when authenticated; subject remains publicly eligible","raw save rows; accountId; block relationship targets",Anonymous sign-in action; authenticated indeterminate/retry when dependency fails
