legacy case ID,legacy event type,legacy section,original semantic purpose,current canonical TaleSessionEvent type,current canonical event payload,current canonical Player surface,current SceneHost or presentation owner,canonical presentation scene,presentation required,acknowledgment policy,replay policy,canonical browser test,canonical service/unit test,compatibility disposition,final status,evidence commit,notes
P3-CASE-001,CHAPTER_RELEASED,journal,chapter released behavior,blockEntered,block enter; snapshot projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group A: chapter and block progression,src/chronicle/progression.test.ts,canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,canonical Chronicle journal
P3-CASE-002,CHAPTER_SOLVED,journal,chapter solved behavior,blockCompleted,block completion; snapshot projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group A: chapter and block progression,src/chronicle/progression.test.ts,canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,canonical Chronicle journal
P3-CASE-003,ARTIFACT_AWARDED,journal,artifact awarded behavior,artifactGranted,asset identity; inventory projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group C: artifact and collection progression,src/chronicle/progression.test.ts,canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,canonical Chronicle journal
P3-CASE-004,ARTIFACT_SILHOUETTE_REVEALED,journal,artifact silhouette revealed behavior,hintReleased,artifact projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group C: artifact and collection progression,src/chronicle/progression.test.ts,state-only-canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,canonical Chronicle journal
P3-CASE-005,ARTIFACT_CONNECTED,journal,artifact connected behavior,hintReleased,artifact projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group C: artifact and collection progression,src/chronicle/progression.test.ts,state-only-canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,canonical Chronicle journal
P3-CASE-006,MAP_LOCATION_REVEALED,journal,map location revealed behavior,hintReleased,journal projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group D: map and route progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,canonical Chronicle journal
P3-CASE-007,MAP_ROUTE_REVEALED,journal,map route revealed behavior,hintReleased,journal projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group D: map and route progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,canonical Chronicle journal
P3-CASE-008,SIDE_QUEST_DISCOVERED,journal,side quest discovered behavior,hintReleased,journal projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group E: objective and quest progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,canonical Chronicle journal
P3-CASE-009,SIDE_QUEST_UPDATED,journal,side quest updated behavior,hintReleased,journal projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group E: objective and quest progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,canonical Chronicle journal
P3-CASE-010,SIDE_QUEST_COMPLETED,journal,side quest completed behavior,hintReleased,journal projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group E: objective and quest progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,canonical Chronicle journal
