Old path,Old title,Current audience,Current purpose,Problem,New path,Action,Canonical status,Record type,References updated,Validation status,Notes
"AGENTS.md","AGENTS","classified","Ledgerlight inventory","mixed or historical placement","AGENTS.md","rewrite-current","classified","current-document","yes","pending final validation","generated migration inventory"
"CHANGELOG.md","CHANGELOG","classified","Ledgerlight inventory","mixed or historical placement","CHANGELOG.md","rewrite-current","classified","current-document","yes","pending final validation","generated migration inventory"
"CONTRIBUTING.md","CONTRIBUTING","classified","Ledgerlight inventory","mixed or historical placement","CONTRIBUTING.md","rewrite-current","classified","current-document","yes","pending final validation","generated migration inventory"
"Development_Docs/.gitignore",".gitignore","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/.gitignore","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Animation_Assets/Rive_Sources/lanternwake-finale-mechanism-v1.rev","lanternwake-finale-mechanism-v1","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Animation_Assets/Rive_Sources/lanternwake-finale-mechanism-v1.rev","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Animation_Assets/Rive_Sources/lanternwake-finale-mechanism-v1.svg","lanternwake-finale-mechanism-v1","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Animation_Assets/Rive_Sources/lanternwake-finale-mechanism-v1.svg","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Animation_Assets/Rive_Sources/lanternwake-invitation-seal-v1.rev","lanternwake-invitation-seal-v1","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Animation_Assets/Rive_Sources/lanternwake-invitation-seal-v1.rev","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Animation_Assets/Rive_Sources/lanternwake-invitation-seal-v1.svg","lanternwake-invitation-seal-v1","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Animation_Assets/Rive_Sources/lanternwake-invitation-seal-v1.svg","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Animation_Assets/Rive_Sources/lanternwake-journal-clasp-v1.rev","lanternwake-journal-clasp-v1","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Animation_Assets/Rive_Sources/lanternwake-journal-clasp-v1.rev","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Animation_Assets/Rive_Sources/lanternwake-journal-clasp-v1.svg","lanternwake-journal-clasp-v1","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Animation_Assets/Rive_Sources/lanternwake-journal-clasp-v1.svg","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Animation_Assets/Rive_Sources/lanternwake-voyage-compass-v1.rev","lanternwake-voyage-compass-v1","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Animation_Assets/Rive_Sources/lanternwake-voyage-compass-v1.rev","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Animation_Assets/Rive_Sources/lanternwake-voyage-compass-v1.svg","lanternwake-voyage-compass-v1","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Animation_Assets/Rive_Sources/lanternwake-voyage-compass-v1.svg","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Architecture_Decisions/0001-use-nextjs-app-router.md","0001-use-nextjs-app-router","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Architecture_Decisions/0001-use-nextjs-app-router.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Architecture_Decisions/0002-use-server-sent-events.md","0002-use-server-sent-events","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Architecture_Decisions/0002-use-server-sent-events.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Architecture_Decisions/0003-use-event-driven-story-state.md","0003-use-event-driven-story-state","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Architecture_Decisions/0003-use-event-driven-story-state.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Chronicle_Platform_Codex_Implementation_Specification.pdf","Chronicle_Platform_Codex_Implementation_Specification","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Chronicle_Platform_Codex_Implementation_Specification.pdf","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
